matrix_name,avg
Lin,0.1009403357999999
id2010,0.0366831692
bcspwr09,0.0461842899999999
c-67b,0.101498311
pwt,0.087195518
G67,0.075786558
flowmeter0,0.060786164
dynamicSoaringProblem_6,0.117616552
G65,0.080046236
in2010,0.0375799627
G34,0.080231944
crystm03,0.090848679
jagmesh8,0.091293186
Oregon-2,0.036995478
pkustk07,0.1712906599999999
diag,0.065867045
gas_sensor,0.108465708
gyro_k,0.15612453
gyro,0.15612453
lock_700,0.2794017666666667
TSOPF_FS_b300_c2,0.3821427
delaunay_n12,0.064837022
bcsstm25,0.0998701026
can_96,0.2131696666666666
LF10000,0.1331781209999999
ex3sta1,0.1299954659999999
gyro_m,0.0613742749999999
Erdos971,0.0512015125
analytics,0.0664047477999999
Si10H16,0.1062284369999999
OPF_6000,0.1369149932999999
3elt_dual,0.0421576425999999
Trefethen_20000b,0.1188156749999999
bcsstk08,0.082332954
ex3,0.20466225
sparsine,0.0361061030999999
case9,0.131989348
2cubes_sphere,0.0438308521999999
kmer_V2a,0.03704864646
USpowerGrid,0.0402735165999999
oh2010,0.037813781
sherman1,0.0795892144444444
vsp_sctap1-2b_and_seymourl,0.0382855469999999
fv1,0.1176100619999999
pcrystk03,0.23916647
c-41,0.10013524
dwt_162,0.1537952
spaceShuttleEntry_1,0.0983159622222222
pct20stif,0.218532757
c-27,0.085277514
lock1074,0.32507942
m_t1,0.2609852899999999
Trefethen_700,0.1504198666666666
gsm_106857,0.0501936394
boneS01,0.206478347
bcsstk34,0.2636562555555555
bloweybq,0.139906502
c-37,0.094020816
fe_body,0.079870662
G6,0.0809309666666666
troll,0.229283473
pli,0.1561811799999999
man_5976,0.23778954
nemeth17,0.38797529
lowThrust_5,0.093537237
GD06_theory,0.0932682333333333
delaunay_n13,0.0638602974
bcsstk23,0.1143160259999999
Dubcova3,0.087920771
bcsstm20,0.1235354712499999
G66,0.075788219
c-51,0.08659358
lund_b,0.3004097142857143
bfly,0.053869684
G64,0.0354492709999999
af_shell5,0.2530579579999999
nd24k,0.301648488
delaunay_n24,0.0639451583
G63,0.0354492709999999
bcsstk21,0.088979685
G60,0.033833771
pwtk,0.27681571
G62,0.070171676
ak2010,0.0371263998999999
YaleB_10NN,0.057820112
delaunay_n18,0.0638380686999999
as-22july06,0.0405870995
pds10,0.060289658
can_268,0.1159467875
onera_dual,0.0574794973
ex33,0.12886427
CurlCurl_0,0.084453778
dwt_492,0.1124200125
jagmesh3,0.0934519259999999
3elt,0.045532273
freeFlyingRobot_8,0.101247302
G22,0.041114187
filter2D,0.0599191659999999
minnesota,0.0447492346
bcsstk04,0.3526167285714285
com-Youtube,0.04052384823
vsp_mod2_pgp2_slptsk,0.0426953442
af_shell2,0.2530579579999999
GAP-road,0.04156137141
G61,0.033833771
ex32,0.101453122
G_n_pin_pout,0.0347749407399999
mesh1e1,0.1899046
nemeth18,0.40956507
nd6k,0.31248107
bcsstk18,0.0818459399999999
c-29,0.093180342
bcsstk38,0.210913428
ted_B_unscaled,0.186497344
c-56,0.099082417
mt2010,0.0373410929999999
inline_1,0.15163724
tn2010,0.0375220099
spaceStation_1,0.1910958333333333
dictionary28,0.0425256114
c-25,0.1107264139999999
fv2,0.1310629539999999
can_73,0.1359728333333333
GD97_b,0.19973382
af_shell3,0.2530579579999999
BenElechi1,0.32575592
pkustk10,0.236668897
lshp_265,0.11685897
nasa2146,0.250876078
Ga3As3H12,0.134961731
bcsstk37,0.252516567
G9,0.0807810777777777
nos7,0.0798251344444444
semeion_10NN,0.044972131
mawi_201512020000,0.07819644361
ex4,0.169188488
F1,0.1374573293999999
sphere2,0.1691173
s3dkq4m2,0.3011182999999999
nlpkkt80,0.149083048
hugetrace-00010,0.0465963115399999
GD97_a,0.0854213833333333
bodyy4,0.0980312439999999
c-73,0.081096093
can_61,0.2299515999999999
delaunay_n22,0.0637611704999999
consph,0.206663201
plbuckle,0.1702367699999999
se,0.0599611410999999
USAir97,0.0854407249999999
nemeth09,0.30320869
ukerbe1_dual,0.070183636
c-63,0.0817907599999999
olafu,0.29962652
Long_Coup_dt0,0.270715595
x104,0.28791889
smt,0.1939675
G13,0.0934022411111111
qc324,0.50143375
dwt_198,0.1677705142857142
G29,0.041007833
dynamicSoaringProblem_2,0.110049975
mycielskian13,0.15089447
apache1,0.078223491
ia2010,0.0385609891999999
L,0.0614507888888889
reorientation_3,0.097369886
ship_003,0.177752281
Trefethen_300,0.17649855
1138_bus,0.0561914349
astro-ph,0.0552393064
wv2010,0.0362287961999999
kron_g500-logn18,0.0348788239999999
aug2dc,0.0739816166
333SP,0.051784656724
lowThrust_1,0.0947879788888888
europe_osm,0.05336333917
luxembourg_osm,0.0547021017399999
k1_san,0.0713460953
G54,0.0492080888888888
cegb2919,0.29822196
msc04515,0.1642858239999999
airfoil1,0.0471616049999999
ca-GrQc,0.0346124714
Ge99H100,0.114434055
jagmesh1,0.10422279
dynamicSoaringProblem_5,0.119866925
ny2010,0.0376942782
G56,0.0340382878
NACA0015,0.044306811576
G46,0.0524200111111111
pfinan512,0.072590592
dataset16mfeatkarhunen_10NN,0.051812997
bcsstm27,0.31280308
netscience,0.0754835569999999
lowThrust_4,0.091320005
spaceShuttleEntry_3,0.101158371
al2010,0.0364803415
