machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
AMD-Desktop,144,29.1382,29.1873,33.9976,28.8217,42.653,42.1837,31.2198,14.7126
AMD-Desktop,2cubes_sphere,32.1316,42.1019,38.7341,43.5191,48.4448,40.9866,34.5539,39.1553
AMD-Desktop,333SP,17.5809,13.2914,16.9197,13.6027,12.0405,12.0908,15.1841,9.79096
AMD-Desktop,3dtube,118.124,140.719,133.719,123.412,158.171,148.076,138.263,120.958
AMD-Desktop,3elt_dual,53.5007,51.397,53.5804,57.6174,53.9546,48.8418,56.8941,56.3612
AMD-Desktop,598a,26.4885,23.1716,32.7646,24.0156,38.331,27.1837,29.3976,11.7225
AMD-Desktop,ACTIVSg70K,12.6032,13.8242,13.0613,14.5535,14.6816,14.1617,11.1784,9.99105
AMD-Desktop,AS365,17.508,9.84188,17.1003,10.1554,9.12308,9.19272,14.5651,7.93958
AMD-Desktop,Alemdar,99.9415,97.6849,109.931,98.568,100.858,,117.769,89.5624
AMD-Desktop,Andrews,25.0196,24.2113,26.9739,20.2631,34.454,34.4651,23.6158,13.6626
AMD-Desktop,BenElechi1,143.524,152.078,133.777,160.093,153.828,153.471,153.111,155.186
AMD-Desktop,Bump_2911,65.7143,84.9968,71.2596,90.2156,94.8948,93.3429,67.8299,85.231
AMD-Desktop,CO,31.2068,35.959,54.0428,33.5872,70.3104,48.2943,23.8174,31.9799
AMD-Desktop,Cube_Coup_dt0,87.2914,112.031,94.3691,111.156,118.152,116.277,106.331,101.688
AMD-Desktop,Cube_Coup_dt6,88.7376,110.247,94.2057,106.418,121.298,115.78,105.83,104.017
AMD-Desktop,CurlCurl_0,131.991,140.097,136.301,144.199,78.0516,134.712,61.5494,152.698
AMD-Desktop,CurlCurl_1,22.1738,32.8942,29.2086,31.6186,34.812,34.2779,25.7413,29.3063
AMD-Desktop,CurlCurl_2,20.9244,30.3003,28.0093,30.1625,34.4401,33.4111,26.0691,28.6929
AMD-Desktop,CurlCurl_3,21.0169,30.5082,27.6119,28.8161,31.6604,30.3992,24.9027,28.4558
AMD-Desktop,CurlCurl_4,21.2524,31.5855,27.2437,29.0037,28.9654,28.458,24.4485,28.1277
AMD-Desktop,Dubcova1,135.355,132.839,169.666,134.366,152.815,,181.198,89.2837
AMD-Desktop,Dubcova2,42.5475,36.2692,47.0778,47.8917,53.433,50.4087,53.0308,23.3382
AMD-Desktop,Dubcova3,60.4588,51.1788,62.1382,51.0437,66.9695,66.559,66.0767,31.3766
AMD-Desktop,EX5,140.896,133.68,139.298,149.823,126.026,,140.579,148.658
AMD-Desktop,EX6,139.742,145.836,141.341,148.803,128.008,,144.371,147.491
AMD-Desktop,Emilia_923,67.1596,93.3391,80.2306,82.2531,107.437,107.557,82.4665,70.503
AMD-Desktop,Erdos02,42.5508,48.1208,12.6706,44.6997,46.4269,24.965,31.396,18.175
AMD-Desktop,Erdos972,42.1408,48.1614,37.5671,48.8555,44.8009,29.0827,43.5373,16.5549
AMD-Desktop,Erdos982,41.4081,48.4164,32.9578,46.6686,47.7486,38.4831,40.2859,22.0405
AMD-Desktop,Erdos992,42.4548,47.3264,23.187,45.3944,46.9452,32.855,47.5898,22.9944
AMD-Desktop,F1,94.4824,63.8095,119.729,59.1089,90.5294,74.3271,123.436,39.779
AMD-Desktop,F2,99.252,111.53,125.382,104.439,140.988,131.08,136.163,50.0134
AMD-Desktop,Fashion_MNIST_norm_10NN,138.259,122.712,84.5796,117.407,134.017,123.973,147.672,104.501
AMD-Desktop,Fault_639,69.7902,78.1813,68.8026,94.8216,110.72,108.003,80.9979,79.8439
AMD-Desktop,Flan_1565,114.232,155.649,108.051,145.232,165.758,162.748,137.624,145.017
AMD-Desktop,G2_circuit,14.2059,16.5597,15.3148,18.1208,17.6425,18.079,12.3348,15.3277
AMD-Desktop,G3_circuit,13.1478,15.2814,13.1848,17.0648,16.2483,16.4742,11.422,15.0161
AMD-Desktop,G55,70.8078,65.1892,72.9386,88.1876,30.9425,86.3199,75.3176,73.072
AMD-Desktop,G56,71.6482,78.0067,74.0441,74.7717,74.9812,70.1404,91.1652,88.8131
AMD-Desktop,G57,73.722,74.9515,64.875,34.6011,75.5943,74.7555,76.066,76.0095
AMD-Desktop,G58,68.9045,103.286,67.3537,97.2802,108.966,84.0724,83.9093,41.1327
AMD-Desktop,G59,68.7421,111.84,66.8895,110.356,109.494,83.4371,83.1763,42.0897
AMD-Desktop,G60,56.3091,59.524,74.2156,73.5867,74.9639,32.1015,73.5996,72.5469
AMD-Desktop,G61,71.5303,74.009,75.0985,70.2546,75.4269,71.5602,73.9218,70.4807
AMD-Desktop,G62,76.9595,47.1821,76.7197,74.7437,76.8273,74.3175,76.3682,76.7946
AMD-Desktop,G63,64.8272,102.097,65.2131,91.792,107.538,76.587,79.5997,40.3429
AMD-Desktop,G64,63.3748,101.812,63.8671,88.6413,108.951,77.825,80.6582,40.1199
