matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,9.93324,9.35988,9.76866,10.0099,10.8287,9.85775,10.2471,10.686
1138_bus,1138,1138,4054,64,39.1632,42.8499,49.3732,42.8853,44.8111,54.2227,42.0819,40.699
144,144649,144649,2148786,8,16.0908,17.0081,17.3288,15.3041,16.2497,16.4748,15.7723,11.4592
144,144649,144649,2148786,64,22.7189,29.397,31.015,29.6379,31.5676,30.7807,31.7431,11.1687
2cubes_sphere,101492,101492,1647264,8,17.3263,17.5539,17.6456,17.8408,17.4808,17.803,17.9246,17.51
2cubes_sphere,101492,101492,1647264,64,26.4532,24.7649,28.6347,29.4171,36.9469,29.9651,27.0761,25.3144
333SP,3712815,3712815,22217266,8,7.82131,8.28473,6.25545,8.38266,8.28082,6.92145,15.0646,2.56277
333SP,3712815,3712815,22217266,64,15.0898,14.7377,13.5676,16.1884,11.8554,10.0734,18.22,6.82963
3dtube,45330,45330,3213618,8,15.7345,16.0073,15.7439,15.6142,16.0054,16.0952,15.9279,15.7651
3dtube,45330,45330,3213618,64,63.8664,70.0119,65.8972,69.8274,71.4092,70.6913,73.8874,70.3527
3elt,4720,4720,27444,8,16.0257,17.3628,16.0198,16.1554,16.1614,16.2812,16.055,15.5876
3elt,4720,4720,27444,64,62.0521,64.1379,64.1719,64.5622,65.9315,65.7341,65.27,61.7478
3elt_dual,9000,9000,26556,8,13.9631,15.0294,14.1538,14.8099,14.893,14.8612,15.3442,15.0294
3elt_dual,9000,9000,26556,64,55.4514,56.947,56.2963,56.7938,57.6912,57.5048,60.8843,54.2046
494_bus,494,494,1666,8,7.88638,7.42507,7.86313,6.30166,6.99633,7.01474,6.00357,7.46668
494_bus,494,494,1666,64,33.4245,35.8401,40.774,33.5295,33.268,33.3721,34.0108,40.0089
598a,110971,110971,1483868,8,16.7726,16.7323,16.6849,16.0616,16.8146,16.3083,17.2822,5.39434
598a,110971,110971,1483868,64,24.908,28.7277,27.9007,29.2334,28.9095,29.0623,30.7118,9.34136
662_bus,662,662,2474,8,8.71896,7.65649,8.47623,8.17682,9.09976,8.62398,10.3083,8.62392
662_bus,662,662,2474,64,40.9138,38.9032,36.4829,40.547,39.9839,40.2891,43.026,41.9433
685_bus,685,685,3249,8,9.13602,9.45164,9.86415,8.42529,9.36649,10.1531,10.7851,9.38339
685_bus,685,685,3249,64,41.2572,47.4739,55.3021,41.5872,32.1385,43.776,45.6,47.2581
ACTIVSg70K,69999,69999,238627,8,11.8022,12.2325,12.1701,9.75922,12.4731,12.3825,12.3568,12.2383
ACTIVSg70K,69999,69999,238627,64,16.277,17.4471,22.2697,15.4061,13.6259,16.2246,20.9106,16.913
AS365,3799275,3799275,22736152,8,6.29106,8.7632,6.20234,7.66966,8.85646,8.75607,13.7376,2.31354
AS365,3799275,3799275,22736152,64,13.4576,12.3416,13.6612,14.2803,8.82132,8.9224,20.0604,6.41334
Alemdar,6245,6245,42581,8,14.7722,14.3458,15.2997,15.6796,16.0873,,15.7416,16.4207
Alemdar,6245,6245,42581,64,56.1656,51.8091,46.1348,24.2398,60.2444,,60.6938,51.7309
Andrews,60000,60000,760154,8,15.5352,16.4361,16.3673,13.5902,16.6931,13.5335,14.6875,14.7126
Andrews,60000,60000,760154,64,22.6827,32.4672,25.8345,23.7158,31.3253,37.2361,28.06,21.1061
BenElechi1,245874,245874,13150496,8,15.7709,16.353,16.1755,16.3202,16.2698,16.3032,16.4216,16.3876
BenElechi1,245874,245874,13150496,64,70.4148,74.439,72.974,74.8404,74.3689,74.4485,75.2946,74.456
Binaryalphadigs_10NN,1404,1404,19392,8,14.0325,16.1768,15.0107,15.0398,15.6151,15.5283,15.4441,16.6544
Binaryalphadigs_10NN,1404,1404,19392,64,60.7632,63.5787,64.5895,61.7918,54.7096,62.1165,61.6077,61.6077
Bump_2911,2911419,2911419,127729899,8,13.4499,15.4472,13.4809,16.0018,16.2225,15.871,15.3963,15.6974
Bump_2911,2911419,2911419,127729899,64,48.2455,59.1679,48.1564,64.8009,69.4969,68.2096,56.5684,60.4491
CO,221119,221119,7666057,8,14.9377,15.3877,15.0877,15.9181,16.2047,14.8331,15.7288,15.9508
CO,221119,221119,7666057,64,25.3736,38.2811,41.9819,26.8064,46.7894,37.3566,33.5207,24.6236
Chem97ZtZ,2541,2541,7361,8,10.1356,10.875,11.0071,11.6957,11.2168,10.4411,10.7953,7.15964
Chem97ZtZ,2541,2541,7361,64,47.8764,56.1841,50.5205,52.374,54.5259,54.7795,54.0877,32.4006
Cube_Coup_dt0,2164760,2164760,127206144,8,14.3791,15.9594,14.4983,16.1484,16.0391,16.0691,15.7151,15.6941
Cube_Coup_dt0,2164760,2164760,127206144,64,56.3018,69.2211,58.8995,67.6175,70.4805,70.9915,64.552,64.8267
Cube_Coup_dt6,2164760,2164760,127206144,8,14.3524,15.95,14.4926,16.1567,16.0674,16.0662,15.6982,15.6863
Cube_Coup_dt6,2164760,2164760,127206144,64,56.8229,70.0052,57.914,67.6169,70.7147,70.9374,64.7094,64.6777
CurlCurl_0,11083,11083,113343,8,17.837,18.3847,18.0877,18.4541,18.3905,17.9498,18.3998,17.6995
CurlCurl_0,11083,11083,113343,64,63.4029,67.3496,65.9474,67.7746,68.1119,65.8576,68.4526,64.5424
CurlCurl_1,226451,226451,2472071,8,11.952,18.5498,14.9597,18.3671,18.3193,18.5896,18.8792,18.7649
CurlCurl_1,226451,226451,2472071,64,18.0932,31.8464,24.2768,34.6986,34.4557,32.8835,35.5783,27.1533
CurlCurl_2,806529,806529,8921789,8,8.53044,15.1217,11.7303,16.3401,16.764,16.2964,18.4427,18.9691
CurlCurl_2,806529,806529,8921789,64,14.5947,27.9988,22.9961,33.3064,31.9492,32.5017,27.5226,25.6206
CurlCurl_3,1219574,1219574,13544618,8,8.54763,15.5283,11.9944,16.2185,16.2444,16.4998,18.5934,18.7994
CurlCurl_3,1219574,1219574,13544618,64,15.8668,30.419,25.281,32.8258,32.8177,33.3948,24.2629,25.9752
CurlCurl_4,2380515,2380515,26515867,8,7.41393,15.58,9.02005,16.1456,16.7636,16.2763,17.7709,18.478
CurlCurl_4,2380515,2380515,26515867,64,15.5271,30.2886,20.0978,33.2979,34.5387,33.849,23.2723,25.376
Dubcova1,16129,16129,253009,8,16.7756,17.5159,17.6251,17.4397,18.0093,,17.3852,10.8483
Dubcova1,16129,16129,253009,64,65.7923,65.485,62.25,65.2369,67.8192,,65.9481,39.9263
Dubcova2,65025,65025,1030225,8,17.3816,17.6564,17.8947,17.8242,18.2967,18.0742,17.9253,10.879
Dubcova2,65025,65025,1030225,64,46.17,48.3574,49.4234,43.6107,48.1595,44.4024,56.0735,18.921
Dubcova3,146689,146689,3636649,8,15.847,16.2903,16.7671,16.5949,16.3126,16.9167,17.4515,10.9259
Dubcova3,146689,146689,3636649,64,43.1832,48.6366,44.5742,53.6442,44.5612,54.9051,58.984,17.3021
EX1,560,560,8736,8,13.5573,14.0478,13.8529,13.5298,13.9916,14.8382,14.0337,13.5969
EX1,560,560,8736,64,54.9488,60.5091,64.8951,58.1491,57.8783,54.1243,56.9353,56.3329
EX2,560,560,8736,8,14.2049,14.6516,14.3951,13.8255,15.1273,14.9493,13.5969,13.9081
EX2,560,560,8736,64,57.6991,57.344,64.599,59.3844,53.0711,56.6468,55.4667,60.0219
EX3,2600,2600,71760,8,16.6304,17.4782,16.5441,16.8971,17.4146,16.5037,16.568,16.7027
EX3,2600,2600,71760,64,60.7207,65.8202,58.4599,68.4085,63.4299,58.1494,62.7448,67.8276
EX4,2600,2600,71760,8,16.5799,17.4225,16.5534,16.85,17.1981,16.4658,16.5438,16.7076
EX4,2600,2600,71760,64,60.8297,66.6073,60.6842,67.8677,62.887,57.7651,64.1426,67.5031
EX5,6545,6545,295680,8,16.1822,16.3686,16.093,16.355,16.2589,,16.2338,16.4129
EX5,6545,6545,295680,64,56.764,65.7108,59.0322,67.2664,60.6431,,55.5794,53.8766
EX6,6545,6545,295680,8,16.1198,16.3167,16.1589,16.3715,16.1275,,16.1805,16.3272
EX6,6545,6545,295680,64,57.8981,65.0021,58.5962,67.5124,59.9496,,27.6076,67.3138
Ecoli_10NN,336,336,4560,8,12.5146,12.6447,12.0595,12.5361,12.2211,12.6887,12.0595,10.7929
Ecoli_10NN,336,336,4560,64,51.7906,59.0769,74.1652,54.8057,62.4925,53.4016,61.0544,56.1176
Emilia_923,923136,923136,41005206,8,14.1156,15.5101,14.1866,15.9427,15.9857,15.9579,16.2008,16.1702
Emilia_923,923136,923136,41005206,64,50.1506,60.8053,50.8771,60.0294,66.5602,66.1111,58.9308,58.8196
Erdos02,6927,6927,16944,8,5.5793,8.85093,5.37468,9.00977,10.0405,5.39607,6.39547,5.83396
Erdos02,6927,6927,16944,64,22.4913,34.7291,18.4737,25.1985,40.2971,18.8888,10.4275,10.8441
Erdos971,472,472,2628,8,,7.23717,5.93061,7.44212,8.2447,6.96044,8.18054,8.63408
Erdos971,472,472,2628,64,,36.0154,35.4088,35.4461,35.6717,34.6074,37.0426,39.1144
Erdos972,5488,5488,14170,8,5.7267,9.14194,5.96946,9.1604,10.2495,6.24401,8.10873,5.6314
Erdos972,5488,5488,14170,64,23.3669,36.895,22.9529,19.6207,41.8399,22.8834,33.7005,18.8343
Erdos981,485,485,2762,8,,6.8187,7.41477,7.65891,8.98211,7.5413,7.73941,9.40254
Erdos981,485,485,2762,64,,35.1079,33.0099,39.5013,47.2011,33.321,37.1361,39.1947
Erdos982,5822,5822,14750,8,5.59773,9.06646,5.94608,8.76997,10.4328,6.24008,7.56168,5.67977
Erdos982,5822,5822,14750,64,22.7111,35.8799,23.2825,35.0864,43.5625,22.1648,31.4929,19.0995
Erdos991,492,492,2834,8,5.71805,8.52332,6.77687,7.4579,9.34928,7.72471,7.44443,8.82179
Erdos991,492,492,2834,64,29.7582,35.7744,32.7985,47.9196,36.5309,36.0947,34.1542,33.4951
Erdos992,6100,6100,15030,8,5.72831,9.01012,6.02541,8.64725,9.52773,5.70128,8.55496,5.64374
Erdos992,6100,6100,15030,64,22.9408,34.9275,22.0369,33.4284,21.3307,19.5274,35.1515,10.0676
F1,343791,343791,26837113,8,13.3491,15.1728,14.338,15.6481,15.512,15.5324,15.7617,10.3305
F1,343791,343791,26837113,64,54.6577,60.9578,58.0174,63.6089,66.0761,64.3246,67.2539,30.8771
F2,71505,71505,5294285,8,12.6741,15.5111,15.2633,15.2451,16.0679,15.5997,15.7209,13.7665
F2,71505,71505,5294285,64,50.5439,66.0803,63.4681,59.7331,68.8181,66.7441,68.0451,50.9094
Fashion_MNIST_norm_10NN,10000,10000,158304,8,13.492,16.9704,16.8473,16.8914,16.8699,16.7683,16.9059,15.8046
Fashion_MNIST_norm_10NN,10000,10000,158304,64,53.3105,57.6695,65.2205,58.5513,61.2298,60.0808,59.8376,47.2889
Fault_639,638802,638802,28614564,8,14.3637,15.7052,14.5108,15.9248,16.1055,16.0091,16.017,16.1196
Fault_639,638802,638802,28614564,64,50.8913,63.6466,49.2413,65.8097,67.5363,66.4818,58.449,59.3741
Flan_1565,1564794,1564794,117406044,8,15.1686,16.1132,14.7168,16.1767,16.1169,16.1332,16.0688,16.1026
Flan_1565,1564794,1564794,117406044,64,64.6518,72.3704,59.2165,72.325,72.7286,73.0992,70.3904,69.7661
G1,800,800,38352,8,13.2277,15.3712,15.2945,15.23,15.5902,15.4762,14.5964,14.9553
G1,800,800,38352,64,51.2588,62.6795,62.7997,63.4327,62.6707,62.6155,64.3389,64.1698
G10,800,800,38352,8,13.8205,15.5744,15.626,15.1402,15.5661,14.9262,14.7721,14.9193
G10,800,800,38352,64,55.2007,62.4316,62.9762,62.4562,62.7588,62.5676,62.9197,62.6307
G11,800,800,3200,8,10.6889,9.17562,9.60603,10.9636,10.449,10.3226,11.2035,8.85814
G11,800,800,3200,64,60.6814,47.4623,52.7088,48.3019,46.3348,46.758,49.3435,50.882
G12,800,800,3200,8,8.91827,10.1992,11.0823,10.8245,10.3644,10.6889,11.2035,10.535
G12,800,800,3200,64,45.5111,49.1717,47.7389,52.8516,48.245,48.3019,56.5747,62.9186
G13,800,800,3200,8,9.53447,9.94176,10.6666,9.73385,9.22523,11.0345,11.2035,11.3274
G13,800,800,3200,64,48.7039,49.0539,52.2449,50.3812,58.2646,49.1717,49.7088,62.439
G14,800,800,9388,8,9.6041,12.9601,9.72849,12.2319,13.4837,10.0406,9.60408,7.90985
G14,800,800,9388,64,40.6517,53.2393,39.0658,51.4852,50.8533,39.9476,39.4493,31.6311
G15,800,800,9322,8,9.11687,13.0264,10.0304,13.118,12.8137,10.3866,9.45794,8.12374
G15,800,800,9322,64,39.4713,51.2991,40.9899,50.3679,50.1984,38.8151,39.6417,30.6181
G16,800,800,9344,8,9.55297,13.08,9.14397,12.9553,13.6409,12.2544,9.96628,7.52033
G16,800,800,9344,64,36.9933,50.4442,39.2656,53.4181,51.2878,42.9147,39.7076,31.1629
G17,800,800,9334,8,9.97621,13.4181,10.0704,12.2715,13.066,9.73559,9.96956,7.64299
G17,800,800,9334,64,39.3528,54.6297,40.1327,53.4087,50.1344,38.0967,43.1474,31.341
G18,800,800,9388,8,9.31811,13.0389,9.95414,12.7728,14.0513,9.23221,10.4311,7.86429
G18,800,800,9388,64,40.4873,50.1111,38.8498,49.779,51.2,44.6865,41.7389,31.8659
G19,800,800,9322,8,9.22399,13.9786,9.74213,12.0771,13.8617,9.61651,9.56654,7.89164
G19,800,800,9322,64,37.963,52.7039,40.3932,50.2407,52.334,40.1621,39.68,29.9344
G2,800,800,38352,8,13.3224,15.5075,15.5232,15.0548,15.414,14.8256,14.9812,15.1477
G2,800,800,38352,64,56.1741,62.3927,62.8552,63.1065,61.983,62.1785,60.7933,63.9117
G20,800,800,9344,8,8.85163,12.7129,10.247,11.735,13.542,11.1821,11.0498,7.68658
G20,800,800,9344,64,38.7944,57.0898,38.8574,50.8301,54.7108,44.8456,42.5937,30.9772
G21,800,800,9334,8,9.23587,13.1338,9.94963,12.8413,11.604,9.43423,9.87074,7.82316
