matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.28571,2.1714,2.15145,2.23169,2.15581,2.17613,2.20408,2.23792
1138_bus,1138,1138,4054,64,8.60736,8.45299,8.55542,8.48797,8.5217,8.43143,8.37603,8.49881
144,144649,144649,2148786,8,2.43694,2.35808,2.39263,2.44568,2.41462,2.41008,2.43957,2.29816
144,144649,144649,2148786,64,3.77669,4.2202,4.15621,4.13291,4.55838,4.56207,4.29315,2.76364
2cubes_sphere,101492,101492,1647264,8,2.7231,2.87356,2.9138,3.15307,2.79892,3.03531,3.03165,2.90925
2cubes_sphere,101492,101492,1647264,64,4.3439,5.02121,4.73302,5.06711,5.1744,5.18626,4.77159,5.03606
333SP,3712815,3712815,22217266,8,1.02086,1.13246,0.912328,1.12555,1.12674,1.12362,1.13582,0.602725
333SP,3712815,3712815,22217266,64,2.14145,2.32605,2.17238,2.33214,2.10449,2.09991,2.20354,1.30512
3dtube,45330,45330,3213618,8,2.85322,2.74497,2.93231,2.85056,2.81308,2.84491,2.82112,2.91943
3dtube,45330,45330,3213618,64,9.12229,9.4465,9.50811,9.29381,9.54085,9.46446,9.40787,8.97393
3elt,4720,4720,27444,8,3.54019,3.45746,3.47522,3.42854,3.31913,3.45262,3.48551,3.45934
3elt,4720,4720,27444,64,10.5036,10.8851,10.4492,9.96619,10.9284,10.8648,10.5841,10.5951
3elt_dual,9000,9000,26556,8,3.24472,3.22108,3.20601,3.11628,3.16975,3.23945,3.15378,3.26494
3elt_dual,9000,9000,26556,64,8.85486,9.04669,8.94059,8.91899,9.04874,8.89874,8.94987,8.70613
494_bus,494,494,1666,8,2.14656,2.17334,2.06508,2.10619,2.13333,2.12196,2.07537,1.94641
494_bus,494,494,1666,64,8.84406,8.82101,8.74218,8.72002,8.71004,8.74648,8.74971,8.68522
598a,110971,110971,1483868,8,2.73979,2.80024,2.81602,2.85628,2.79763,2.70847,2.89225,2.23947
598a,110971,110971,1483868,64,3.97455,4.12021,4.33598,3.89307,4.54893,4.43674,4.2605,2.40196
662_bus,662,662,2474,8,2.35661,2.34447,2.35059,2.25653,2.30327,2.3341,2.36027,2.34183
662_bus,662,662,2474,64,9.0066,8.8721,8.82463,8.91205,8.83744,8.88854,8.818,8.41967
685_bus,685,685,3249,8,2.50888,2.41764,2.40333,2.45034,2.39414,2.37815,2.47578,2.42248
685_bus,685,685,3249,64,9.2628,9.1942,9.25724,9.12821,9.18081,9.16906,8.97204,9.13643
