matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,3.77993,3.64325,3.71184,3.71417,3.52693,3.73619,3.70839,3.69134
1138_bus,1138,1138,4054,64,13.3568,13.2396,13.2663,13.3359,13.2531,13.1317,13.0676,13.2626
144,144649,144649,2148786,8,6.09918,5.80436,6.08898,5.82403,6.05567,6.05534,6.1705,4.82064
144,144649,144649,2148786,64,11.296,10.3869,12.6352,11.2654,12.2437,12.28,14.2692,6.70191
2cubes_sphere,101492,101492,1647264,8,5.89114,6.23394,6.20728,6.1926,6.25027,6.20811,6.25862,6.11887
2cubes_sphere,101492,101492,1647264,64,11.682,13.5459,13.2133,13.8934,14.0944,13.9381,14.3846,12.9423
333SP,3712815,3712815,22217266,8,3.85683,4.40492,3.17436,4.48327,4.25781,4.26849,5.71139,2.1019
333SP,3712815,3712815,22217266,64,10.0838,9.9533,8.60638,10.1269,8.65434,9.00945,12.3908,4.67758
3dtube,45330,45330,3213618,8,5.96279,5.98294,5.98385,5.98024,5.97715,5.97948,6.02035,5.99193
3dtube,45330,45330,3213618,64,17.2416,17.3839,17.3138,17.3356,17.4578,17.4175,17.8546,17.2496
3elt,4720,4720,27444,8,6.45542,6.52447,6.41742,6.65016,6.61582,6.46589,6.6643,6.61162
3elt,4720,4720,27444,64,15.3507,15.8177,15.5552,15.9032,15.9278,15.7171,15.656,15.6132
3elt_dual,9000,9000,26556,8,5.704,5.76992,5.79984,5.67209,5.67004,5.78592,5.99408,5.77711
3elt_dual,9000,9000,26556,64,14.0957,14.7739,13.6653,14.7331,14.567,14.492,14.5153,14.0501
494_bus,494,494,1666,8,3.35374,3.50273,3.57894,3.43412,3.24325,3.16918,3.25987,3.48811
494_bus,494,494,1666,64,14.716,14.7117,14.4165,14.5699,14.1213,14.3651,14.6141,13.8169
598a,110971,110971,1483868,8,6.04313,5.79723,6.03941,5.56946,5.95182,5.92417,6.14389,4.57169
598a,110971,110971,1483868,64,11.509,10.2557,12.3788,10.1042,11.7917,11.8148,14.1666,5.45632
662_bus,662,662,2474,8,4.08673,3.83454,3.93246,2.79625,3.9281,2.87085,3.80212,4.0118
