matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.11809,4.27609,4.12621,4.11808,4.04616,3.83993,4.10506,3.95705
1138_bus,1138,1138,4054,64,11.4608,11.3156,11.3107,11.4381,11.5968,11.3876,11.3777,11.0737
144,144649,144649,2148786,8,3.44618,2.92818,3.70965,3.26126,3.00648,2.71534,3.68279,2.87171
144,144649,144649,2148786,64,6.07974,6.11148,9.03659,7.92235,7.30126,5.73378,9.71597,3.68491
2cubes_sphere,101492,101492,1647264,8,3.91472,3.48562,3.60913,3.45636,3.53861,3.36382,3.69717,3.10715
2cubes_sphere,101492,101492,1647264,64,6.6338,7.52105,8.17694,6.55547,8.24515,7.10898,8.51463,6.12798
333SP,3712815,3712815,22217266,8,2.6448,2.88754,2.1085,2.87625,2.94789,2.40402,3.99994,1.05165
333SP,3712815,3712815,22217266,64,6.74681,7.75128,5.45004,7.79778,5.83185,5.77836,11.1053,3.34215
3dtube,45330,45330,3213618,8,3.28669,3.26234,3.274,3.30275,3.28075,3.2786,3.30997,3.24316
3dtube,45330,45330,3213618,64,14.3564,14.7165,14.3384,14.8361,14.6011,14.6981,15.172,14.7472
3elt,4720,4720,27444,8,4.61617,4.57091,4.62882,4.59007,4.55904,4.57138,4.59824,4.54719
3elt,4720,4720,27444,64,13.2369,14.0772,13.2841,13.7623,13.834,13.9518,13.9179,13.549
3elt_dual,9000,9000,26556,8,4.52108,4.49521,4.35447,4.57916,4.45365,4.58762,4.64845,4.50044
3elt_dual,9000,9000,26556,64,12.619,13.018,12.6699,12.8024,13.037,13.0451,13.6585,12.5065
494_bus,494,494,1666,8,4.12505,3.98863,4.13785,4.02536,4.0437,4.28416,4.00662,4.19581
494_bus,494,494,1666,64,12.4249,12.6085,12.2811,12.0248,12.8061,12.4984,11.9507,11.611
598a,110971,110971,1483868,8,3.61872,3.12173,3.41978,3.31123,2.89148,2.99257,3.60386,2.93726
598a,110971,110971,1483868,64,6.64919,5.80918,8.84691,5.52524,5.40525,6.14761,8.27964,3.37058
662_bus,662,662,2474,8,4.01095,3.85433,3.95049,4.00283,3.91146,4.40458,3.96673,4.23449
662_bus,662,662,2474,64,11.9045,11.8157,11.7234,11.8733,11.8422,11.684,12.0637,11.5225
685_bus,685,685,3249,8,4.4268,4.0565,4.37833,4.37097,4.29158,3.95135,4.44955,4.00339
685_bus,685,685,3249,64,12.3207,12.3496,12.3349,12.3203,12.2369,12.2658,12.0173,12.133
ACTIVSg70K,69999,69999,238627,8,3.01371,2.98755,2.90812,2.69543,2.9366,2.92437,2.97568,2.91897
ACTIVSg70K,69999,69999,238627,64,5.59178,4.7953,5.63717,4.8677,4.50324,4.48641,7.36809,5.03637
