matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,7.80835,8.41661,8.2141,8.28404,9.01306,8.13818,8.24158,7.7431
1138_bus,1138,1138,4054,64,20.4028,22.7158,27.1966,23.2245,23.7123,23.931,24.8156,19.4909
144,144649,144649,2148786,8,18.2237,20.1551,20.4131,19.9917,21.0936,20.591,23.0686,13.8905
144,144649,144649,2148786,64,26.1771,34.99,33.4515,34.4099,35.7444,35.2453,31.6555,15.3829
2cubes_sphere,101492,101492,1647264,8,21.6039,21.9089,20.8689,22.0277,24.55,21.9352,23.6392,21.4974
2cubes_sphere,101492,101492,1647264,64,29.3977,26.4301,29.8672,35.4166,38.7534,29.2514,27.733,33.7186
333SP,3712815,3712815,22217266,8,8.96357,10.9226,8.22497,11.2639,10.4127,8.74608,14.6125,3.87189
333SP,3712815,3712815,22217266,64,15.762,15.3458,15.4265,16.6104,11.7267,10.8371,17.4835,8.78363
3dtube,45330,45330,3213618,8,26.8499,28.0863,26.4406,27.7672,27.9951,28.1441,28.1354,27.344
3dtube,45330,45330,3213618,64,109.789,109.052,110.046,102.188,120.539,121.651,116.916,119.346
3elt,4720,4720,27444,8,15.0924,16.0785,15.0373,15.7404,15.7325,15.7479,15.9635,14.9051
3elt,4720,4720,27444,64,31.8642,34.0047,33.0533,35.0603,32.9276,34.4879,32.5915,34.4822
3elt_dual,9000,9000,26556,8,9.26298,10.0504,9.13362,10.0487,10.2755,10.1149,9.84239,9.26709
3elt_dual,9000,9000,26556,64,21.6838,23.7089,20.8027,23.6123,23.115,22.7433,23.6588,22.8849
494_bus,494,494,1666,8,5.69572,5.72386,5.93674,5.91042,5.76554,5.67552,6.01715,5.64347
494_bus,494,494,1666,64,18.0362,18.9329,19.1873,22.9135,18.8548,19.04,17.6769,16.5909
598a,110971,110971,1483868,8,21.4953,19.8578,20.4784,19.1883,21.1575,22.248,24.0744,11.4337
598a,110971,110971,1483868,64,27.4695,31.2904,31.0101,30.1016,31.7765,34.1337,29.6171,12.2275
662_bus,662,662,2474,8,7.03092,6.84449,6.86825,6.88418,6.94456,7.09814,7.3209,6.90018
662_bus,662,662,2474,64,20.9578,20.1873,21.4931,21.4693,22.6788,22.2117,19.6365,18.686
685_bus,685,685,3249,8,8.75643,8.48949,8.73632,8.65918,8.72215,8.88615,8.96275,8.82582
685_bus,685,685,3249,64,23.9558,24.9873,26.8593,25.2503,26.1719,25.2498,24.1221,27.1398
