matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,11.8755,12.1098,11.8545,6.83259,12.0059,11.8315,11.4419,10.6626
1138_bus,1138,1138,4054,64,36.5182,37.2532,37.5379,26.0463,37.5705,37.9544,35.4828,32.9092
144,144649,144649,2148786,8,29.2447,24.3842,30.6709,29.4611,30.6679,25.0981,29.6096,25.4797
144,144649,144649,2148786,64,44.6582,52.2306,53.8055,52.3357,57.5998,57.16,48.6318,32.0156
2cubes_sphere,101492,101492,1647264,8,36.0923,39.0081,39.5145,40.4474,40.037,39.3602,38.9619,37.8397
2cubes_sphere,101492,101492,1647264,64,52.731,61.6457,59.2019,62.3678,66.9842,65.313,56.4277,65.5823
333SP,3712815,3712815,22217266,8,10.9518,15.7232,12.6524,15.806,12.9453,13.3959,12.785,6.44872
333SP,3712815,3712815,22217266,64,26.2595,21.1124,29.2369,22.2665,18.5948,18.5868,25.1097,14.8488
3dtube,45330,45330,3213618,8,42.3697,53.2915,50.0587,53.3863,55.2434,55.5741,56.021,48.5744
3dtube,45330,45330,3213618,64,124.114,126.365,125.415,129.225,129.402,137.153,129.165,128.29
3elt,4720,4720,27444,8,32.5584,32.0826,32.0265,28.3751,32.0264,33.2185,31.4079,31.5766
3elt,4720,4720,27444,64,63.2487,65.4703,63.4899,65.3627,68.5475,65.6743,59.7607,61.7485
3elt_dual,9000,9000,26556,8,24.8958,25.3508,25.6802,25.3397,25.2854,25.0972,23.8813,24.7647
3elt_dual,9000,9000,26556,64,59.5148,62.2197,59.9331,62.0498,62.7195,62.4954,58.3872,59.8948
494_bus,494,494,1666,8,6.45216,6.37652,6.35171,6.2952,6.35728,6.43657,6.44436,6.30811
494_bus,494,494,1666,64,28.0257,27.6145,28.5842,26.9049,27.5704,27.0997,27.4745,27.8246
598a,110971,110971,1483868,8,31.5434,34.633,33.7298,32.2318,36.3729,37.6008,35.0788,25.9071
598a,110971,110971,1483868,64,48.8405,52.7059,54.0217,48.4237,59.631,56.5624,50.1527,30.5813
662_bus,662,662,2474,8,8.83308,8.28751,8.42749,8.4335,8.37638,8.41914,8.40306,8.17231
662_bus,662,662,2474,64,34.0629,32.156,34.3487,32.7209,33.5777,32.7648,34.0911,31.7678
685_bus,685,685,3249,8,10.7044,10.6011,10.8315,10.5259,10.7724,10.5551,10.3989,6.49475
685_bus,685,685,3249,64,40.7998,41.8326,41.5138,40.2119,40.8599,41.5083,43.1492,30.1867
ACTIVSg70K,69999,69999,238627,8,26.7664,19.0178,27.278,26.8517,28.1018,27.5502,26.6722,27.6468
ACTIVSg70K,69999,69999,238627,64,22.7139,23.89,24.0025,24.3581,23.6687,24.4622,22.263,23.3854
AS365,3799275,3799275,22736152,8,11.0313,15.123,13.1348,14.2972,10.975,11.3638,15.3616,6.00024
AS365,3799275,3799275,22736152,64,26.2754,19.2635,29.7185,20.1531,17.3758,17.4676,25.2305,14.2341
Alemdar,6245,6245,42581,8,34.4037,29.8439,32.4247,30.0307,33.5306,,32.967,33.1139
Alemdar,6245,6245,42581,64,68.3206,62.2759,75.6173,65.6373,73.0733,,75.2585,70.9437
Andrews,60000,60000,760154,8,40.4763,45.1227,44.0639,44.5185,45.7144,37.2434,44.0583,39.7138
Andrews,60000,60000,760154,64,44.9944,47.1225,53.1765,49.879,55.0616,47.7465,50.4535,46.1663
BenElechi1,245874,245874,13150496,8,34.2868,34.157,34.1801,34.5733,34.5913,34.5262,34.5582,34.0801
BenElechi1,245874,245874,13150496,64,113.115,117.182,113.346,118.621,118.454,118.694,116.068,116.057
Binaryalphadigs_10NN,1404,1404,19392,8,31.4805,32.2406,32.2774,32.1071,32.2427,32.085,32.751,32.301
Binaryalphadigs_10NN,1404,1404,19392,64,91.6022,92.3692,93.9056,91.2833,91.8837,90.7759,90.1986,88.7157
Bump_2911,2911419,2911419,127729899,8,26.0994,29.4771,27.6116,32.4697,33.3107,33.8871,30.3738,33.2429
Bump_2911,2911419,2911419,127729899,64,77.6877,87.6091,89.6432,87.4489,97.5903,100.003,82.5941,89.6354
CO,221119,221119,7666057,8,30.0101,29.779,29.3274,30.1241,30.5395,31.8752,30.5575,30.7495
CO,221119,221119,7666057,64,53.9048,72.2056,70.727,51.516,83.4204,76.5558,42.8435,53.936
Chem97ZtZ,2541,2541,7361,8,15.4103,6.60353,15.7209,15.5665,15.7454,15.4806,15.4812,7.5828
Chem97ZtZ,2541,2541,7361,64,22.2388,30.4928,26.6492,26.4457,23.0404,25.8685,26.2627,11.9677
