matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,13.9943,13.867,13.9723,14.2205,13.9553,14.2467,13.9181,13.2241
1138_bus,1138,1138,4054,64,51.7807,56.2285,55.4843,55.3364,56.7549,58.5829,49.7328,53.5323
144,144649,144649,2148786,8,27.5541,26.3632,28.608,27.2548,29.1865,28.6138,27.0991,21.682
144,144649,144649,2148786,64,30.7536,37.3234,34.8615,35.5754,44.4314,43.7463,32.898,15.0514
2cubes_sphere,101492,101492,1647264,8,31.8081,30.7206,31.1239,30.3175,29.9328,30.5309,32.295,31.9023
2cubes_sphere,101492,101492,1647264,64,33.5274,42.7112,37.768,43.9821,46.1942,44.9391,37.9276,41.6098
333SP,3712815,3712815,22217266,8,11.0576,14.4264,9.76595,14.5602,13.0038,13.7774,14.1466,4.48479
333SP,3712815,3712815,22217266,64,18.7985,13.6197,17.4006,14.7786,10.7718,11.1174,17.4236,9.11771
3dtube,45330,45330,3213618,8,39.569,41.3089,39.1178,40.0297,41.0995,41.1786,40.8846,39.6501
3dtube,45330,45330,3213618,64,114.419,122.153,120.953,119.729,128.89,130.539,122.021,120.816
3elt,4720,4720,27444,8,36.6358,37.3717,36.9379,38.3744,38.5675,37.8178,39.2969,36.3748
3elt,4720,4720,27444,64,70.8652,77.7093,77.9626,79.5076,78.0108,81.1291,80.5603,75.5696
3elt_dual,9000,9000,26556,8,29.8354,33.163,29.5876,33.1162,33.5551,33.206,35.3029,30.3438
3elt_dual,9000,9000,26556,64,40.8583,38.6239,40.6672,38.847,41.3326,41.5091,43.0774,37.7294
494_bus,494,494,1666,8,10.7627,10.1253,10.3371,10.4237,10.5456,10.4573,10.1561,9.90683
494_bus,494,494,1666,64,40.1443,43.034,43.113,41.2819,41.8248,43.1293,40.7323,37.6523
598a,110971,110971,1483868,8,28.4844,30.226,28.4216,27.5732,28.8393,28.8679,29.4433,19.7728
598a,110971,110971,1483868,64,30.4335,37.1091,32.7543,29.8812,38.507,39.1883,32.5996,12.5082
662_bus,662,662,2474,8,12.3582,12.5344,12.3421,12.2649,12.3804,12.8398,12.5307,11.5091
662_bus,662,662,2474,64,48.9648,49.3235,50.9921,48.0124,48.6467,50.8301,48.602,43.1097
685_bus,685,685,3249,8,14.9408,14.7659,14.4961,14.7233,15.0138,14.5925,14.7936,14.5617
685_bus,685,685,3249,64,57.4142,57.1991,58.5484,57.0578,59.8237,58.4418,57.1906,55.7814
ACTIVSg70K,69999,69999,238627,8,20.3811,21.04,20.0774,20.8698,19.7212,21.1475,22.004,21.1431
ACTIVSg70K,69999,69999,238627,64,13.0608,13.8331,12.5741,13.6998,13.5591,13.3703,11.9324,12.3108
AS365,3799275,3799275,22736152,8,11.1338,14.374,10.0565,14.3532,10.7248,11.4413,16.5993,3.49311
AS365,3799275,3799275,22736152,64,18.8218,10.1354,18.2857,10.5432,8.50183,8.67015,17.4888,7.75128
Alemdar,6245,6245,42581,8,34.7862,32.1422,33.9528,32.9123,34.0722,,34.9137,31.1763
Alemdar,6245,6245,42581,64,80.2126,78.2436,79.4406,79.3638,87.8492,,88.0242,55.7026
Andrews,60000,60000,760154,8,35.5509,35.5663,35.4102,35.5754,36.7684,36.2073,35.3043,26.9373
Andrews,60000,60000,760154,64,29.4889,36.4735,34.2303,36.3015,38.0572,39.5699,35.5793,20.6663
BenElechi1,245874,245874,13150496,8,41.1199,40.917,40.6865,40.5814,40.4207,39.0932,38.8972,39.2956
BenElechi1,245874,245874,13150496,64,112.314,118.443,113.589,117.564,118.717,116.694,116.879,116.532
Binaryalphadigs_10NN,1404,1404,19392,8,30.0991,30.0263,30.3664,30.3061,30.3208,30.2625,30.5628,29.6385
Binaryalphadigs_10NN,1404,1404,19392,64,95.5577,95.4525,97.2231,98.5265,93.0836,93.6892,91.6619,90.8279
Bump_2911,2911419,2911419,127729899,8,27.9733,35.7398,28.7266,37.8365,40.1444,37.0622,35.4912,33.9662
Bump_2911,2911419,2911419,127729899,64,67.3593,86.6882,71.1278,91.9213,102.226,95.5496,76.4842,79.9052
CO,221119,221119,7666057,8,33.3407,35.6967,34.528,34.0055,34.2441,34.5174,34.9546,35.4141
CO,221119,221119,7666057,64,32.8965,63.7795,57.7119,34.4077,69.3292,53.3325,29.359,34.1367
Chem97ZtZ,2541,2541,7361,8,21.0476,21.0839,21.585,21.1993,21.916,20.8381,21.4607,11.1096
Chem97ZtZ,2541,2541,7361,64,68.9098,71.3503,68.4911,69.6723,69.4249,71.0314,70.3192,31.1008
Cube_Coup_dt0,2164760,2164760,127206144,8,31.0286,37.5769,35.1824,39.1357,38.6764,38.4799,38.447,39.5825
Cube_Coup_dt0,2164760,2164760,127206144,64,81.2721,101.012,93.1762,103.51,104.76,107.4,99.0491,101.508
Cube_Coup_dt6,2164760,2164760,127206144,8,32.5579,37.9329,34.3688,38.705,38.5749,38.948,38.0091,37.6723
Cube_Coup_dt6,2164760,2164760,127206144,64,85.316,101.54,92.7339,103.191,104.95,107.236,97.0207,97.0678
CurlCurl_0,11083,11083,113343,8,40.2475,43.6719,40.9992,42.0281,43.3925,42.3423,44.1044,44.3949
CurlCurl_0,11083,11083,113343,64,67.5156,66.7432,66.2713,69.3052,73.4965,67.5378,67.7719,68.7531
CurlCurl_1,226451,226451,2472071,8,21.9682,23.3008,21.2537,22.6846,22.3675,22.0649,21.4395,20.0671
CurlCurl_1,226451,226451,2472071,64,24.2937,36.4394,29.0136,34.8092,35.5099,35.7025,29.7895,27.5463
CurlCurl_2,806529,806529,8921789,8,14.0124,21.2622,17.0318,21.1813,21.8773,20.4621,19.6348,19.1614
CurlCurl_2,806529,806529,8921789,64,21.521,33.7998,28.2084,32.908,35.6054,33.5351,27.7239,29.9204
CurlCurl_3,1219574,1219574,13544618,8,13.1838,22.743,18.1724,21.5993,22.3975,22.252,20.1352,18.1098
CurlCurl_3,1219574,1219574,13544618,64,22.1453,36.6093,31.7514,32.6851,35.9113,34.2751,26.4033,27.6665
CurlCurl_4,2380515,2380515,26515867,8,11.945,20.6632,14.8789,21.7206,21.5445,21.5444,19.6162,18.0836
CurlCurl_4,2380515,2380515,26515867,64,21.0638,32.6884,27.2342,31.7126,32.1827,31.6046,25.9838,28.7927
Dubcova1,16129,16129,253009,8,44.0461,46.3351,46.1347,46.6326,47.7082,,47.1858,28.8262
Dubcova1,16129,16129,253009,64,70.0087,71.6637,73.8924,72.811,72.6622,,74.8997,48.3054
Dubcova2,65025,65025,1030225,8,40.8203,43.0804,41.1257,42.6312,42.8138,42.932,44.6718,25.2714
Dubcova2,65025,65025,1030225,64,45.8691,47.9269,46.8226,50.0711,48.3101,50.0676,52.0535,29.6233
Dubcova3,146689,146689,3636649,8,32.9921,32.8326,32.1242,33.3987,34.5739,33.7148,33.4671,18.4279
Dubcova3,146689,146689,3636649,64,64.4624,58.6026,64.0567,69.8244,69.407,66.5524,68.0886,28.1126
EX1,560,560,8736,8,27.0201,27.1186,27.4229,27.1533,26.8333,27.0697,27.0498,27.4371
EX1,560,560,8736,64,82.1067,86.6579,90.1447,85.9435,88.1288,88.4817,92.8949,97.3113
EX2,560,560,8736,8,27.187,27.1076,27.1993,27.8586,27.3446,27.0571,27.3925,27.5344
EX2,560,560,8736,64,88.6297,90.6905,89.3952,93.5469,88.7744,87.1923,86.3815,96.6604
EX3,2600,2600,71760,8,40.5782,41.9952,40.8864,41.9333,40.8932,40.04,41.2923,41.9133
EX3,2600,2600,71760,64,100.94,119.849,100.05,122.029,107.954,92.2362,111.227,122.446
EX4,2600,2600,71760,8,40.3435,41.5213,41.1174,41.3807,41.0997,40.3599,41.191,41.8248
EX4,2600,2600,71760,64,101.368,118.217,102.985,118.513,105.067,94.2387,111.166,123.995
EX5,6545,6545,295680,8,41.3992,43.178,41.0946,43.4534,42.2034,,42.9973,43.4475
EX5,6545,6545,295680,64,89.1499,116.047,73.486,120.661,92.3853,,102.56,121.898
EX6,6545,6545,295680,8,42.1319,42.8539,42.1004,43.511,42.6814,,42.8147,43.5393
EX6,6545,6545,295680,64,89.0281,118.565,85.9683,123.488,91.7192,,105.012,122.968
Ecoli_10NN,336,336,4560,8,21.1678,21.2525,21.2818,21.3166,20.6998,20.6353,20.7928,20.7964
