matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.62213,4.53901,4.87113,4.76626,4.66883,4.9546,4.40902,4.10688
1138_bus,1138,1138,4054,64,17.1626,16.9271,17.857,17.0441,17.6825,17.2909,16.0127,16.584
144,144649,144649,2148786,8,58.9055,66.1547,61.9345,57.737,81.0328,81.5107,68.5927,30.412
144,144649,144649,2148786,64,54.5662,67.3023,77.6515,69.929,82.6931,77.7657,68.8547,35.1953
2cubes_sphere,101492,101492,1647264,8,58.4156,87.5585,73.0405,90.5982,97.6581,82.6869,82.9958,82.0355
2cubes_sphere,101492,101492,1647264,64,60.5362,85.0568,71.4553,88.293,90.7416,82.6474,69.1785,74.7662
333SP,3712815,3712815,22217266,8,23.1893,37.1802,22.633,36.0798,34.058,31.6898,34.7928,13.8264
333SP,3712815,3712815,22217266,64,43.7262,42.7336,41.2243,45.965,32.9214,32.4852,45.6433,21.5758
3dtube,45330,45330,3213618,8,120.408,157.849,149.676,155.504,154.316,158.278,165.241,156.351
3dtube,45330,45330,3213618,64,222.411,293.197,242.447,271.575,317.008,321.406,273.643,227.036
3elt,4720,4720,27444,8,16.6557,18.9261,16.3877,17.8783,19.2863,17.7578,17.1708,17.5961
3elt,4720,4720,27444,64,41.734,42.0829,39.0287,42.4344,42.298,42.4977,36.7873,36.6373
3elt_dual,9000,9000,26556,8,12.5133,14.218,11.7712,14.2883,13.8831,13.8017,12.2684,13.4758
3elt_dual,9000,9000,26556,64,25.913,27.5137,24.7222,26.3709,27.4685,26.1696,22.8881,24.0652
494_bus,494,494,1666,8,2.20662,2.2238,2.21457,2.11539,2.21334,2.21647,2.1335,2.10094
494_bus,494,494,1666,64,10.6083,10.69,10.7511,10.8056,10.773,10.8023,9.63194,9.72034
598a,110971,110971,1483868,8,54.829,69.2454,58.8136,47.8093,78.0748,76.4163,67.8449,30.4633
598a,110971,110971,1483868,64,53.9352,57.0689,67.48,51.7332,68.5493,68.343,56.961,28.8303
662_bus,662,662,2474,8,3.08415,3.01286,3.17154,2.95425,3.00212,3.0721,3.069,2.83689
662_bus,662,662,2474,64,13.5864,13.1346,14.016,12.7409,13.4668,13.5573,13.1454,12.0068
685_bus,685,685,3249,8,4.05238,3.85466,3.84801,4.08851,3.96875,3.96371,4.07675,3.71394
685_bus,685,685,3249,64,17.355,16.2114,16.9095,17.1,16.7731,16.7279,15.7008,15.3014
ACTIVSg70K,69999,69999,238627,8,24.9102,30.0646,26.6351,27.3567,28.457,29.8153,23.7643,27.694
ACTIVSg70K,69999,69999,238627,64,23.022,25.8707,24.1638,30.2899,26.1155,25.6481,19.7886,25.7039
AS365,3799275,3799275,22736152,8,25.6874,33.7036,21.5079,31.2322,32.7061,28.9748,39.2933,11.1942
AS365,3799275,3799275,22736152,64,43.4465,31.8705,41.4837,37.1389,23.3032,23.7722,51.0727,17.5137
Alemdar,6245,6245,42581,8,21.7363,19.613,21.2099,19.6526,22.511,,21.5275,14.886
Alemdar,6245,6245,42581,64,47.65,37.1011,46.6529,38.6364,44.4883,,39.4481,26.5896
Andrews,60000,60000,760154,8,43.3791,46.1836,44.2547,48.2417,58.4405,54.4587,40.6891,30.5657
Andrews,60000,60000,760154,64,50.4159,41.4393,46.9239,38.0902,56.5339,53.3889,38.1346,26.6587
BenElechi1,245874,245874,13150496,8,173.013,196.918,190.8,195.613,139.225,199.011,179.297,195.634
BenElechi1,245874,245874,13150496,64,357.587,274.125,328.926,309.389,352.13,303.713,333.598,305.738
Binaryalphadigs_10NN,1404,1404,19392,8,15.903,14.9098,16.1376,15.8729,15.6508,15.0669,14.9699,15.7491
Binaryalphadigs_10NN,1404,1404,19392,64,47.1732,42.1038,42.6061,41.5251,44.5335,40.1199,38.0807,40.2374
Bump_2911,2911419,2911419,127729899,8,62.2254,79.9316,68.7902,87.5088,88.541,87.3632,80.9058,81.4867
Bump_2911,2911419,2911419,127729899,64,147.535,202.068,168.355,241.102,279.299,263.993,195.236,203.645
CO,221119,221119,7666057,8,59.5242,110.774,98.8946,73.91,107.558,90.249,67.333,62.6066
CO,221119,221119,7666057,64,75.0323,135.769,118.815,78.6854,143.416,124.383,75.5806,69.431
Chem97ZtZ,2541,2541,7361,8,7.22507,7.44773,7.31922,7.51107,7.23988,7.27701,7.38686,5.93879
Chem97ZtZ,2541,2541,7361,64,20.7439,20.8699,20.3286,20.5131,19.5536,19.4713,21.276,15.5668
Cube_Coup_dt0,2164760,2164760,127206144,8,72.1982,94.1548,76.9613,93.0021,94.8458,93.688,88.9437,89.3489
Cube_Coup_dt0,2164760,2164760,127206144,64,189.25,294.404,211.173,288.827,334.696,329.147,258.796,256.543
Cube_Coup_dt6,2164760,2164760,127206144,8,71.4417,92.9855,77.1796,92.3264,94.2607,93.2898,87.3097,89.7066
Cube_Coup_dt6,2164760,2164760,127206144,64,188.164,308.205,211.297,287.719,334.106,329.611,256.988,256.738
CurlCurl_0,11083,11083,113343,8,33.8278,40.1451,35.9289,39.8943,37.2936,38.0942,41.843,38.833
CurlCurl_0,11083,11083,113343,64,61.202,68.4848,68.5682,72.5451,69.8794,65.852,64.9599,67.6677
CurlCurl_1,226451,226451,2472071,8,34.6049,66.4884,51.7575,69.6108,73.5295,70.975,59.4713,56.9621
CurlCurl_1,226451,226451,2472071,64,46.1228,73.3642,63.7906,78.2131,79.0612,79.7608,60.8408,57.3221
CurlCurl_2,806529,806529,8921789,8,26.6171,44.8045,33.0686,39.3992,44.1204,38.5952,45.663,33.9144
CurlCurl_2,806529,806529,8921789,64,47.4439,91.3147,68.3003,82.1431,93.5757,90.5686,65.2225,63.81
CurlCurl_3,1219574,1219574,13544618,8,25.3908,44.385,32.5931,44.1493,47.623,44.6827,47.1188,35.4992
CurlCurl_3,1219574,1219574,13544618,64,47.2509,85.2297,70.5555,80.2024,94.3936,83.1113,65.1427,62.777
CurlCurl_4,2380515,2380515,26515867,8,23.5296,44.1921,31.6298,48.8988,53.2077,44.3005,42.9984,41.8182
CurlCurl_4,2380515,2380515,26515867,64,49.0434,85.8751,65.3441,81.7272,93.8048,89.7138,63.7062,66.9642
Dubcova1,16129,16129,253009,8,62.849,53.7593,66.8235,57.5004,64.6903,,73.8865,37.0642
