matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,5.63544,5.63056,5.49695,5.70483,6.03948,5.97824,5.94483,4.78348
1138_bus,1138,1138,4054,64,17.5249,16.4265,17.5902,17.2282,19.3552,45.4787,18.0171,14.3743
144,144649,144649,2148786,8,13.7415,13.1114,14.2246,15.2183,13.8559,13.8079,14.4368,8.4859
144,144649,144649,2148786,64,21.9917,29.1642,29.5498,29.0871,31.1982,31.0495,30.993,10.9388
2cubes_sphere,101492,101492,1647264,8,14.1626,14.8051,14.4199,13.8303,15.4173,14.6812,15.7756,14.5821
2cubes_sphere,101492,101492,1647264,64,25.1688,23.9236,27.0203,29.154,34.137,26.3857,26.7808,27.1413
333SP,3712815,3712815,22217266,8,7.73443,8.40122,6.21796,8.43012,8.25201,7.34672,15.0545,2.55499
333SP,3712815,3712815,22217266,64,15.1918,14.5689,13.6328,16.2537,11.8603,10.3068,18.4542,6.84183
3dtube,45330,45330,3213618,8,15.6066,15.5538,15.5504,15.5322,15.8899,15.7095,15.8754,15.5341
3dtube,45330,45330,3213618,64,58.3084,61.9392,60.194,67.1629,62.7178,63.5892,65.9259,66.1573
3elt,4720,4720,27444,8,8.27405,9.1006,9.15544,9.58324,9.22487,9.63983,9.80581,8.57608
3elt,4720,4720,27444,64,20.2293,20.7599,21.4641,22.4231,20.7331,22.8149,21.869,21.2229
3elt_dual,9000,9000,26556,8,5.64039,5.87839,5.41959,5.83801,5.88246,5.68796,5.90461,5.80538
3elt_dual,9000,9000,26556,64,16.9146,51.674,16.4568,16.2919,16.6014,16.5562,17.6442,15.652
494_bus,494,494,1666,8,4.01445,4.165,4.77707,10.0589,4.80288,4.18462,5.14596,3.89139
494_bus,494,494,1666,64,14.7576,16.2785,15.9378,33.268,17.2113,15.3195,16.0096,13.4967
598a,110971,110971,1483868,8,12.8152,12.1732,16.3857,11.6796,14.8279,13.3533,15.4545,4.99398
598a,110971,110971,1483868,64,23.9566,26.4115,26.6371,26.4499,27.2018,27.931,29.2096,9.18598
662_bus,662,662,2474,8,5.09447,4.32612,4.97286,5.04255,5.24987,5.45233,11.8514,10.9956
662_bus,662,662,2474,64,17.2479,15.1735,16.7109,15.2393,17.5054,17.6223,41.9933,36.5629
685_bus,685,685,3249,8,6.17387,6.31641,6.20334,6.40986,13.9367,6.59695,6.7424,6.73368
685_bus,685,685,3249,64,18.6993,16.6482,46.1567,18.6406,48.0777,20.6183,20.5268,44.3359
ACTIVSg70K,69999,69999,238627,8,6.7399,6.7866,6.69202,9.93392,6.71724,6.81835,7.23972,6.88064
ACTIVSg70K,69999,69999,238627,64,13.8874,15.3055,15.3987,14.224,13.1274,15.0572,14.6536,14.6444
AS365,3799275,3799275,22736152,8,6.73104,8.78188,6.21664,8.19106,8.86093,8.75155,13.6303,2.30544
AS365,3799275,3799275,22736152,64,13.059,12.2313,13.674,14.09,8.82144,8.92299,21.2229,6.38322
Alemdar,6245,6245,42581,8,10.1008,9.43872,7.53221,9.31878,10.6853,,10.9428,8.14266
Alemdar,6245,6245,42581,64,21.3814,21.6902,54.6348,23.6581,24.8862,,24.7856,19.2238
Andrews,60000,60000,760154,8,11.2933,10.5765,11.4217,10.2789,11.8488,11.2085,11.9577,9.46928
Andrews,60000,60000,760154,64,20.0884,26.6767,22.0114,21.0316,24.9462,28.0889,23.7419,17.7539
BenElechi1,245874,245874,13150496,8,15.7624,16.3141,16.1453,16.2996,16.2409,16.2698,16.4112,16.389
BenElechi1,245874,245874,13150496,64,70.1811,74.3561,72.5757,74.887,74.3151,74.3949,75.3882,74.5757
Binaryalphadigs_10NN,1404,1404,19392,8,10.629,11.7305,11.0535,11.4365,11.1725,11.5001,11.2377,10.8867
Binaryalphadigs_10NN,1404,1404,19392,64,56.4259,29.0445,29.1883,28.4523,56.7355,29.1643,27.6689,27.6104
Bump_2911,2911419,2911419,127729899,8,13.4929,15.4304,13.4293,16.0048,16.2137,15.8787,15.3681,15.687
Bump_2911,2911419,2911419,127729899,64,47.5793,58.8982,47.3166,64.676,67.994,68.2471,55.6985,60.2512
CO,221119,221119,7666057,8,14.2897,15.2498,14.6314,15.5863,15.8816,14.6704,15.2059,15.6194
CO,221119,221119,7666057,64,25.0959,36.1411,42.3719,26.7097,46.7679,38.6459,33.3117,24.2723
Chem97ZtZ,2541,2541,7361,8,5.75078,6.0491,6.10207,6.07719,6.14377,6.34911,6.29146,4.73757
Chem97ZtZ,2541,2541,7361,64,17.5716,18.7355,18.102,18.8517,15.9534,18.6794,16.9249,13.393
Cube_Coup_dt0,2164760,2164760,127206144,8,14.3785,15.9487,14.4898,16.1487,16.0383,16.0754,15.7073,15.6989
Cube_Coup_dt0,2164760,2164760,127206144,64,56.3204,69.203,58.5816,67.6884,70.2813,70.8746,64.4571,64.7811
Cube_Coup_dt6,2164760,2164760,127206144,8,14.3546,15.9501,14.461,16.1544,16.0651,16.0589,15.7188,15.6865
