matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,7.47798,8.20857,11.0426,5.75035,8.43703,8.43924,10.8577,9.76134
1138_bus,1138,1138,4054,64,41.8612,55.1154,55.4985,33.3149,56.6065,56.2628,43.2499,31.3334
144,144649,144649,2148786,8,20.9864,22.7762,22.0904,22.7903,21.6603,23.4627,20.9933,17.5429
144,144649,144649,2148786,64,29.2635,33.9402,33.8512,33.4122,37.0225,36.6554,30.1918,17.4504
2cubes_sphere,101492,101492,1647264,8,24.2735,26.3641,25.8383,27.3227,27.6641,26.9176,26.3913,27.1357
2cubes_sphere,101492,101492,1647264,64,35.1528,40.8538,38.7339,41.7434,42.5059,41.5547,38.2659,40.7085
333SP,3712815,3712815,22217266,8,6.96262,9.08459,7.20471,9.12506,8.77132,8.7134,8.45446,3.54003
333SP,3712815,3712815,22217266,64,16.8192,13.6555,17.8103,14.7049,11.1337,11.1343,14.3588,8.66751
3dtube,45330,45330,3213618,8,24.9736,28.1263,26.6051,27.2747,28.9381,28.9129,28.912,28.0015
3dtube,45330,45330,3213618,64,77.0836,86.09,81.6307,82.3727,84.2896,86.1335,86.5193,80.6541
3elt,4720,4720,27444,8,18.8968,13.7512,13.1693,11.7725,17.6617,14.5307,13.9465,13.3629
3elt,4720,4720,27444,64,65.6702,85.9324,78.1341,75.475,84.2709,85.8988,71.4877,84.1357
3elt_dual,9000,9000,26556,8,12.1715,14.9769,12.7344,22.4326,14.2851,13.4764,13.0697,18.4665
3elt_dual,9000,9000,26556,64,56.4196,81.4133,54.4948,79.8883,79.5518,71.9507,63.6131,77.2977
494_bus,494,494,1666,8,6.32709,6.01039,6.4825,6.04582,6.69077,5.25655,6.38314,5.74855
494_bus,494,494,1666,64,36.4651,13.0085,34.9988,38.8006,34.7933,31.3877,36.958,33.6565
598a,110971,110971,1483868,8,22.1438,24.875,23.7582,23.7006,26.5581,25.206,23.556,15.0009
598a,110971,110971,1483868,64,31.8032,32.1184,33.0428,31.6571,36.293,35.5652,31.5853,15.7796
662_bus,662,662,2474,8,7.05724,7.21544,7.59915,6.33445,7.81368,7.72369,7.27513,6.66844
662_bus,662,662,2474,64,45.0651,46.2565,47.9515,48.0461,47.8141,53.0084,38.8888,40.8451
685_bus,685,685,3249,8,9.58231,7.79022,8.92735,8.26454,7.99386,8.20454,8.37777,6.14106
685_bus,685,685,3249,64,47.7685,55.9117,54.1288,53.399,54.792,53.3512,47.6371,32.7021
ACTIVSg70K,69999,69999,238627,8,16.2645,17.8454,16.415,17.644,18.0056,18.3442,17.4754,17.3367
ACTIVSg70K,69999,69999,238627,64,21.1124,19.654,20.4513,22.1633,22.0044,22.3061,20.5798,21.0986
AS365,3799275,3799275,22736152,8,6.74755,8.85068,7.50716,8.97212,7.96352,8.14921,9.24188,3.3122
AS365,3799275,3799275,22736152,64,15.8097,12.048,17.8919,13.1437,10.6083,10.6544,15.2331,8.432
Alemdar,6245,6245,42581,8,16.6625,16.2383,19.946,20.0228,17.5673,,20.0128,16.1448
Alemdar,6245,6245,42581,64,67.0691,70.3673,70.6244,71.807,75.9241,,67.9817,58.7305
Andrews,60000,60000,760154,8,23.9173,23.7563,24.5807,24.5525,25.3447,21.0611,23.638,23.0222
Andrews,60000,60000,760154,64,34.2554,42.6907,41.1601,41.8936,47.0641,41.8243,39.4359,33.2032
BenElechi1,245874,245874,13150496,8,19.0538,18.691,18.6787,19.6085,19.2997,19.2411,19.295,19.2557
BenElechi1,245874,245874,13150496,64,63.6581,65.8695,63.8926,67.1426,66.7188,67.0083,64.5968,64.0481
Binaryalphadigs_10NN,1404,1404,19392,8,22.4266,22.4868,23.0857,22.503,22.6344,22.6575,14.1001,22.58
Binaryalphadigs_10NN,1404,1404,19392,64,73.9051,74.2078,75.8356,75.4438,64.9376,74.7103,69.7828,71.7102
Bump_2911,2911419,2911419,127729899,8,15.1524,16.557,15.5867,17.8789,18.3393,18.2597,16.9442,18.0135
Bump_2911,2911419,2911419,127729899,64,45.8885,49.3805,50.3089,50.774,57.2537,58.2174,47.5491,50.2569
CO,221119,221119,7666057,8,18.3136,18.0823,18.1703,17.9746,18.4818,18.7329,17.9692,18.4215
CO,221119,221119,7666057,64,30.8709,45.8347,43.3685,29.1357,48.0146,47.1479,27.6067,30.7854
Chem97ZtZ,2541,2541,7361,8,13.578,9.29126,13.4157,9.44852,12.7601,13.2945,13.1785,6.8606
Chem97ZtZ,2541,2541,7361,64,47.7406,66.3247,67.7068,71.4769,67.0801,73.2267,75.3104,14.8806
Cube_Coup_dt0,2164760,2164760,127206144,8,18.1638,18.5793,18.1221,18.6607,18.4698,18.5909,18.4649,18.4383
Cube_Coup_dt0,2164760,2164760,127206144,64,56.2652,63.8959,60.0447,61.8957,64.7204,65.492,59.9321,60.0477
Cube_Coup_dt6,2164760,2164760,127206144,8,18.1191,18.7136,17.2699,18.2409,18.7955,18.7299,17.7257,18.512
