matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,15.13,14.6218,14.7989,15.2836,15.2334,15.1234,14.3565,14.1473
1138_bus,1138,1138,4054,64,56.4531,71.9821,67.7708,70.8517,69.2533,71.7827,63.9442,63.5304
144,144649,144649,2148786,8,39.9437,39.0438,39.807,39.608,40.0362,40.5548,41.6914,19.9909
144,144649,144649,2148786,64,31.0491,34.7665,35.9265,35.072,43.3408,42.986,33.0389,14.9431
2cubes_sphere,101492,101492,1647264,8,39.7181,42.1128,41.4004,42.6319,41.927,41.0774,42.9562,40.4628
2cubes_sphere,101492,101492,1647264,64,35.2305,44.5183,38.2262,44.5338,46.1002,45.1776,37.9673,41.9963
333SP,3712815,3712815,22217266,8,11.1773,14.6552,9.93261,14.3767,13.2225,13.8692,14.1404,4.53519
333SP,3712815,3712815,22217266,64,18.4584,13.5876,17.5901,14.5939,10.9863,11.158,17.1858,9.16935
3dtube,45330,45330,3213618,8,38.8627,41.0407,38.5037,40.0608,40.7501,40.4737,41.1036,39.4057
3dtube,45330,45330,3213618,64,112.234,117.986,111.235,117.525,117.639,117.866,120.794,113.515
3elt,4720,4720,27444,8,32.5072,38.1568,36.4376,37.9159,37.143,37.5947,39.5731,37.7301
3elt,4720,4720,27444,64,86.891,104.139,97.878,100.706,104.405,103.844,102.913,101.088
3elt_dual,9000,9000,26556,8,28.5339,33.7079,30.4675,33.438,33.6818,32.808,37.2911,34.8819
3elt_dual,9000,9000,26556,64,74.8073,91.4418,78.7828,90.7026,91.8994,88.0952,92.0216,89.8232
494_bus,494,494,1666,8,7.32527,9.14503,8.52978,9.04175,8.94497,8.18873,6.52531,7.36391
494_bus,494,494,1666,64,50.2934,56.8666,56.9585,54.4267,54.9195,62.044,54.8899,51.7103
598a,110971,110971,1483868,8,39.099,38.4299,38.4601,34.5543,40.1645,40.6246,39.9257,18.7193
598a,110971,110971,1483868,64,30.9354,36.993,33.4956,29.3386,38.3405,38.2653,33.7709,12.4619
662_bus,662,662,2474,8,11.5301,11.0083,11.5907,10.4803,11.7185,11.4471,7.6403,10.4059
662_bus,662,662,2474,64,60.5133,60.3763,59.0166,61.8732,63.2985,63.8723,59.3462,52.85
685_bus,685,685,3249,8,14.1417,13.2449,14.0758,13.7744,14.1372,13.6732,13.5307,13.7634
685_bus,685,685,3249,64,64.3058,64.8568,68.0544,68.367,69.2309,69.1157,66.583,66.8172
ACTIVSg70K,69999,69999,238627,8,23.9885,25.6115,24.8864,25.7046,25.7613,25.8192,25.4863,25.4982
ACTIVSg70K,69999,69999,238627,64,15.4141,17.6059,15.602,17.0336,17.282,17.6245,13.2032,15.2154
AS365,3799275,3799275,22736152,8,10.8332,14.102,10.0926,14.5338,10.3626,10.9889,16.8618,3.48142
AS365,3799275,3799275,22736152,64,19.0855,10.1056,18.6292,10.6136,8.46382,8.80478,17.4828,7.81757
Alemdar,6245,6245,42581,8,33.0279,31.8242,31.887,31.9692,33.4952,,34.3654,31.9633
