matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,3.76613,3.99877,3.91904,4.08978,4.04112,3.54933,3.69091,4.06671
1138_bus,1138,1138,4054,64,10.8486,10.7674,10.9148,10.9033,10.9473,10.7855,11.0383,10.6743
144,144649,144649,2148786,8,3.73221,3.44723,3.71831,3.47852,3.46737,3.49689,3.90423,3.08618
144,144649,144649,2148786,64,6.16682,6.83741,8.85774,8.65998,7.5781,5.73195,10.6956,3.63835
2cubes_sphere,101492,101492,1647264,8,3.90724,3.90663,3.95487,3.91531,3.94385,3.92312,3.99966,3.82908
2cubes_sphere,101492,101492,1647264,64,6.54364,7.03328,8.10278,6.61287,8.20998,6.88476,8.59668,6.11369
333SP,3712815,3712815,22217266,8,2.64759,2.68519,2.07204,2.72096,2.83752,2.29554,4.19584,1.04747
333SP,3712815,3712815,22217266,64,6.85568,7.9885,5.56356,8.09903,5.8749,6.01705,11.1309,3.26674
3dtube,45330,45330,3213618,8,3.29295,3.29655,3.29851,3.3069,3.30353,3.28804,3.31668,3.29929
3dtube,45330,45330,3213618,64,14.2577,14.6897,14.3938,14.7736,14.6407,14.6773,15.1658,14.7166
3elt,4720,4720,27444,8,4.55568,4.52605,4.2916,4.58959,4.48532,4.41262,4.55663,4.54343
3elt,4720,4720,27444,64,14.0473,14.2488,14.0103,14.2355,14.1117,14.4288,14.5686,13.646
3elt_dual,9000,9000,26556,8,4.49473,4.54828,4.41102,4.55804,4.54531,4.54434,4.49711,4.50331
3elt_dual,9000,9000,26556,64,12.6998,12.9847,12.6842,12.944,13.0762,13.0466,13.8729,12.3936
494_bus,494,494,1666,8,3.95899,3.82219,3.95313,3.78959,3.80637,4.00661,3.9005,3.92983
494_bus,494,494,1666,64,10.6576,10.1644,9.89917,10.4744,10.1402,10.1113,10.5157,9.71428
598a,110971,110971,1483868,8,3.80696,3.65636,3.77378,3.66239,3.6731,3.7398,3.92604,3.23445
598a,110971,110971,1483868,64,6.43629,5.81279,8.59451,5.52925,5.40019,5.93602,8.24145,3.11827
662_bus,662,662,2474,8,4.06448,4.17201,4.1024,4.0901,4.03549,4.06448,4.20749,4.17201
662_bus,662,662,2474,64,11.3608,10.7176,11.2558,11.349,11.125,10.88,11.2395,10.6634
685_bus,685,685,3249,8,3.89218,4.25645,3.86354,4.14711,4.17074,4.18753,4.24949,4.20447
685_bus,685,685,3249,64,11.5684,11.3067,11.7286,11.5232,11.5974,11.4882,11.6989,11.3409
ACTIVSg70K,69999,69999,238627,8,3.03805,2.97968,2.93841,2.81837,3.0095,2.97959,2.99634,2.99472
ACTIVSg70K,69999,69999,238627,64,5.53384,4.79913,5.69657,5.12927,4.76913,4.66019,7.33295,5.01385
AS365,3799275,3799275,22736152,8,2.49097,2.23765,1.67408,1.75405,2.43498,1.82006,4.02386,0.770642
AS365,3799275,3799275,22736152,64,6.82093,6.83325,5.11074,6.61045,4.74507,4.5645,12.1958,2.05266
Alemdar,6245,6245,42581,8,4.24698,3.96192,4.01031,3.93783,3.91246,,3.99077,4.02524
Alemdar,6245,6245,42581,64,13.8212,12.7177,13.5712,12.0298,13.4497,,13.6024,11.0318
Andrews,60000,60000,760154,8,3.64302,3.6456,3.68057,3.64796,3.78426,3.72348,3.69405,3.24439
Andrews,60000,60000,760154,64,5.00813,5.25386,4.99395,5.22182,5.3239,5.49782,5.61784,3.29074
BenElechi1,245874,245874,13150496,8,3.26113,3.35641,3.3355,3.35933,3.35221,3.35114,3.36908,3.37156
BenElechi1,245874,245874,13150496,64,14.858,15.3925,15.2307,15.4857,15.4748,15.4736,15.5815,15.5819
Binaryalphadigs_10NN,1404,1404,19392,8,4.09351,4.01756,4.07149,3.91649,4.05436,4.07037,4.09676,4.04643
Binaryalphadigs_10NN,1404,1404,19392,64,13.4597,13.758,13.5473,13.7549,13.6466,13.4619,13.2396,10.3787
Bump_2911,2911419,2911419,127729899,8,3.01447,3.34506,3.10377,3.36592,3.35471,3.34446,3.36965,3.38889
Bump_2911,2911419,2911419,127729899,64,12.0026,14.1767,12.2478,14.6615,14.7164,14.6484,13.311,13.9141
CO,221119,221119,7666057,8,2.43496,3.3182,2.88568,3.46293,3.42336,3.16037,2.92024,3.46727
CO,221119,221119,7666057,64,6.29884,9.51184,7.58147,8.7616,11.5756,9.19464,9.36607,6.5592
Chem97ZtZ,2541,2541,7361,8,3.92613,3.9698,3.94599,3.9419,3.99024,3.93808,3.95792,4.04784
Chem97ZtZ,2541,2541,7361,64,13.1523,13.3882,13.1505,12.8277,13.134,13.373,13.2506,13.2898
Cube_Coup_dt0,2164760,2164760,127206144,8,3.07051,3.30585,3.18484,3.32512,3.31184,3.30939,3.32786,3.3311
Cube_Coup_dt0,2164760,2164760,127206144,64,13.0172,14.7487,13.2567,14.7751,14.7956,14.7872,14.1612,14.1944
Cube_Coup_dt6,2164760,2164760,127206144,8,3.06722,3.30126,3.18016,3.32218,3.30479,3.30595,3.32824,3.32492
Cube_Coup_dt6,2164760,2164760,127206144,64,13.0306,14.7609,13.1719,14.8386,14.76,14.8153,14.0997,14.1755
CurlCurl_0,11083,11083,113343,8,4.13847,4.18738,4.09993,4.23223,4.17127,4.16945,4.20041,4.27249
CurlCurl_0,11083,11083,113343,64,13.8506,14.2829,13.9019,14.2691,14.2405,14.1085,14.2489,14.2794
CurlCurl_1,226451,226451,2472071,8,3.54903,4.1309,3.42549,4.03359,3.98645,3.99328,4.23816,4.25656
CurlCurl_1,226451,226451,2472071,64,4.89592,10.1172,7.57907,10.7614,9.96416,11.2545,12.3505,10.0451
CurlCurl_2,806529,806529,8921789,8,2.61486,3.96561,3.15503,3.85116,3.93444,3.87929,4.24148,4.21282
CurlCurl_2,806529,806529,8921789,64,6.46451,10.5555,8.17721,10.2119,10.719,10.4922,11.8687,8.36726
CurlCurl_3,1219574,1219574,13544618,8,1.93387,3.92352,2.74577,3.82247,3.93018,3.94786,4.22835,4.2139
CurlCurl_3,1219574,1219574,13544618,64,5.07738,10.1144,7.13491,10.3953,10.6862,10.5222,10.6215,8.3861
CurlCurl_4,2380515,2380515,26515867,8,2.32698,3.93687,2.61427,3.89848,3.96237,3.88692,4.19415,4.21065
CurlCurl_4,2380515,2380515,26515867,64,5.67829,11.0525,7.05867,10.9976,11.0176,10.6416,9.56924,8.61433
Dubcova1,16129,16129,253009,8,3.98922,4.04675,3.94042,4.03571,4.07203,,3.87858,3.99616
Dubcova1,16129,16129,253009,64,14.4201,13.0126,14.7093,13.9804,14.1308,,14.737,9.98179
Dubcova2,65025,65025,1030225,8,4.00711,4.04947,3.93835,4.0628,4.0613,3.97937,3.92399,3.10449
Dubcova2,65025,65025,1030225,64,10.6895,10.853,11.2669,9.06903,9.25108,10.1103,13.6011,7.92498
Dubcova3,146689,146689,3636649,8,3.56006,3.53481,3.54269,3.49252,3.54323,3.52327,3.79297,3.69355
Dubcova3,146689,146689,3636649,64,12.0809,13.0484,12.4221,12.0972,12.8046,12.3471,13.5597,10.0238
EX1,560,560,8736,8,4.21978,4.25718,4.2741,4.22757,4.26094,4.26758,4.26107,4.21215
EX1,560,560,8736,64,12.8756,13.269,13.1162,13.2547,12.5413,12.638,13.084,13.2785
EX2,560,560,8736,8,4.27019,4.25718,4.22106,4.27541,4.17055,4.23269,4.2728,4.21978
EX2,560,560,8736,64,12.7988,13.0517,12.8283,13.2031,12.7302,12.4797,12.9986,13.6221
EX3,2600,2600,71760,8,3.85038,3.90322,3.82264,3.89713,3.83787,3.76933,3.88471,3.88444
EX3,2600,2600,71760,64,12.6104,13.8928,12.649,14.1475,13.0734,12.2462,13.3794,14.1611
EX4,2600,2600,71760,8,3.8566,3.85569,3.75254,3.89315,3.78726,3.78102,3.89117,3.85518
EX4,2600,2600,71760,64,12.6579,13.8901,12.6652,13.8739,13.029,11.5274,13.3227,14.2045
EX5,6545,6545,295680,8,3.3622,3.41085,3.36292,3.41425,3.38945,,3.40235,3.41378
EX5,6545,6545,295680,64,12.1772,13.6192,12.0455,13.7942,12.3938,,12.6898,13.2538
EX6,6545,6545,295680,8,3.36846,3.40296,3.37325,3.40735,3.38806,,3.40134,3.41561
EX6,6545,6545,295680,64,11.694,13.4945,12.0636,13.8093,12.4168,,12.5723,13.833
Ecoli_10NN,336,336,4560,8,4.00549,3.93846,3.9989,3.99671,3.9663,3.93634,3.96608,3.90662
Ecoli_10NN,336,336,4560,64,17.1489,13.2459,13.3645,13.1563,12.4905,12.9629,15.9869,12.6865
Emilia_923,923136,923136,41005206,8,3.02867,3.27241,3.12869,3.34623,3.33269,3.32725,3.3883,3.37505
Emilia_923,923136,923136,41005206,64,12.233,13.8227,12.3291,14.2458,14.3018,14.2922,13.8158,13.8724
Erdos02,6927,6927,16944,8,3.09769,2.9456,2.99748,2.99116,2.60274,2.56623,3.19762,2.64887
Erdos02,6927,6927,16944,64,10.0612,11.344,7.99151,11.1967,10.6939,9.63741,11.9594,9.57432
Erdos971,472,472,2628,8,,3.71711,3.6781,3.74359,3.69101,3.73727,3.73362,3.66527
Erdos971,472,472,2628,64,,10.8479,11.4467,11.3886,10.8686,11.0551,11.6171,10.6616
Erdos972,5488,5488,14170,8,3.02515,2.9731,3.09258,2.9696,2.78433,2.81343,3.17504,2.81413
Erdos972,5488,5488,14170,64,11.4879,11.189,11.5481,11.1429,10.9118,7.65474,11.9925,9.38989
Erdos981,485,485,2762,8,,3.58614,3.81196,3.75368,3.62705,3.62111,3.73496,3.66952
Erdos981,485,485,2762,64,,10.8437,11.6798,11.2376,10.609,10.9346,11.4121,10.157
Erdos982,5822,5822,14750,8,2.92931,2.92713,3.06183,2.92021,2.70276,2.71774,3.18304,2.7682
Erdos982,5822,5822,14750,64,11.8507,11.1746,11.1891,7.22118,10.7758,9.82412,11.6897,9.63821
Erdos991,492,492,2834,8,3.65854,3.53009,3.80946,3.6856,3.55779,3.70336,3.7219,3.77772
Erdos991,492,492,2834,64,11.4321,11.14,11.2366,11.3141,10.133,11.1781,11.6006,10.4461
Erdos992,6100,6100,15030,8,3.0351,2.85565,2.95046,2.90123,2.67161,2.65419,3.17654,2.74618
Erdos992,6100,6100,15030,64,11.4965,11.1688,11.3651,11.2125,10.828,9.68004,11.8938,8.81
F1,343791,343791,26837113,8,3.15269,3.089,3.16822,3.05847,3.10332,3.03568,3.24722,2.70763
F1,343791,343791,26837113,64,13.7032,13.8857,13.2735,14.0028,14.0759,13.6852,13.9847,10.5217
