matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,3.03669,3.52521,4.01387,3.16719,3.36431,3.47984,3.40673,3.46495
144,144649,144649,2148786,1,10.3898,15.8009,15.9327,14.5947,15.0162,15.947,15.731,13.5168
2cubes_sphere,101492,101492,1647264,1,16.4438,18.5272,18.9178,18.6067,18.7007,18.6193,19.2369,18.1526
333SP,3712815,3712815,22217266,1,3.53902,4.30815,3.3878,4.37064,4.14633,3.27014,4.50217,3.25034
3dtube,45330,45330,3213618,1,16.9937,19.5509,11.0565,19.2316,17.8068,19.5006,19.7352,12.3308
3elt,4720,4720,27444,1,9.9255,10.4748,10.4549,11.6042,10.8047,11.3171,10.9557,10.9776
3elt_dual,9000,9000,26556,1,10.2731,9.62174,9.96472,10.1747,9.67431,10.293,10.4346,9.94607
494_bus,494,494,1666,1,1.57169,1.55702,1.666,1.64951,1.55701,1.54977,1.78181,1.72643
598a,110971,110971,1483868,1,15.0815,15.2425,14.6316,14.9334,14.6488,14.8899,15.1833,11.0637
662_bus,662,662,2474,1,2.26973,2.51168,2.474,2.42549,2.04463,2.30139,2.33398,2.40194
685_bus,685,685,3249,1,2.83755,2.86129,3.02232,2.69626,2.95363,2.77692,3.16978,3.34948
ACTIVSg70K,69999,69999,238627,1,5.29576,5.41534,5.2659,5.4326,5.39148,5.47247,5.43997,5.35212
AS365,3799275,3799275,22736152,1,2.81631,4.45557,3.25306,3.99763,4.5149,4.3989,3.89819,2.107
Alemdar,6245,6245,42581,1,12.1313,11.861,12.2535,11.8941,12.7852,,12.7679,13.4325
Andrews,60000,60000,760154,1,14.5094,14.6028,14.3479,13.9773,14.1767,14.9034,14.6169,14.0833
BenElechi1,245874,245874,13150496,1,6.26235,5.25121,5.87841,6.0157,5.91152,5.98353,6.22443,4.12592
Binaryalphadigs_10NN,1404,1404,19392,1,9.76928,10.9251,11.2744,10.6843,12.0447,11.2093,10.2063,10.9559
Bump_2911,2911419,2911419,127729899,1,5.41448,5.74958,5.22501,5.87241,5.73851,5.73992,5.82616,5.98144
CO,221119,221119,7666057,1,6.88535,4.15274,6.48671,6.53914,5.8194,4.06223,6.57713,6.47081
Chem97ZtZ,2541,2541,7361,1,5.16563,5.00749,5.20212,5.29569,5.39268,5.29569,5.29569,4.26725
Cube_Coup_dt0,2164760,2164760,127206144,1,5.35481,6.05921,5.77024,5.9407,4.73078,5.89916,5.90181,6.1331
Cube_Coup_dt6,2164760,2164760,127206144,1,5.09033,5.64456,4.74366,5.95226,5.72277,5.95174,6.13947,5.90425
CurlCurl_0,11083,11083,113343,1,16.9042,17.5726,16.4983,17.3972,16.607,16.4731,16.9043,18.2811
CurlCurl_1,226451,226451,2472071,1,12.0213,20.7482,17.7929,20.2892,17.7763,20.6997,17.7705,21.8921
CurlCurl_2,806529,806529,8921789,1,3.76237,3.74694,5.21786,5.59436,4.70481,4.67777,5.07062,5.26812
CurlCurl_3,1219574,1219574,13544618,1,4.33183,4.54115,5.14754,5.03649,4.21465,5.14118,4.85954,4.92199
