matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,5.39817,5.43779,5.21077,5.21702,5.49355,5.63854,5.33123,5.37318
144,144649,144649,2148786,1,12.9949,13.5997,13.3737,13.1201,13.2253,13.4082,13.4806,12.6552
2cubes_sphere,101492,101492,1647264,1,16.1505,16.6638,16.8525,16.4032,16.5645,16.2917,16.8148,16.3049
333SP,3712815,3712815,22217266,1,4.50487,5.12876,4.3622,4.96137,4.93906,5.03747,4.82623,4.42267
3dtube,45330,45330,3213618,1,11.1396,11.2566,11.2756,11.1903,11.6484,11.6995,11.8281,11.636
3elt,4720,4720,27444,1,13.667,13.795,13.4957,12.8456,13.0129,13.7051,13.4594,13.0591
3elt_dual,9000,9000,26556,1,13.3549,12.2491,12.8443,12.3372,11.4469,12.5028,12.2156,12.5379
494_bus,494,494,1666,1,2.7468,2.22287,2.69152,2.83327,2.74259,2.75579,2.69609,2.85531
598a,110971,110971,1483868,1,13.3581,13.3583,13.1943,13.3884,13.7524,13.5646,13.4624,11.8292
662_bus,662,662,2474,1,3.62777,3.77134,4.01958,2.69963,3.80034,3.90222,3.63833,3.93984
685_bus,685,685,3249,1,4.60844,4.62447,5.31291,4.54391,5.24501,4.80936,4.41105,4.73993
ACTIVSg70K,69999,69999,238627,1,5.11241,5.47932,5.37008,5.55276,5.48392,5.63623,5.31528,5.52261
AS365,3799275,3799275,22736152,1,4.52038,4.88157,4.46671,5.09131,4.94159,5.02829,5.38747,2.83297
Alemdar,6245,6245,42581,1,14.2817,11.7773,13.1685,11.6279,14.0302,,13.55,12.6332
Andrews,60000,60000,760154,1,12.4487,12.8567,12.7567,12.766,12.9209,12.86,13.1267,12.705
BenElechi1,245874,245874,13150496,1,7.4689,7.42807,7.38025,7.20627,7.0472,6.7197,6.5655,6.76647
Binaryalphadigs_10NN,1404,1404,19392,1,13.4901,13.8031,13.3506,13.7769,14.1298,12.372,13.5318,13.6459
Bump_2911,2911419,2911419,127729899,1,6.38737,6.86635,6.476,6.73035,7.23595,6.73373,6.74037,6.31577
CO,221119,221119,7666057,1,7.52673,7.93609,7.74395,7.44349,7.55347,7.35327,7.66988,7.93102
Chem97ZtZ,2541,2541,7361,1,6.22531,7.00072,7.08465,7.04754,7.14308,7.41272,6.66215,4.70956
Cube_Coup_dt0,2164760,2164760,127206144,1,6.35907,6.34301,7.24101,6.81885,6.55855,6.66303,6.71979,7.15119
Cube_Coup_dt6,2164760,2164760,127206144,1,6.75022,6.44145,7.12973,6.62059,6.4881,6.80239,6.56812,6.34655
CurlCurl_0,11083,11083,113343,1,18.3911,19.7583,18.1901,19.5909,18.8261,18.6758,19.473,20.4962
CurlCurl_1,226451,226451,2472071,1,12.8854,14.0428,12.5513,13.344,13.3268,11.7745,12.6999,12.7672
CurlCurl_2,806529,806529,8921789,1,6.35562,6.4312,6.73176,6.55556,6.37577,6.39339,6.46933,6.26368
CurlCurl_3,1219574,1219574,13544618,1,6.5,6.70856,6.39405,5.93803,6.13039,6.23909,6.29037,5.86832
CurlCurl_4,2380515,2380515,26515867,1,5.83212,5.70215,5.877,5.80259,5.65702,5.6359,6.04725,5.52689
Dubcova1,16129,16129,253009,1,20.7682,21.5604,21.5235,21.9664,21.9875,,21.828,14.5369
Dubcova2,65025,65025,1030225,1,21.5618,22.1506,21.1434,22.3331,22.9125,22.5716,22.733,14.292
Dubcova3,146689,146689,3636649,1,9.51638,9.69378,9.51323,9.4217,9.94968,9.41337,9.51392,7.12461
EX1,560,560,8736,1,9.64794,10.0404,10.1284,9.4392,10.6806,9.70659,9.28389,9.72798
EX2,560,560,8736,1,9.98426,10.0944,9.88822,9.47615,10.4066,10.1765,9.33354,8.33519
EX3,2600,2600,71760,1,18.7731,18.7291,19.4103,18.6509,18.8991,18.7314,18.8367,19.0475
EX4,2600,2600,71760,1,18.8028,18.7411,19.2852,18.7708,18.8546,18.6871,19.0093,18.8074
EX5,6545,6545,295680,1,17.907,17.8648,17.6795,17.975,17.8396,,18.1031,17.8978
EX6,6545,6545,295680,1,17.9603,17.8383,17.7676,17.9271,17.8848,,17.9691,17.9053
Ecoli_10NN,336,336,4560,1,5.06663,6.36809,6.77566,6.2592,6.11651,6.56116,6.29441,6.9144
