matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.09213,0.897202,1.01795,1.29479,0.931206,1.01148,0.880539,0.890304
144,144649,144649,2148786,1,1.7628,1.77117,1.83776,1.7576,1.75456,1.78643,1.83728,1.60838
2cubes_sphere,101492,101492,1647264,1,2.10101,2.1106,2.18435,2.10658,2.12144,2.11174,2.16735,2.09134
333SP,3712815,3712815,22217266,1,1.0535,1.21818,0.903904,1.21368,1.24629,1.24888,1.4222,0.967026
3dtube,45330,45330,3213618,1,2.12041,2.23827,2.07723,2.24198,2.13428,2.21303,2.20095,2.24587
3elt,4720,4720,27444,1,1.75473,1.63967,1.79203,1.62559,1.6184,1.66564,1.7029,1.63333
3elt_dual,9000,9000,26556,1,1.78121,1.50766,1.70176,1.56005,1.54683,1.54503,1.61464,1.51627
494_bus,494,494,1666,1,1.24981,0.662425,1.4462,1.29398,1.40295,1.36278,1.18324,1.39123
598a,110971,110971,1483868,1,1.74527,1.74824,1.68089,1.74871,1.74749,1.73583,1.77128,1.58031
662_bus,662,662,2474,1,1.42758,1.42717,1.02042,0.906061,1.27592,1.44383,1.32725,1.44383
685_bus,685,685,3249,1,1.00697,1.35403,1.5818,1.02622,1.68867,1.59735,1.24483,1.1163
ACTIVSg70K,69999,69999,238627,1,0.671974,0.647124,0.634006,0.647582,0.650634,0.646588,0.63717,0.661072
AS365,3799275,3799275,22736152,1,0.990914,1.00825,0.632431,0.983928,1.06846,1.05734,1.17572,0.359347
Alemdar,6245,6245,42581,1,1.80849,1.30544,1.36412,1.23043,1.14908,,1.37538,1.55817
Andrews,60000,60000,760154,1,1.48486,1.54301,1.53846,1.71394,1.72846,1.72665,1.72078,1.6992
BenElechi1,245874,245874,13150496,1,2.42592,2.4081,2.41451,2.42248,2.43402,2.40287,2.46146,2.444
Binaryalphadigs_10NN,1404,1404,19392,1,1.88007,1.91535,1.77323,1.72121,1.85118,1.78391,1.7988,1.84151
Bump_2911,2911419,2911419,127729899,1,2.0453,2.36354,2.18191,2.37159,2.37183,2.35796,2.39186,2.38943
CO,221119,221119,7666057,1,2.11307,2.11338,2.17981,2.27414,2.26112,2.05399,2.29161,2.23404
Chem97ZtZ,2541,2541,7361,1,1.27662,1.17644,1.59709,1.16527,1.16058,1.22857,1.18496,1.32499
Cube_Coup_dt0,2164760,2164760,127206144,1,2.15644,2.40617,2.32491,2.43218,2.40492,2.40836,2.45507,2.45755
Cube_Coup_dt6,2164760,2164760,127206144,1,2.14943,2.40409,2.31839,2.43457,2.40245,2.40126,2.45153,2.45011
CurlCurl_0,11083,11083,113343,1,2.10641,2.15764,1.96075,2.18303,2.02915,1.98379,2.04159,2.31743
CurlCurl_1,226451,226451,2472071,1,2.02952,2.2777,2.03766,2.32901,2.25035,2.22919,2.28613,2.37539
CurlCurl_2,806529,806529,8921789,1,1.91545,2.1551,1.82205,2.14522,2.10268,2.05871,2.31442,2.36772
CurlCurl_3,1219574,1219574,13544618,1,1.75288,2.17397,1.81876,2.16419,2.11165,2.14016,2.31494,2.38464
CurlCurl_4,2380515,2380515,26515867,1,1.45276,2.14925,1.64537,2.17158,2.14254,2.10466,2.33182,2.4098
Dubcova1,16129,16129,253009,1,2.3052,2.3988,2.54713,2.36278,2.5073,,2.38329,2.36742
Dubcova2,65025,65025,1030225,1,2.66336,2.72162,2.67489,2.74224,2.68678,2.62964,2.81545,2.33708
Dubcova3,146689,146689,3636649,1,2.47484,2.53449,2.43016,2.45934,2.43891,2.41928,2.44867,2.56696
EX1,560,560,8736,1,1.94198,1.83356,2.32805,2.10354,1.66084,2.17421,1.53776,1.67196
