matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.63247,2.67062,2.49938,1.81063,2.7355,2.83795,2.7263,2.30406
144,144649,144649,2148786,1,25.0415,25.2958,24.1885,25.3587,20.1627,26.1761,25.7152,20.601
2cubes_sphere,101492,101492,1647264,1,26.5668,29.2467,29.0556,28.7175,29.0866,29.8572,28.2974,27.7827
333SP,3712815,3712815,22217266,1,4.94325,4.89496,4.54163,4.66031,5.50022,5.59681,4.81061,4.39332
3dtube,45330,45330,3213618,1,17.9048,25.3843,24.1211,26.2233,27.3934,26.7186,27.8275,23.4815
3elt,4720,4720,27444,1,11.4493,12.2191,11.5529,11.8985,12.1032,12.0237,12.7676,11.9921
3elt_dual,9000,9000,26556,1,9.05884,10.8836,10.2276,11.1533,10.3311,11.0974,11.4367,10.4305
494_bus,494,494,1666,1,1.23728,1.17531,1.08323,1.14149,1.1462,1.19171,1.1466,1.14424
598a,110971,110971,1483868,1,22.6813,24.5651,24.2288,23.9066,25.403,25.322,25.5089,9.33776
662_bus,662,662,2474,1,1.5511,1.73675,1.72045,1.60026,1.72464,1.58692,1.61488,1.65541
685_bus,685,685,3249,1,2.22231,2.22533,2.08136,2.16962,2.20794,2.2072,2.19305,1.39322
ACTIVSg70K,69999,69999,238627,1,10.3755,10.7939,10.6089,10.8123,10.9039,10.9487,10.8093,10.8674
AS365,3799275,3799275,22736152,1,4.9058,4.86873,4.682,4.83597,4.74429,4.35801,5.11542,4.61701
Alemdar,6245,6245,42581,1,14.5229,14.3467,14.0787,14.3058,14.3226,,15.3611,10.9224
Andrews,60000,60000,760154,1,22.342,22.7085,22.4735,23.1835,23.2147,22.3818,23.9569,22.8189
BenElechi1,245874,245874,13150496,1,5.20064,4.46818,4.49122,5.69746,5.11639,5.16382,5.1236,5.08822
Binaryalphadigs_10NN,1404,1404,19392,1,9.6984,9.15146,9.51754,9.96506,9.76434,9.08718,9.55506,9.14066
Bump_2911,2911419,2911419,127729899,1,5.76854,5.93903,5.38104,4.64231,5.51579,4.55151,4.58953,4.8274
CO,221119,221119,7666057,1,5.65766,5.75814,6.13727,6.4506,5.19482,6.40967,6.61132,6.75239
Chem97ZtZ,2541,2541,7361,1,4.65739,4.0523,4.41307,4.32871,4.25737,4.51318,4.34277,2.83661
Cube_Coup_dt0,2164760,2164760,127206144,1,4.96279,4.45543,4.89557,5.11848,5.68496,4.46892,4.67663,5.12947
Cube_Coup_dt6,2164760,2164760,127206144,1,4.46111,5.39795,5.20959,5.75466,5.14268,4.87853,5.94302,5.20063
CurlCurl_0,11083,11083,113343,1,20.6453,23.6971,22.5379,23.4592,23.2952,23.2213,24.2808,26.0768
CurlCurl_1,226451,226451,2472071,1,23.6919,30.4634,15.1246,27.1127,30.3909,31.39,31.4591,30.4365
CurlCurl_2,806529,806529,8921789,1,4.68403,5.76564,5.49785,4.74705,4.76168,4.77423,4.80902,4.69884
