matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,4.9862,4.83795,5.08003,5.04836,5.43439,5.56021,5.18749,4.93462
144,144649,144649,2148786,1,12.8365,13.0896,13.2646,12.716,12.9986,12.9651,13.1222,12.409
2cubes_sphere,101492,101492,1647264,1,16.6356,16.3263,16.8499,16.0072,16.1293,16.0776,16.716,16.0436
333SP,3712815,3712815,22217266,1,4.46417,4.69985,4.06453,4.70248,4.82524,4.8786,4.69761,4.29604
3dtube,45330,45330,3213618,1,11.332,11.393,11.5227,10.8486,11.6454,11.9959,11.7176,11.428
3elt,4720,4720,27444,1,12.9907,12.4488,12.6356,13.0475,13.156,13.1531,13.4066,12.641
3elt_dual,9000,9000,26556,1,11.2671,11.2051,11.7761,11.3001,11.3321,11.1254,12.2662,11.2961
494_bus,494,494,1666,1,2.8044,2.42351,2.52618,2.42146,2.67442,2.43547,2.51641,2.49014
598a,110971,110971,1483868,1,13.0995,13.2782,13.0397,13.286,13.5061,13.4102,13.4007,10.6426
662_bus,662,662,2474,1,3.46963,3.17139,3.12568,3.17803,3.71725,3.45721,3.12568,3.56988
685_bus,685,685,3249,1,4.21964,4.01391,4.42925,4.24144,4.44123,4.57595,4.58572,4.09218
ACTIVSg70K,69999,69999,238627,1,5.1353,5.56246,5.40995,5.4831,5.44294,5.28245,5.34631,5.41252
AS365,3799275,3799275,22736152,1,4.42863,4.76709,4.09656,4.89664,4.68853,4.89783,5.24154,3.00267
Alemdar,6245,6245,42581,1,14.6877,11.3216,12.988,11.9458,12.9723,,13.7755,13.1039
Andrews,60000,60000,760154,1,12.5988,12.8304,12.8834,12.8307,12.8913,12.7857,12.9896,7.31128
BenElechi1,245874,245874,13150496,1,7.36784,7.26441,7.15918,7.06942,6.83686,6.72474,6.46741,6.65053
Binaryalphadigs_10NN,1404,1404,19392,1,12.7332,12.9762,14.1755,14.4987,14.3427,13.2815,12.2267,13.7974
Bump_2911,2911419,2911419,127729899,1,6.36047,6.74869,6.35137,6.59225,7.27452,6.67235,6.68817,6.24751
CO,221119,221119,7666057,1,7.27286,7.94846,7.58628,7.2911,7.43976,7.1609,7.53669,7.83685
Chem97ZtZ,2541,2541,7361,1,6.33509,6.93089,7.29218,6.86691,7.29218,7.25537,6.81216,4.8538
Cube_Coup_dt0,2164760,2164760,127206144,1,6.16775,6.31095,7.15117,6.74102,6.4344,6.55273,6.59282,7.10949
Cube_Coup_dt6,2164760,2164760,127206144,1,6.67741,6.37173,6.97969,6.62666,6.41404,6.67183,6.5593,6.30553
CurlCurl_0,11083,11083,113343,1,17.4993,19.0028,18.2707,19.2333,18.6787,18.3579,19.7928,20.6339
CurlCurl_1,226451,226451,2472071,1,11.1297,11.9312,10.9729,11.3074,11.109,10.8571,11.2222,10.6481
CurlCurl_2,806529,806529,8921789,1,5.7716,5.78948,6.12848,6.07389,5.74681,5.88449,5.81275,5.75592
CurlCurl_3,1219574,1219574,13544618,1,5.99598,5.95683,5.92356,5.70854,5.5904,5.70434,5.72152,5.4054
CurlCurl_4,2380515,2380515,26515867,1,5.35792,5.52057,5.68105,5.46883,5.36574,5.4111,5.73086,5.37603
Dubcova1,16129,16129,253009,1,19.7301,20.7718,20.5415,20.8994,21.2863,,21.9263,13.8317
