matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.972648,1.00658,1.00148,0.983384,0.973818,1.02052,0.946424,0.970321
144,144649,144649,2148786,1,25.4272,29.8822,28.9623,28.3122,31.6203,34.2786,43.0308,14.8728
2cubes_sphere,101492,101492,1647264,1,26.251,34.3774,28.9453,38.3593,38.6936,34.071,48.3558,27.5693
333SP,3712815,3712815,22217266,1,10.1597,17.9962,10.5283,21.4473,21.3488,22.8202,18.6642,7.71298
3dtube,45330,45330,3213618,1,49.5661,66.5786,57.517,60.6721,60.2506,59.276,69.6591,65.2187
3elt,4720,4720,27444,1,5.3445,5.46748,5.20265,5.86535,5.75466,5.53921,6.03298,5.3393
3elt_dual,9000,9000,26556,1,4.7974,5.47603,4.50751,5.25341,5.30642,5.25393,5.68773,5.24304
494_bus,494,494,1666,1,0.431885,0.425761,0.397802,0.449966,0.400192,0.404075,0.409538,0.391264
598a,110971,110971,1483868,1,23.0615,22.6645,25.7098,23.4542,29.2951,29.7035,38.4178,12.0904
662_bus,662,662,2474,1,0.58584,0.605186,0.553653,0.629918,0.597151,0.643935,0.609659,0.615041
685_bus,685,685,3249,1,0.832542,0.825143,0.742036,0.788018,0.757696,0.809719,0.788114,0.804606
ACTIVSg70K,69999,69999,238627,1,11.1214,16.9155,10.9302,17.6291,18.4846,18.4482,22.1865,13.6878
AS365,3799275,3799275,22736152,1,9.54202,18.6815,9.51413,18.7651,22.3324,20.6161,17.1153,5.96501
Alemdar,6245,6245,42581,1,7.78375,6.38587,6.71413,7.06563,7.27694,,7.92868,5.29252
Andrews,60000,60000,760154,1,17.5622,16.8243,15.7143,19.5893,20.7039,19.4961,17.5642,11.9668
BenElechi1,245874,245874,13150496,1,64.2762,80.5176,81.2328,78.9772,53.4153,78.9033,79.2201,83.3001
Binaryalphadigs_10NN,1404,1404,19392,1,3.88656,3.8784,4.05351,3.88656,3.91007,4.04928,3.9499,4.05775
Bump_2911,2911419,2911419,127729899,1,13.7562,14.1553,13.7383,14.651,14.4636,14.5834,14.5099,14.5768
CO,221119,221119,7666057,1,32.7798,55.859,43.6133,60.1472,52.7731,50.8174,55.7229,60.0078
Chem97ZtZ,2541,2541,7361,1,1.86946,1.80749,1.81194,1.94119,1.82973,1.90576,1.92068,1.27331
Cube_Coup_dt0,2164760,2164760,127206144,1,14.1594,15.0903,14.4183,15.1479,14.9725,14.9756,14.9275,14.716
Cube_Coup_dt6,2164760,2164760,127206144,1,14.0852,14.7378,14.2743,14.6624,14.804,14.7221,14.8824,15.1721
CurlCurl_0,11083,11083,113343,1,13.3793,16.1722,11.9459,16.7099,14.9835,15.5819,19.1086,18.3954
CurlCurl_1,226451,226451,2472071,1,22.1175,49.4053,28.2852,51.3384,45.4429,46.0924,65.8745,66.0328
CurlCurl_2,806529,806529,8921789,1,21.5327,58.6699,31.3003,59.4136,57.004,48.3304,71.69,70.5093
CurlCurl_3,1219574,1219574,13544618,1,13.202,55.6331,37.4542,50.4179,55.795,49.427,60.3251,72.7507
CurlCurl_4,2380515,2380515,26515867,1,9.79831,17.5943,13.2626,19.6687,21.8047,17.9063,20.3032,15.2543
Dubcova1,16129,16129,253009,1,25.8067,22.8121,20.5715,22.7495,27.5669,,32.8157,15.0131
Dubcova2,65025,65025,1030225,1,52.129,41.328,38.5477,44.2451,46.3064,45.7197,66.7266,19.3551
Dubcova3,146689,146689,3636649,1,73.1124,60.1333,56.2213,61.1155,66.6358,65.7247,78.564,24.2924
EX1,560,560,8736,1,1.91831,1.85714,1.90182,1.93531,1.95699,1.92486,1.89954,2.00897
EX2,560,560,8736,1,1.89337,1.91432,2.02082,1.87911,1.92699,1.90389,1.92912,2.03234
EX3,2600,2600,71760,1,11.0358,9.50527,10.2904,11.6456,10.7465,11.8289,12.3278,11.8877
EX4,2600,2600,71760,1,10.934,11.5611,11.4413,11.4413,10.2904,11.395,11.2963,11.693
