matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.03209,1.88121,1.98725,1.75498,2.00693,1.54733,1.96796,1.67175
144,144649,144649,2148786,1,2.29722,2.27951,2.31548,2.26581,2.26351,2.27229,2.31423,2.04578
2cubes_sphere,101492,101492,1647264,1,2.48372,2.64949,2.71978,2.65812,2.61968,2.65477,2.74126,2.64133
333SP,3712815,3712815,22217266,1,1.31121,1.49372,1.09443,1.51338,1.52431,1.49994,1.7437,1.18149
3dtube,45330,45330,3213618,1,2.65451,2.694,2.75023,2.76484,2.78659,2.82615,2.66212,2.76134
3elt,4720,4720,27444,1,2.4373,2.28795,2.38126,2.31986,2.2813,2.34664,2.36892,2.26342
3elt_dual,9000,9000,26556,1,2.29823,2.11425,2.23338,2.12193,2.11517,2.16872,2.21855,2.07542
494_bus,494,494,1666,1,1.99524,1.34355,1.89319,1.94854,1.84089,2.03171,2.0072,1.84086
598a,110971,110971,1483868,1,2.2217,2.2136,2.18597,2.18093,2.17974,2.16862,2.21664,1.85869
662_bus,662,662,2474,1,2.13275,2.20892,2.1236,2.16071,1.89578,2.20892,2.17015,2.06165
685_bus,685,685,3249,1,2.31248,2.38022,2.21021,2.34585,2.06942,1.92248,1.95722,2.27202
ACTIVSg70K,69999,69999,238627,1,0.82561,0.802885,0.785196,0.814671,0.810893,0.811899,0.79603,0.828731
AS365,3799275,3799275,22736152,1,1.14838,1.25666,0.776969,1.25914,1.28278,1.28369,1.51595,0.440212
Alemdar,6245,6245,42581,1,2.6456,1.8783,1.85736,1.82712,1.67181,,1.975,2.18364
Andrews,60000,60000,760154,1,2.13423,2.15949,2.15599,2.10728,2.11889,2.14641,2.16675,1.98716
BenElechi1,245874,245874,13150496,1,2.97162,2.99156,2.99387,2.97478,2.95268,2.98881,3.01012,3.01496
Binaryalphadigs_10NN,1404,1404,19392,1,2.59598,2.56848,2.63121,2.60996,2.63282,2.56848,2.70838,2.6766
Bump_2911,2911419,2911419,127729899,1,2.47975,2.85905,2.60324,2.87487,2.86559,2.85802,2.92002,2.92076
CO,221119,221119,7666057,1,2.72386,2.68352,2.80206,2.78942,2.81017,2.61653,2.87247,2.80535
Chem97ZtZ,2541,2541,7361,1,2.05327,2.01671,2.08232,2.04757,1.97082,1.98143,2.05902,2.22386
Cube_Coup_dt0,2164760,2164760,127206144,1,2.60869,2.95021,2.83015,2.96461,2.89134,2.91826,3.00282,3.01958
Cube_Coup_dt6,2164760,2164760,127206144,1,2.58863,2.94118,2.79591,2.95875,2.9257,2.92917,3.00445,2.9972
CurlCurl_0,11083,11083,113343,1,2.84638,2.87596,2.66686,2.88331,2.67473,2.66969,2.72652,3.08706
CurlCurl_1,226451,226451,2472071,1,2.7545,2.85873,2.62867,2.87408,2.82503,2.83048,2.8319,2.9546
CurlCurl_2,806529,806529,8921789,1,2.37403,2.64849,2.43574,2.69359,2.66473,2.65711,2.80331,2.8962
