matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.06056,1.02103,1.02477,0.921156,0.945978,0.997539,1.05945,1.02698
144,144649,144649,2148786,1,1.25559,1.11813,1.28204,1.2526,1.15965,1.29279,1.28642,1.21308
2cubes_sphere,101492,101492,1647264,1,1.47632,1.67427,1.6326,1.58489,1.6765,1.74433,1.61171,1.68952
333SP,3712815,3712815,22217266,1,0.430959,0.433271,0.327117,0.352818,0.508534,0.519695,0.361905,0.300155
3dtube,45330,45330,3213618,1,0.955474,0.872387,0.973042,0.977791,1.01343,1.00498,0.943916,0.947092
3elt,4720,4720,27444,1,2.01935,1.81586,1.95938,1.8651,1.83363,1.82777,1.92515,1.82401
3elt_dual,9000,9000,26556,1,1.9284,1.79021,1.8743,1.773,1.78534,1.80549,1.86469,1.75177
494_bus,494,494,1666,1,1.4282,1.45059,1.5173,1.42212,1.36391,1.45949,1.42151,1.43065
598a,110971,110971,1483868,1,1.32021,1.44834,1.49611,1.54608,1.45136,1.46349,1.54339,1.01717
662_bus,662,662,2474,1,1.40688,1.47525,1.5376,1.5248,1.44509,1.46089,1.52669,1.45787
685_bus,685,685,3249,1,1.23138,1.35545,1.33402,0.873385,1.05078,1.28216,1.23372,1.39682
ACTIVSg70K,69999,69999,238627,1,0.681328,0.662484,0.637698,0.649343,0.653673,0.668722,0.647327,0.677428
AS365,3799275,3799275,22736152,1,0.43222,0.361245,0.355218,0.356958,0.357849,0.28505,0.424613,0.326931
Alemdar,6245,6245,42581,1,1.88353,1.34194,1.40302,1.32583,1.24789,,1.34678,1.52596
Andrews,60000,60000,760154,1,1.50014,1.46364,1.51011,1.49771,1.51116,1.13047,1.54172,1.49546
BenElechi1,245874,245874,13150496,1,0.384728,0.301724,0.338769,0.407386,0.333199,0.374071,0.357266,0.336401
Binaryalphadigs_10NN,1404,1404,19392,1,1.64688,1.64047,1.66741,1.65907,1.68406,1.67889,1.67642,1.68042
Bump_2911,2911419,2911419,127729899,1,0.59168,0.572498,0.558222,0.420394,0.581528,0.356548,0.395527,0.40085
CO,221119,221119,7666057,1,0.427346,0.446727,0.471922,0.448745,0.426686,0.462667,0.473763,0.485728
Chem97ZtZ,2541,2541,7361,1,1.52829,1.51414,1.5294,1.51945,1.49583,1.51586,1.53386,1.6701
Cube_Coup_dt0,2164760,2164760,127206144,1,0.339713,0.338838,0.404104,0.407643,0.503415,0.316735,0.409939,0.390507
Cube_Coup_dt6,2164760,2164760,127206144,1,0.32588,0.433361,0.51146,0.554273,0.395359,0.403505,0.562874,0.454574
CurlCurl_0,11083,11083,113343,1,2.12927,2.12106,1.99491,2.18383,1.99064,1.99825,2.05646,2.3568
CurlCurl_1,226451,226451,2472071,1,1.13798,1.16913,0.956909,1.10519,1.19255,1.30031,1.27289,1.20545
CurlCurl_2,806529,806529,8921789,1,0.32636,0.407968,0.40425,0.327764,0.339758,0.336804,0.387617,0.325151
CurlCurl_3,1219574,1219574,13544618,1,0.407373,0.377038,0.456197,0.495181,0.374923,0.546025,0.503795,0.378413
CurlCurl_4,2380515,2380515,26515867,1,0.330276,0.377799,0.370346,0.357172,0.417334,0.361546,0.383179,0.367664
Dubcova1,16129,16129,253009,1,2.10369,2.19841,2.10865,2.17534,2.17085,,2.19307,2.22693
Dubcova2,65025,65025,1030225,1,2.04356,2.12235,2.04588,2.17816,2.12866,2.1473,1.85512,2.10136
Dubcova3,146689,146689,3636649,1,0.817176,0.825263,0.811182,0.815105,0.831568,0.807717,0.817012,0.826063
EX1,560,560,8736,1,1.85046,1.85497,1.9116,1.85497,1.85183,1.84479,1.86428,1.89235
EX2,560,560,8736,1,1.80738,1.8442,1.87568,1.85734,1.85242,1.85478,1.84304,1.85853
EX3,2600,2600,71760,1,1.95654,1.92784,1.97967,1.93768,1.95785,1.94335,1.95774,1.96345
EX4,2600,2600,71760,1,1.94939,1.95279,1.98227,1.95159,1.93744,1.95531,1.92177,1.96272
EX5,6545,6545,295680,1,1.89019,1.89501,1.93069,1.93638,1.85057,,1.94629,1.94628
EX6,6545,6545,295680,1,1.71517,1.91116,1.89815,1.83065,1.9519,,1.94497,1.94486
Ecoli_10NN,336,336,4560,1,1.51319,1.53097,1.57079,1.5534,1.49508,1.52994,1.57677,1.56057
Emilia_923,923136,923136,41005206,1,0.448966,0.381583,0.351136,0.396173,0.355091,0.378358,0.383328,0.413317
Erdos02,6927,6927,16944,1,1.02455,0.962126,1.0154,0.940445,0.716085,0.728884,1.26039,0.717191
Erdos971,472,472,2628,1,,1.42632,1.46325,1.43176,1.48517,1.49531,1.39305,1.51995
Erdos972,5488,5488,14170,1,1.03658,0.949413,0.97288,0.94432,0.780415,0.814204,1.20105,0.801607
Erdos981,485,485,2762,1,,1.1654,1.56134,1.36463,1.49176,1.23829,1.48455,1.44004
Erdos982,5822,5822,14750,1,1.03582,0.93967,0.902141,0.917432,0.743616,0.776806,1.16707,0.79547
Erdos991,492,492,2834,1,1.50705,1.43239,1.44555,1.4082,1.41984,1.40019,1.18059,1.08374
Erdos992,6100,6100,15030,1,1.0165,0.945878,0.955408,0.948115,0.728922,0.764963,1.17855,0.757924
F1,343791,343791,26837113,1,0.397903,0.414481,0.333744,0.381951,0.388909,0.477589,0.450845,0.398836
F2,71505,71505,5294285,1,0.572783,0.565423,0.565735,0.5685,0.507011,0.572351,0.53236,0.5368
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.65819,1.6497,1.65286,1.6422,1.67143,1.65432,1.68702,1.63161
Fault_639,638802,638802,28614564,1,0.300622,0.364276,0.313742,0.458398,0.298533,0.532752,0.322845,0.331477
Flan_1565,1564794,1564794,117406044,1,0.320311,0.370269,0.521715,0.415818,0.451429,0.457847,0.393281,0.472201
G1,800,800,38352,1,2.03023,1.89224,1.89322,1.89528,1.89678,1.85909,1.88203,1.89439
G10,800,800,38352,1,2.03843,1.88633,1.89042,1.88606,1.88954,1.89271,1.90007,1.88722
G11,800,800,3200,1,1.99253,1.9882,1.99563,1.79673,1.99377,1.96984,1.84704,1.84651
G12,800,800,3200,1,1.91159,1.95063,1.82805,1.99252,1.98021,1.95958,1.95839,1.97896
G13,800,800,3200,1,1.98944,1.94825,1.79977,1.98019,1.87299,1.97836,1.98758,1.97287
G14,800,800,9388,1,1.52008,1.61459,1.54573,1.59429,1.46619,1.53927,1.72716,1.58327
G15,800,800,9322,1,1.53196,1.57719,1.55082,1.63171,1.54594,1.55704,1.69985,1.60517
G16,800,800,9344,1,1.34611,1.60619,1.54882,1.6283,1.53874,1.53306,1.63157,1.60992
G17,800,800,9334,1,1.53887,1.57377,1.54434,1.58917,1.53419,1.5536,1.74321,1.5889
G18,800,800,9388,1,1.5175,1.61334,1.53725,1.58407,1.5502,1.56271,1.708,1.61098
G19,800,800,9322,1,1.52047,1.59228,1.5252,1.58242,1.58215,1.53638,1.60144,1.49631
G2,800,800,38352,1,2.02524,1.89908,1.88889,1.88875,1.89117,1.895,1.89974,1.88852
G20,800,800,9344,1,1.53887,1.62054,1.53344,1.62504,1.54587,1.55216,1.74036,1.59169
G21,800,800,9334,1,1.54549,1.58634,1.52566,1.60241,1.46255,1.56257,1.7623,1.56139
G22,2000,2000,39980,1,1.88044,1.87142,1.86945,1.88883,1.87545,1.88603,1.87735,1.88429
G23,2000,2000,39980,1,1.88163,1.87827,1.87142,1.89075,1.88866,1.89107,1.88354,1.88146
G24,2000,2000,39980,1,1.86971,1.88745,1.88523,1.8694,1.89125,1.87089,1.87523,1.87317
G25,2000,2000,39980,1,1.88256,1.87133,1.89474,1.87155,1.88803,1.87722,1.88208,1.88017
G26,2000,2000,39980,1,1.8811,1.88656,1.88026,1.61898,1.87633,1.88549,1.87352,1.87554
G27,2000,2000,39980,1,1.88212,1.87339,1.88754,1.87792,1.87717,1.85277,1.87986,1.88518
