matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,3.37962,4.65992,4.5527,4.43274,2.3855,4.59111,4.59354,4.35458
144,144649,144649,2148786,1,7.46773,7.6895,7.78167,7.75952,7.72539,7.54527,7.80069,6.51933
2cubes_sphere,101492,101492,1647264,1,9.14002,9.42039,9.39016,9.24126,9.49527,9.33529,9.57828,9.19014
333SP,3712815,3712815,22217266,1,4.30144,4.32001,3.57041,4.25147,4.31242,4.40219,4.55377,3.46106
3dtube,45330,45330,3213618,1,8.74915,8.98719,8.99558,9.04229,9.10793,9.08397,8.97906,8.89657
3elt,4720,4720,27444,1,8.65331,7.68415,8.46106,8.11589,8.29873,8.01871,7.53435,7.6423
3elt_dual,9000,9000,26556,1,6.64398,7.5527,6.70353,6.76415,7.48161,6.66494,8.00598,7.2887
494_bus,494,494,1666,1,2.70475,2.48495,1.56368,2.24202,2.68043,2.73316,1.58516,2.76484
598a,110971,110971,1483868,1,7.56005,7.60582,7.51459,7.66859,7.69202,7.7167,7.58105,6.91944
662_bus,662,662,2474,1,2.29498,2.51795,3.37969,2.25026,3.21505,2.09498,3.19235,3.65963
685_bus,685,685,3249,1,4.43277,3.47685,2.80349,4.49705,3.16067,4.18987,4.40548,2.38108
ACTIVSg70K,69999,69999,238627,1,2.94636,3.09439,3.21999,3.18428,3.04715,3.20273,3.01744,3.09429
AS365,3799275,3799275,22736152,1,4.08824,4.32136,3.57193,4.43817,4.3794,4.48836,5.02297,2.20935
Alemdar,6245,6245,42581,1,7.0598,7.4254,8.49576,7.34592,7.08331,,8.01525,8.02809
Andrews,60000,60000,760154,1,7.11102,7.20716,7.29851,7.28225,7.27602,7.22525,7.44527,7.12839
BenElechi1,245874,245874,13150496,1,7.44256,7.49277,7.1294,7.31352,7.06643,6.81827,6.71188,6.90775
Binaryalphadigs_10NN,1404,1404,19392,1,8.47758,9.3346,7.85588,8.28365,8.78241,8.31882,8.75288,8.88737
Bump_2911,2911419,2911419,127729899,1,6.27738,6.85959,6.39169,6.68743,7.10114,6.65802,6.71962,6.27256
CO,221119,221119,7666057,1,7.49919,7.96473,7.71488,7.58135,7.51796,7.34808,7.64192,7.8085
Chem97ZtZ,2541,2541,7361,1,5.16547,5.33231,5.35897,4.90235,5.29968,5.73519,4.81609,2.95152
Cube_Coup_dt0,2164760,2164760,127206144,1,6.2602,6.40713,7.19362,6.81492,6.53147,6.61288,6.67752,7.09231
