matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.657423,0.67946,0.654716,0.668205,0.67097,0.70492,0.66826,0.648381
144,144649,144649,2148786,1,25.689,34.1886,31.5111,35.7919,44.3845,44.2652,47.2022,20.1802
2cubes_sphere,101492,101492,1647264,1,27.6667,41.361,34.7151,45.2297,46.04,38.5528,50.5334,32.0863
333SP,3712815,3712815,22217266,1,16.6647,40.3473,12.3688,50.3909,31.2159,47.683,56.3821,9.22412
3dtube,45330,45330,3213618,1,69.4626,103.648,85.1008,99.4713,93.7024,92.0082,112.286,100.092
3elt,4720,4720,27444,1,4.05496,3.99302,3.97566,4.17241,4.15976,4.06728,3.89359,4.02228
3elt_dual,9000,9000,26556,1,3.75695,3.95886,3.36152,3.83314,3.72272,3.86101,3.2283,3.6035
494_bus,494,494,1666,1,0.295076,0.289916,0.283502,0.305941,0.288935,0.295076,0.295862,0.26497
598a,110971,110971,1483868,1,27.5615,30.1201,28.8893,26.7332,36.7817,34.3385,40.6255,16.6658
662_bus,662,662,2474,1,0.432065,0.420676,0.419215,0.396665,0.395082,0.381937,0.431688,0.432442
685_bus,685,685,3249,1,0.548216,0.553823,0.555765,0.556193,0.52218,0.562014,0.515142,0.535564
ACTIVSg70K,69999,69999,238627,1,11.7614,18.3913,11.5645,19.8889,18.527,18.7092,18.2297,13.133
AS365,3799275,3799275,22736152,1,15.1428,42.7389,12.7468,50.3604,39.316,37.9196,33.558,6.21053
Alemdar,6245,6245,42581,1,5.89887,5.25011,4.36325,5.77408,5.74719,,5.91526,4.78035
Andrews,60000,60000,760154,1,19.389,20.823,19.3446,19.1856,22.7322,22.2261,18.4957,14.9924
BenElechi1,245874,245874,13150496,1,122.705,143.163,148.174,145.222,120.619,148.099,141.01,156.952
Binaryalphadigs_10NN,1404,1404,19392,1,2.79303,2.86525,2.92599,2.78281,2.98913,2.86949,2.957,3.00535
Bump_2911,2911419,2911419,127729899,1,13.9746,14.7347,14.2308,14.8658,14.7067,14.7384,14.8631,14.8311
CO,221119,221119,7666057,1,49.4607,80.7183,68.711,73.5279,83.887,64.267,67.4034,74.8843
Chem97ZtZ,2541,2541,7361,1,1.26012,1.22235,1.16897,1.32858,1.23063,1.29915,1.23476,1.29458
Cube_Coup_dt0,2164760,2164760,127206144,1,14.4929,15.1478,14.6738,15.1799,15.0682,15.0258,15.0696,15.102
