matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,15.1514,14.26905,13.43695,15.8196,12.07265
2cubes_sphere,101492,101492,1647264,1,16.5816,17.09485,17.0528,18.18915,15.66495
333SP,3712815,3712815,22217266,1,4.003035000000001,3.88808,4.1496200000000005,2.674465,3.71582
3dtube,45330,45330,3213618,1,18.665,19.337200000000003,18.3334,18.0768,19.3672
598a,110971,110971,1483868,1,12.83005,13.662,14.2486,14.60705,11.24365
ACTIVSg70K,69999,69999,238627,1,5.55527,5.45214,5.41439,5.51477,5.59531
AS365,3799275,3799275,22736152,1,3.98052,4.131225000000001,4.3206050000000005,4.497685000000001,2.26844
Andrews,60000,60000,760154,1,12.54635,13.06095,12.6713,13.27655,11.84215
BenElechi1,245874,245874,13150496,1,5.764375,5.610645,6.158845,4.91366,6.21533
Bump_2911,2911419,2911419,127729899,1,,,,6.176685,6.142894999999999
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,3.605935,5.6584
CurlCurl_0,11083,11083,113343,1,14.6913,14.5177,14.31635,16.85995,
CurlCurl_1,226451,226451,2472071,1,18.44115,19.2714,18.6138,20.35585,20.7502
CurlCurl_2,806529,806529,8921789,1,3.77707,4.958065,5.15875,4.929865,4.021694999999999
CurlCurl_3,1219574,1219574,13544618,1,4.88704,4.880715,4.840205,4.771385,4.824590000000001
CurlCurl_4,2380515,2380515,26515867,1,4.717644999999999,4.648935,4.67487,5.04855,5.10897
Dubcova1,16129,16129,253009,1,17.270049999999998,17.8298,,19.57905,17.30285
Dubcova2,65025,65025,1030225,1,21.0701,21.37395,21.6887,23.9182,20.01005
Dubcova3,146689,146689,3636649,1,16.8979,18.9397,19.3133,20.19955,14.7383
Emilia_923,923136,923136,41005206,1,5.96214,5.899395,5.96314,5.96908,6.23684
F1,343791,343791,26837113,1,6.1676,6.174995,6.04884,6.205755,6.12196
F2,71505,71505,5294285,1,8.27803,9.682125,9.64617,9.301325,8.336995
Fault_639,638802,638802,28614564,1,5.807309999999999,5.78312,5.99762,6.14988,6.11971
Flan_1565,1564794,1564794,117406044,1,,,,6.38774,6.510145
G2_circuit,150102,150102,726674,1,15.00445,16.646900000000002,16.55955,17.216749999999998,16.9199
G3_circuit,1585478,1585478,7660826,1,4.015065,3.94848,3.8711,3.99071,3.88836
GAP-road,23947347,23947347,57708624,1,3.212475,2.9783,2.9961450000000003,3.289465,2.48559
G_n_pin_pout,100000,100000,1002396,1,10.22975,10.16005,9.704835,2.2191400000000003,7.869645
Ga10As10H30,113081,113081,6115633,1,7.262595,7.371840000000001,7.832855,8.004995000000001,8.21172
Ga19As19H42,133123,133123,8884839,1,6.38641,6.22074,6.072025,6.42442,6.64967
Ga3As3H12,61349,61349,5970947,1,7.895485,8.174155,7.948040000000001,8.304175,8.4076
Ga41As41H72,268096,268096,18488476,1,5.963265,5.85257,6.043235,6.52962,6.164210000000001
GaAsH6,61349,61349,3381809,1,16.9356,16.2086,16.9187,16.362450000000003,16.6973
Ge87H76,112985,112985,7892195,1,6.527585,5.879894999999999,6.424605,6.279105,6.732395
Ge99H100,112985,112985,8451395,1,6.458435,6.328575,6.4391300000000005,4.539585,6.518335
Geo_1438,1437960,1437960,63156690,1,4.03054,5.762475,6.01426,6.07468,6.22433
H2O,67024,67024,2216736,1,20.8441,21.17605,20.4109,20.87215,21.22405
HTC_336_4438,226340,226340,904522,1,15.82985,16.106,15.30035,14.3319,14.1596
HTC_336_9129,226340,226340,883422,1,5.168150000000001,15.1167,15.2306,14.51735,14.04465
Hardesty1,938905,938905,12143314,1,5.21122,5.05851,5.116325,5.167845,5.31992
Hook_1498,1498023,1498023,60917445,1,5.999275,5.912075,5.823565,5.84103,6.2027350000000006
L-9,17983,17983,71192,1,12.3921,11.95945,9.93278,14.14685,13.82345
LF10000,19998,19998,99982,1,16.2573,15.6591,15.3636,15.8956,16.21095
LFAT5000,19994,19994,79966,1,14.4873,14.65205,13.7337,14.39475,14.95385
Lin,256000,256000,1766400,1,17.3324,17.3358,16.6393,18.2398,18.7769
Long_Coup_dt0,1470152,1470152,87088992,1,5.976625,5.89729,6.027089999999999,6.125895,6.1233900000000006
NACA0015,1039183,1039183,6229636,1,4.313865,4.24862,4.49932,4.414045,3.811335
NLR,4163763,4163763,24975952,1,4.2301850000000005,4.125375,4.22207,4.454855,1.894825
OPF_10000,43887,43887,467711,1,19.73875,19.7783,19.7576,16.887349999999998,15.29825
OPF_3754,15435,15435,158273,1,16.92315,17.60555,17.3825,16.8868,14.9843
OPF_6000,29902,29902,302418,1,18.17655,18.74845,18.64475,16.43555,15.7733
Oregon-1,11492,11492,46818,1,7.594335,7.799775,7.026925,8.622195,6.253085
Oregon-2,11806,11806,65460,1,7.81127,8.32023,7.38411,9.088515,7.38184
PFlow_742,742793,742793,37138461,1,5.88639,5.9059550000000005,6.11946,6.032845,4.5867450000000005
PGPgiantcompo,10680,10680,48632,1,7.862705,8.005595,7.793620000000001,8.170105,6.243185
Pres_Poisson,14822,14822,715804,1,21.6911,21.8249,21.70555,14.2939,21.6943
Queen_4147,4147110,4147110,329499284,1,,,,6.28818,6.25776
Serena,1391349,1391349,64531701,1,5.949085,5.21626,5.937435,6.092185000000001,
Si10H16,17077,17077,875923,1,17.21285,17.63295,,17.19335,17.639249999999997
Si34H36,97569,97569,5156379,1,9.40288,8.49456,9.199255,10.01515,9.563185
Si41Ge41H72,185639,185639,15011265,1,6.20647,6.290274999999999,6.237895,4.163375,6.482995
Si5H12,19896,19896,738598,1,17.657,17.63495,17.28505,18.29335,18.411900000000003
Si87H76,240369,240369,10661631,1,5.901065,6.266525,6.07476,6.249264999999999,6.253905
SiO,33401,33401,1317655,1,17.537149999999997,17.157400000000003,16.603,16.9997,17.7742
SiO2,155331,155331,11283503,1,6.226430000000001,6.183525,5.840595,6.504485,6.105575
StocF-1465,1465137,1465137,21005389,1,4.96092,4.891745,5.016,5.3148800000000005,5.304205
TEM152078,152078,152078,6459326,1,6.79008,7.419895,6.92107,7.423685,6.89071
TEM181302,181302,181302,7839010,1,6.3847000000000005,6.462960000000001,6.79059,6.56897,6.39195
TEM27623,27623,27623,439469,1,16.604149999999997,16.4117,16.70335,17.375500000000002,16.8976
TSOPF_FS_b162_c1,10798,10798,608540,1,17.27185,17.169449999999998,16.018349999999998,16.7042,16.042650000000002
TSOPF_FS_b162_c3,30798,30798,1801300,1,18.86905,15.8812,15.7785,17.404600000000002,15.8949
TSOPF_FS_b162_c4,40798,40798,2398220,1,17.87865,14.39655,15.6151,17.628999999999998,15.90985
TSOPF_FS_b300,29214,29214,4400122,1,9.06365,13.51115,13.2479,15.48845,14.59985
TSOPF_FS_b300_c1,29214,29214,4400122,1,14.79535,13.5288,13.9296,14.3884,14.4001
TSOPF_FS_b300_c2,56814,56814,8767466,1,6.35229,6.29758,6.688265,6.724740000000001,6.78257
