matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.32877,1.2070949999999998,1.4041100000000002,1.3261850000000002,1.229115
2cubes_sphere,101492,101492,1647264,1,1.747955,1.67058,1.614215,1.80437,1.69128
333SP,3712815,3712815,22217266,1,0.3681029999999999,0.338819,0.4533715,0.3680605,0.337684
3dtube,45330,45330,3213618,1,1.004255,0.968704,0.9909755,1.008495,1.012425
598a,110971,110971,1483868,1,1.590095,1.3705850000000002,1.3837700000000002,1.591135,1.45576
ACTIVSg70K,69999,69999,238627,1,0.6796545,0.6837685,0.6843965,0.664334,0.697911
AS365,3799275,3799275,22736152,1,0.352813,0.3662645,0.3603349999999999,0.365125,0.3074705
Andrews,60000,60000,760154,1,1.556275,1.561905,1.56143,1.603725,1.542785
BenElechi1,245874,245874,13150496,1,0.4021865,0.402916,0.421786,0.383202,0.4327525
Bump_2911,2911419,2911419,127729899,1,,,,0.580399,0.481677
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,0.5634440000000001,0.4528935
CurlCurl_0,11083,11083,113343,1,2.21376,2.05976,2.04773,2.091825,
CurlCurl_1,226451,226451,2472071,1,1.10374,1.094185,0.843062,0.921286,1.133385
CurlCurl_2,806529,806529,8921789,1,0.4090195,0.4222135,0.4069705,0.3665325,0.409455
CurlCurl_3,1219574,1219574,13544618,1,0.391966,0.3886595,0.424828,0.46565,0.382635
CurlCurl_4,2380515,2380515,26515867,1,0.365082,0.386395,0.3730175,0.3841335,0.375433
Dubcova1,16129,16129,253009,1,2.20109,2.1477,,2.066895,2.178495
Dubcova2,65025,65025,1030225,1,2.17984,2.11503,2.16778,2.16873,2.0933
Dubcova3,146689,146689,3636649,1,0.8053865,0.8244975,0.800264,0.759263,0.804891
Emilia_923,923136,923136,41005206,1,0.381847,0.382692,0.3779365,0.414489,0.3772195
F1,343791,343791,26837113,1,0.3936235,0.3906775,0.385217,0.3879915,0.384646
F2,71505,71505,5294285,1,0.612263,0.3807465,0.6038185,0.603805,0.600919
Fault_639,638802,638802,28614564,1,0.3838475,0.3848385,0.391046,0.353655,0.380499
