matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,13.99145,13.6727,13.90365,13.94695,11.78825
2cubes_sphere,101492,101492,1647264,1,17.0014,16.35555,16.886249999999997,17.9607,16.7585
333SP,3712815,3712815,22217266,1,5.220735,4.682975000000001,5.154055,4.96382,4.573885
3dtube,45330,45330,3213618,1,11.72815,12.46275,12.22565,11.7917,11.52435
598a,110971,110971,1483868,1,14.35085,14.4286,14.65945,14.71065,11.42625
ACTIVSg70K,69999,69999,238627,1,5.76813,5.701585,5.556865,5.56512,5.715339999999999
AS365,3799275,3799275,22736152,1,5.10766,5.801155,5.372675,4.800215,2.90818
Andrews,60000,60000,760154,1,13.70925,13.6714,13.79675,13.904800000000002,13.23845
BenElechi1,245874,245874,13150496,1,7.03658,7.9216,7.229835,7.314195,7.599645000000001
Bump_2911,2911419,2911419,127729899,1,,,,7.034075,6.88461
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,7.15836,6.446845
CurlCurl_0,11083,11083,113343,1,15.6999,15.03725,15.016,15.70155,
CurlCurl_1,226451,226451,2472071,1,11.796,11.2685,10.0558,12.1178,11.79455
CurlCurl_2,806529,806529,8921789,1,6.04612,6.100345000000001,5.98784,6.223015,6.09942
CurlCurl_3,1219574,1219574,13544618,1,5.836795,6.23612,5.66482,5.538835,6.1875800000000005
CurlCurl_4,2380515,2380515,26515867,1,5.845345,6.503475,6.06335,5.978845,6.03647
Dubcova1,16129,16129,253009,1,18.68985,19.00755,,19.25925,12.3956
Dubcova2,65025,65025,1030225,1,21.537550000000003,22.3562,22.20855,22.026200000000003,13.4687
Dubcova3,146689,146689,3636649,1,9.60984,9.85718,10.011075,9.666285,7.432015
Emilia_923,923136,923136,41005206,1,6.52447,7.77417,6.8674800000000005,6.45191,6.93423
F1,343791,343791,26837113,1,6.69075,7.5129,6.968719999999999,7.58135,6.431455
F2,71505,71505,5294285,1,8.619795,10.127,8.95525,8.6556,7.74354
Fault_639,638802,638802,28614564,1,7.4068,7.795785,7.167339999999999,7.285205,7.30532
Flan_1565,1564794,1564794,117406044,1,,,,7.388575,7.13781
G2_circuit,150102,150102,726674,1,17.70015,18.78235,18.7086,19.022,18.99935
G3_circuit,1585478,1585478,7660826,1,5.160595000000001,4.62515,4.50115,5.219775,4.378024999999999
GAP-road,23947347,23947347,57708624,1,3.613485,3.434975,2.993745,3.70613,3.07372
G_n_pin_pout,100000,100000,1002396,1,11.5236,11.5411,9.389815,11.63415,11.60175
Ga10As10H30,113081,113081,6115633,1,7.373480000000001,6.635335,8.40965,5.91794,7.770795
Ga19As19H42,133123,133123,8884839,1,6.57283,7.701445,7.59077,7.440325,7.77156
Ga3As3H12,61349,61349,5970947,1,5.204395,6.303235,5.736565,4.874504999999999,6.942145
Ga41As41H72,268096,268096,18488476,1,6.298765,7.269945,7.017705,6.515605,7.071105
GaAsH6,61349,61349,3381809,1,5.05683,5.05605,8.247415,3.535065,6.343795
Ge87H76,112985,112985,7892195,1,7.15949,6.4407700000000006,8.452670000000001,7.15218,7.82526
Ge99H100,112985,112985,8451395,1,6.910455000000001,8.382204999999999,7.415215,7.550355,7.849625
