matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,39.5985,56.545950000000005,53.33085,69.1317,23.0347
2cubes_sphere,101492,101492,1647264,1,57.7026,53.2497,46.37175,73.578,40.4801
333SP,3712815,3712815,22217266,1,44.26165,23.88705,43.8106,36.47625,12.39245
3dtube,45330,45330,3213618,1,97.60125,93.7298,83.76135,102.0345,98.4625
598a,110971,110971,1483868,1,37.7859,46.631,46.328950000000006,60.6478,18.60565
ACTIVSg70K,69999,69999,238627,1,20.85535,20.1624,21.1193,22.2741,17.4484
AS365,3799275,3799275,22736152,1,40.99764999999999,33.85805,29.88605,20.6699,5.6987000000000005
Andrews,60000,60000,760154,1,24.4698,26.9255,27.159350000000003,25.7883,15.4835
BenElechi1,245874,245874,13150496,1,142.1935,39.9374,142.52949999999998,63.3766,148.64350000000002
Bump_2911,2911419,2911419,127729899,1,,,,14.51455,14.6009
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,14.84375,14.92605
CurlCurl_0,11083,11083,113343,1,11.74725,12.2427,12.36,13.0779,
CurlCurl_1,226451,226451,2472071,1,61.64475,69.15575,68.31805,96.14465,75.19385
CurlCurl_2,806529,806529,8921789,1,83.1567,80.80785,82.08005,117.34,103.524
CurlCurl_3,1219574,1219574,13544618,1,81.9281,91.58945,69.7435,45.7686,108.5435
CurlCurl_4,2380515,2380515,26515867,1,34.37605,34.44205,29.132,27.97045,15.24715
Dubcova1,16129,16129,253009,1,21.9417,24.78175,,26.56055,16.386850000000003
Dubcova2,65025,65025,1030225,1,50.8778,63.30505,57.6448,74.37530000000001,21.3472
Dubcova3,146689,146689,3636649,1,102.801,106.7705,86.3794,121.739,48.1434
Emilia_923,923136,923136,41005206,1,20.3816,22.9623,18.440800000000003,23.27095,23.4997
F1,343791,343791,26837113,1,69.11664999999999,89.49145,25.1259,17.01545,41.5063
F2,71505,71505,5294285,1,97.6544,103.8845,34.0118,108.392,69.1682
Fault_639,638802,638802,28614564,1,59.35185,35.19155,49.1389,34.18065,38.72375
Flan_1565,1564794,1564794,117406044,1,,,,15.1717,15.18875
