matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.83452,1.888835,1.82592,1.86404,1.794125
2cubes_sphere,101492,101492,1647264,1,2.15957,2.180275,2.15359,2.2753,2.18676
333SP,3712815,3712815,22217266,1,1.51114,1.54676,1.50247,1.702305,1.243505
3dtube,45330,45330,3213618,1,2.46245,2.462195,2.5125450000000003,2.420535,2.39062
598a,110971,110971,1483868,1,1.812325,1.77418,1.79758,1.863135,1.78651
ACTIVSg70K,69999,69999,238627,1,0.8173585000000001,0.8307595,0.825537,0.787798,0.8293035
AS365,3799275,3799275,22736152,1,1.22039,1.304065,1.26522,1.508315,0.4505825
Andrews,60000,60000,760154,1,1.7429899999999998,1.74948,1.750295,1.808655,1.73659
BenElechi1,245874,245874,13150496,1,2.7765500000000003,2.77492,2.7678450000000003,2.80037,2.795115
Bump_2911,2911419,2911419,127729899,1,,,,2.6888,2.6612850000000003
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.797305,2.753855
CurlCurl_0,11083,11083,113343,1,2.60782,2.4091,2.30476,2.332625,
CurlCurl_1,226451,226451,2472071,1,2.563485,2.537095,2.4830050000000004,2.49006,2.69889
CurlCurl_2,806529,806529,8921789,1,2.4523,2.45567,2.39161,2.58554,2.6900950000000003
CurlCurl_3,1219574,1219574,13544618,1,2.480515,2.450215,2.380095,2.4752,2.677865
CurlCurl_4,2380515,2380515,26515867,1,2.456705,2.298075,2.4112600000000004,2.61773,2.68103
Dubcova1,16129,16129,253009,1,2.8903600000000003,2.8808100000000003,,2.94203,2.904795
Dubcova2,65025,65025,1030225,1,3.10267,3.096005,3.09621,3.025225,3.03494
Dubcova3,146689,146689,3636649,1,2.80867,2.794805,2.77278,2.73057,2.78264
Emilia_923,923136,923136,41005206,1,2.7207,2.6867,2.683565,2.75165,2.767965
F1,343791,343791,26837113,1,2.378215,2.3532450000000003,2.33294,2.405295,2.326045
F2,71505,71505,5294285,1,2.370645,2.37452,2.375395,2.404955,2.371315
Fault_639,638802,638802,28614564,1,2.5179150000000003,2.466785,2.50505,2.57301,2.5644
Flan_1565,1564794,1564794,117406044,1,,,,2.702775,2.7607850000000003
G2_circuit,150102,150102,726674,1,2.5022450000000003,2.483605,2.497915,2.35622,2.612395
G3_circuit,1585478,1585478,7660826,1,2.19588,2.19683,2.12927,2.298525,2.30192
GAP-road,23947347,23947347,57708624,1,0.7007399999999999,0.6991769999999999,0.6986684999999999,0.74736,0.5785915
G_n_pin_pout,100000,100000,1002396,1,1.53186,1.583205,1.5413,1.575125,1.43726
Ga10As10H30,113081,113081,6115633,1,2.31391,2.291205,2.26249,2.367295,2.332465
Ga19As19H42,133123,133123,8884839,1,2.300105,2.274155,2.26867,2.31666,2.3246900000000004
Ga3As3H12,61349,61349,5970947,1,2.31194,2.28912,2.296605,2.3423,2.328065
Ga41As41H72,268096,268096,18488476,1,2.321305,2.311945,2.250145,2.35759,2.34205
GaAsH6,61349,61349,3381809,1,2.3482700000000003,2.44509,2.272495,2.41261,2.3239650000000003
Ge87H76,112985,112985,7892195,1,2.301855,2.301715,2.294675,2.370195,2.32701
Ge99H100,112985,112985,8451395,1,2.314455,2.29282,2.304215,2.373265,2.333235
Geo_1438,1437960,1437960,63156690,1,2.64019,2.66003,2.64886,2.772975,2.748005
H2O,67024,67024,2216736,1,2.68086,2.642585,2.659885,2.67482,2.68216
HTC_336_4438,226340,226340,904522,1,2.0300450000000003,2.06215,2.066215,2.1537,2.053515
HTC_336_9129,226340,226340,883422,1,1.93833,2.01074,2.07655,2.08684,2.078965
Hardesty1,938905,938905,12143314,1,2.45101,2.28458,2.2442450000000003,2.8798000000000004,2.90501
Hook_1498,1498023,1498023,60917445,1,2.543595,2.454965,2.56055,2.61997,2.609515
L-9,17983,17983,71192,1,2.42333,2.410625,2.423975,2.38078,2.493365
LF10000,19998,19998,99982,1,2.712845,2.638915,2.662995,2.6774050000000003,2.70643
