matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.343185,1.295905,1.46102,1.379935,1.28303
2cubes_sphere,101492,101492,1647264,1,1.74104,1.70383,1.62967,1.808205,1.691115
333SP,3712815,3712815,22217266,1,0.3647365,0.33631,0.44542,0.3643865,0.3254435
3dtube,45330,45330,3213618,1,1.013815,1.015615,1.020715,1.017235,1.045675
598a,110971,110971,1483868,1,1.548835,1.37815,1.392775,1.5920649999999998,1.482235
ACTIVSg70K,69999,69999,238627,1,0.671126,0.682086,0.6824475,0.664755,0.6955925000000001
AS365,3799275,3799275,22736152,1,0.3494184999999999,0.3620935,0.3538409999999999,0.3659035,0.2845405
Andrews,60000,60000,760154,1,1.5497,1.55652,1.5562049999999998,1.599035,1.5346799999999998
BenElechi1,245874,245874,13150496,1,0.4062765,0.403357,0.4325664999999999,0.3885945,0.4450985
Bump_2911,2911419,2911419,127729899,1,,,,0.5762929999999999,0.4806
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,0.562318,0.4521995
CurlCurl_0,11083,11083,113343,1,2.21814,1.592,2.04866,2.10033,
CurlCurl_1,226451,226451,2472071,1,1.23685,1.17,0.943952,0.97162,1.26583
CurlCurl_2,806529,806529,8921789,1,0.430941,0.440214,0.4282375,0.3949465,0.422668
CurlCurl_3,1219574,1219574,13544618,1,0.4017265,0.3973934999999999,0.4372955,0.467582,0.3841325
CurlCurl_4,2380515,2380515,26515867,1,0.3657275,0.3836665,0.3733995,0.378285,0.3697545
Dubcova1,16129,16129,253009,1,2.165825,2.1059,,2.0552900000000003,2.156645
Dubcova2,65025,65025,1030225,1,2.1647800000000004,2.14539,2.157915,2.158565,2.001505
Dubcova3,146689,146689,3636649,1,0.8842814999999999,0.899859,0.8342345,0.8095535,0.8723515
Emilia_923,923136,923136,41005206,1,0.3849895,0.3855885,0.3814545,0.4176055,0.3803765
F1,343791,343791,26837113,1,0.3961935,0.390461,0.386834,0.390289,0.383996
F2,71505,71505,5294285,1,0.62584,0.5714565,0.6262095,0.621578,0.6167199999999999
Fault_639,638802,638802,28614564,1,0.3894875,0.389336,0.3952565,0.3562805,0.384073
Flan_1565,1564794,1564794,117406044,1,,,,0.382208,0.4577615
G2_circuit,150102,150102,726674,1,1.85098,1.87268,1.62917,1.842655,1.9087
