matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,13.4803,13.1556,13.42865,13.5458,11.79845
2cubes_sphere,101492,101492,1647264,1,15.70875,15.36655,15.34115,16.87175,15.5339
333SP,3712815,3712815,22217266,1,5.22416,4.706905,5.232105,5.024525,4.25115
3dtube,45330,45330,3213618,1,12.6067,12.92615,12.44245,12.73805,12.0425
598a,110971,110971,1483868,1,13.49655,11.4028,13.54505,13.2177,9.23246
ACTIVSg70K,69999,69999,238627,1,5.60336,5.532475,5.38231,5.412355,5.889329999999999
AS365,3799275,3799275,22736152,1,5.174825,5.823675,5.339675,5.017125,2.8366
Andrews,60000,60000,760154,1,12.4977,12.59495,12.47475,12.6053,12.3225
BenElechi1,245874,245874,13150496,1,7.30776,8.15019,7.439165,7.548500000000001,7.679515
Bump_2911,2911419,2911419,127729899,1,,,,7.058525,6.926665
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,7.167025000000001,6.4465900000000005
CurlCurl_0,11083,11083,113343,1,19.53595,17.8775,18.0475,18.26955,
CurlCurl_1,226451,226451,2472071,1,14.5439,13.44855,12.4993,14.56535,14.31375
CurlCurl_2,806529,806529,8921789,1,6.643385,6.75546,6.56088,6.730455,6.59061
CurlCurl_3,1219574,1219574,13544618,1,6.156499999999999,6.371865,5.99382,5.852555,6.53813
CurlCurl_4,2380515,2380515,26515867,1,5.98283,6.751580000000001,6.2845,6.04984,6.156005
Dubcova1,16129,16129,253009,1,21.12675,21.427100000000003,,22.07335,21.1012
Dubcova2,65025,65025,1030225,1,22.31545,22.61475,22.44805,13.96685,21.1513
Dubcova3,146689,146689,3636649,1,10.39535,10.6028,11.1677,10.645,10.66005
Emilia_923,923136,923136,41005206,1,6.75392,7.94382,6.994445,6.60436,7.087885
F1,343791,343791,26837113,1,6.891310000000001,7.71305,7.109765,7.61532,7.721655
F2,71505,71505,5294285,1,9.038060000000002,10.3205,9.294285,8.87196,9.464425
Fault_639,638802,638802,28614564,1,7.40057,7.90046,7.353994999999999,7.4341,7.303605
Flan_1565,1564794,1564794,117406044,1,,,,7.444025,7.19605
G2_circuit,150102,150102,726674,1,18.760350000000003,18.8781,19.13765,19.1401,19.0691
G3_circuit,1585478,1585478,7660826,1,5.616355,5.49957,5.05822,5.843590000000001,5.03019
GAP-road,23947347,23947347,57708624,1,3.730005,3.297485,2.9626900000000003,3.655185,3.0524050000000003
G_n_pin_pout,100000,100000,1002396,1,10.64245,10.3555,10.26025,9.647165,10.7399
Ga10As10H30,113081,113081,6115633,1,8.790019999999998,7.14435,8.740275,8.827395,8.79591
Ga19As19H42,133123,133123,8884839,1,7.42216,8.804345,8.305375,8.615739999999999,8.43131
Ga3As3H12,61349,61349,5970947,1,8.207405000000001,9.866615,9.153565,9.247265,9.374905
Ga41As41H72,268096,268096,18488476,1,6.971025,8.235415,7.740225000000001,7.65222,7.88711
GaAsH6,61349,61349,3381809,1,10.847650000000002,10.8085,12.38145,10.53775,10.9474
Ge87H76,112985,112985,7892195,1,8.263995,7.737175000000001,8.982705,8.00454,8.818874999999998
Ge99H100,112985,112985,8451395,1,7.69037,8.670155000000001,7.820995,8.44614,8.470785
Geo_1438,1437960,1437960,63156690,1,6.688035,6.885515,7.22637,6.764685,6.44367
H2O,67024,67024,2216736,1,17.7234,18.6701,18.34835,17.64465,18.51555
HTC_336_4438,226340,226340,904522,1,17.1435,17.4752,17.122799999999998,16.901699999999998,16.53265
HTC_336_9129,226340,226340,883422,1,17.290750000000003,17.2926,17.158900000000003,16.28465,16.6283
Hardesty1,938905,938905,12143314,1,6.31977,6.432705,6.53742,6.938219999999999,7.055104999999999
Hook_1498,1498023,1498023,60917445,1,6.4326550000000005,6.870895,6.823695,6.54679,6.770415
L-9,17983,17983,71192,1,16.0514,15.6167,15.475650000000002,16.9454,17.66355
LF10000,19998,19998,99982,1,20.41305,18.8309,20.20655,17.9003,20.6169
LFAT5000,19994,19994,79966,1,18.6879,17.123849999999997,18.60115,18.84445,18.9595
Lin,256000,256000,1766400,1,18.7117,9.313765,18.32675,18.8532,19.5605
Long_Coup_dt0,1470152,1470152,87088992,1,6.952435,7.706085,6.6481650000000005,6.76224,7.046375
NACA0015,1039183,1039183,6229636,1,5.36585,6.45313,5.87293,6.2405550000000005,5.962619999999999
NLR,4163763,4163763,24975952,1,4.73141,4.881985,5.379885,5.067125,2.58543
OPF_10000,43887,43887,467711,1,19.37595,20.7558,20.72975,16.3672,18.4505
OPF_3754,15435,15435,158273,1,20.863950000000003,21.200000000000003,19.12735,17.10745,19.5659
OPF_6000,29902,29902,302418,1,20.63975,20.71885,21.04325,15.90575,19.449
Oregon-1,11492,11492,46818,1,10.7561,11.16765,11.0303,11.59075,9.838765
Oregon-2,11806,11806,65460,1,9.74634,9.362235,6.83016,11.97375,10.59145
PFlow_742,742793,742793,37138461,1,6.8726,6.8124,6.909785,6.8923950000000005,7.38535
PGPgiantcompo,10680,10680,48632,1,9.867325,11.6232,11.95745,10.3188,10.2834
Pres_Poisson,14822,14822,715804,1,19.45265,19.4331,19.4095,19.64575,19.42505
Queen_4147,4147110,4147110,329499284,1,,,,7.088125,6.96511
Serena,1391349,1391349,64531701,1,6.71754,6.84577,7.336495,7.251735,
Si10H16,17077,17077,875923,1,15.9524,15.57335,,14.53355,15.3657
Si34H36,97569,97569,5156379,1,8.578065,10.0531,9.35993,9.064415,9.59655
Si41Ge41H72,185639,185639,15011265,1,7.077375,7.688985000000001,7.453555,7.79156,8.141290000000001
Si5H12,19896,19896,738598,1,16.7211,14.3491,15.52645,17.1453,17.8347
Si87H76,240369,240369,10661631,1,7.538245,7.2775,7.883554999999999,7.869104999999999,7.42251
SiO,33401,33401,1317655,1,14.66465,14.31735,13.51215,13.33655,15.91505
SiO2,155331,155331,11283503,1,7.42517,8.746215,7.49043,8.062935,7.731495
StocF-1465,1465137,1465137,21005389,1,6.220545,6.300129999999999,6.49283,6.58742,6.3400300000000005
TEM152078,152078,152078,6459326,1,8.031575,8.778025,8.58698,8.67579,8.931575
TEM181302,181302,181302,7839010,1,7.6851,8.807875,8.594619999999999,7.7454,8.115265
TEM27623,27623,27623,439469,1,15.97545,16.061300000000003,16.2179,16.8285,15.965
TSOPF_FS_b162_c1,10798,10798,608540,1,14.33125,14.99495,12.8928,12.97175,12.5915
TSOPF_FS_b162_c3,30798,30798,1801300,1,14.9267,12.64195,12.089,13.1842,11.9532
TSOPF_FS_b162_c4,40798,40798,2398220,1,14.11425,12.30865,11.5266,12.87515,11.663049999999998
TSOPF_FS_b300,29214,29214,4400122,1,9.957809999999998,10.01879,9.645045,10.2193,10.3734
TSOPF_FS_b300_c1,29214,29214,4400122,1,9.854025,10.5814,9.976155,9.855625,10.3811
TSOPF_FS_b300_c2,56814,56814,8767466,1,7.702925,7.97838,8.596815,7.928625,8.325485
TSOPF_FS_b300_c3,84414,84414,13135930,1,7.674185,8.11782,7.36045,7.927965,8.434705000000001
TSOPF_FS_b39_c19,76216,76216,1977600,1,14.5081,14.65305,11.3851,12.6686,12.09515
TSOPF_FS_b39_c30,120216,120216,3121160,1,11.33785,10.31435,10.9115,10.9476,10.45915
TSOPF_FS_b39_c7,28216,28216,730080,1,16.9857,14.79705,13.4417,13.1098,12.3046
TSOPF_FS_b9_c6,14454,14454,147972,1,12.24535,15.7492,14.1216,14.8963,10.21115
Trefethen_20000,20000,20000,554466,1,21.8455,21.880000000000003,21.1495,21.28105,21.98055
Trefethen_20000b,19999,19999,554435,1,21.73515,21.983400000000003,21.05475,21.2163,22.183750000000003
a0nsdsil,80016,80016,355034,1,12.25145,16.715200000000003,14.27185,15.93225,16.54905
a2nnsnsl,80016,80016,347222,1,11.21565,14.91925,15.3839,16.60295,13.69035
a5esindl,60008,60008,255004,1,13.1019,15.72685,15.8966,16.12595,15.04025
adaptive,6815744,6815744,27248640,1,4.544265,3.33398,3.97908,4.96587,3.13186
af_0_k101,503625,503625,17550675,1,7.474665,7.207195,6.925235000000001,7.106,7.2395
af_1_k101,503625,503625,17550675,1,6.715985,6.994425,6.805289999999999,7.68875,7.717115
af_2_k101,503625,503625,17550675,1,6.901975,7.912025,7.20989,7.004015,7.618575
af_3_k101,503625,503625,17550675,1,7.947155,8.09449,7.12118,7.5155,7.658115
af_4_k101,503625,503625,17550675,1,7.563165,7.194795,6.92546,7.57037,7.533165
af_5_k101,503625,503625,17550675,1,7.479145,7.252015,6.714805,6.942755,6.425554999999999
af_shell1,504855,504855,17588875,1,6.73879,6.79504,6.86902,7.05265,6.34455
af_shell10,1508065,1508065,52672325,1,6.647755,6.722345000000001,6.60682,6.802194999999999,6.918605
af_shell2,504855,504855,17588875,1,7.15022,7.855815,6.80666,7.296505,7.168355
af_shell3,504855,504855,17588875,1,7.386755,7.30858,7.288745,7.49134,7.510904999999999
af_shell4,504855,504855,17588875,1,7.290775,7.71132,7.304729999999999,7.3739,7.4426
af_shell5,504855,504855,17588875,1,7.598315,6.73665,6.773705,6.96035,7.426444999999999
af_shell6,504855,504855,17588875,1,6.605840000000001,7.013350000000001,7.414835,7.54088,7.21805
af_shell7,504855,504855,17588875,1,7.160635,6.884185,6.75836,7.389465,7.274715
af_shell8,504855,504855,17588875,1,7.047015,7.482745,6.708805,7.243295,7.51413
af_shell9,504855,504855,17588875,1,7.89299,7.636105000000001,7.26669,7.004045,7.464615
ak2010,45292,45292,217098,1,6.42301,6.536795,6.7883,8.022185,6.645695
al2010,252266,252266,1230482,1,6.057985,6.200760000000001,6.58024,6.99639,6.11632
analytics,303813,303813,2006126,1,12.2932,12.193,11.74645,13.31795,11.2758
apache1,80800,80800,542184,1,20.117,19.8553,11.1404,18.2749,20.8276
apache2,715176,715176,4817870,1,6.7234750000000005,6.48573,7.48357,7.231365,7.46761
ar2010,186211,186211,904310,1,6.11667,6.166425,6.214625,7.0984,6.135244999999999
as-22july06,22963,22963,96872,1,7.167305,8.840489999999999,6.12845,9.862355,5.609105
as-Skitter,1696415,1696415,22190596,1,5.093365,6.555775000000001,5.54022,5.424405,4.239940000000001
asia_osm,11950757,11950757,25423206,1,3.819845,3.78675,3.433885,3.79711,2.74993
astro-ph,16706,16706,242502,1,12.5454,14.8583,10.11665,11.64335,11.4919
audikw_1,943695,943695,77651847,1,6.843185,6.585345,7.487905,6.571085,7.38349
aug2d,29008,29008,76832,1,14.81445,13.7779,13.6439,12.33755,14.77195
aug2dc,30200,30200,80000,1,15.4716,14.34015,13.8895,15.33575,15.01445
aug3d,24300,24300,69984,1,13.62505,13.69225,11.8295,15.37095,14.4132
