matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,35.05345,50.15155,52.5718,65.76650000000001,22.11325
2cubes_sphere,101492,101492,1647264,1,51.08885,46.2999,46.9875,68.34700000000001,38.2015
333SP,3712815,3712815,22217266,1,52.03975,39.2236,50.05005,48.229600000000005,12.3937
3dtube,45330,45330,3213618,1,94.1096,96.04575,91.84445,93.99855,94.28135
598a,110971,110971,1483868,1,33.3544,46.0662,42.58225,54.93215,18.0441
ACTIVSg70K,69999,69999,238627,1,17.1144,19.14535,20.188650000000003,20.0016,14.90675
AS365,3799275,3799275,22736152,1,48.81415,42.22465,35.8386,23.66,6.0259
Andrews,60000,60000,760154,1,20.81755,24.7609,20.9409,25.732,15.110399999999998
BenElechi1,245874,245874,13150496,1,128.6405,45.2079,128.94400000000002,94.59185,144.0235
Bump_2911,2911419,2911419,127729899,1,,,,15.07385,15.13075
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,15.3021,15.3944
CurlCurl_0,11083,11083,113343,1,11.7839,11.86125,10.70775,13.05155,
CurlCurl_1,226451,226451,2472071,1,50.20745,58.63175,48.80385,94.6974,48.18305
CurlCurl_2,806529,806529,8921789,1,72.0607,91.14705,87.52125000000001,113.7245,107.1305
CurlCurl_3,1219574,1219574,13544618,1,80.174,91.0451,72.35555,54.978,121.4635
CurlCurl_4,2380515,2380515,26515867,1,36.279250000000005,38.4187,30.132,31.38155,14.03715
Dubcova1,16129,16129,253009,1,19.72855,22.96225,,26.6024,16.448500000000003
Dubcova2,65025,65025,1030225,1,49.09295,57.56815,51.3741,71.7688,19.66055
Dubcova3,146689,146689,3636649,1,95.58195,106.106,86.2353,108.7455,48.3602
Emilia_923,923136,923136,41005206,1,19.81055,22.61215,18.02665,23.74445,24.22995
F1,343791,343791,26837113,1,68.44945,89.5801,26.0794,19.4243,37.9717
F2,71505,71505,5294285,1,94.23265,102.142,36.8434,103.134,70.57499999999999
Fault_639,638802,638802,28614564,1,59.8158,36.11115,48.86805,36.2693,40.52705
Flan_1565,1564794,1564794,117406044,1,,,,15.58845,15.63235
G2_circuit,150102,150102,726674,1,25.0202,34.2275,32.99695,49.7194,27.0296
G3_circuit,1585478,1585478,7660826,1,30.35785,73.15254999999999,78.73035,109.7005,36.559250000000006
GAP-road,23947347,23947347,57708624,1,8.16647,7.94485,7.950375,8.196715000000001,6.66275
G_n_pin_pout,100000,100000,1002396,1,13.08995,13.5103,13.2377,14.75235,6.26146
Ga10As10H30,113081,113081,6115633,1,94.5641,97.13755,82.3455,86.39675,90.5078
Ga19As19H42,133123,133123,8884839,1,78.7616,101.3885,85.999,93.5496,98.6265
Ga3As3H12,61349,61349,5970947,1,95.2563,89.21109999999999,87.76485,86.43465,90.54885
Ga41As41H72,268096,268096,18488476,1,104.8905,104.823,22.09635,45.091350000000006,22.14005
GaAsH6,61349,61349,3381809,1,79.9076,78.00999999999999,65.86574999999999,80.67150000000001,79.0422
Ge87H76,112985,112985,7892195,1,67.33420000000001,100.3695,77.3622,89.66925,98.3002
Ge99H100,112985,112985,8451395,1,97.8471,100.8145,89.43584999999999,85.1001,45.77785
Geo_1438,1437960,1437960,63156690,1,15.70845,15.2995,16.6158,15.6971,15.9839
H2O,67024,67024,2216736,1,62.60085,75.9911,57.2452,77.08250000000001,58.6785
HTC_336_4438,226340,226340,904522,1,33.22255,40.26235,40.2631,24.41925,21.0648
HTC_336_9129,226340,226340,883422,1,34.8523,37.29805,41.88685,24.20175,19.98605
Hardesty1,938905,938905,12143314,1,125.3685,92.42975,129.89249999999998,149.00799999999998,127.334
Hook_1498,1498023,1498023,60917445,1,15.9418,16.3818,16.4659,15.58555,15.9
L-9,17983,17983,71192,1,7.547140000000001,7.22835,6.91755,8.73495,8.001575
LF10000,19998,19998,99982,1,9.348285,12.1397,12.1254,12.58395,11.8863
LFAT5000,19994,19994,79966,1,9.570055,9.844385,10.1188,7.60191,9.896185
Lin,256000,256000,1766400,1,34.7826,35.3377,35.03475,82.7026,50.3538
Long_Coup_dt0,1470152,1470152,87088992,1,15.40665,15.18925,15.2353,15.4604,15.41535
NACA0015,1039183,1039183,6229636,1,43.29545,48.7439,49.29775,68.72980000000001,8.471225
NLR,4163763,4163763,24975952,1,27.85725,29.0148,27.77265,25.53845,5.89953
OPF_10000,43887,43887,467711,1,40.4875,40.1041,41.1645,40.8322,18.0024
OPF_3754,15435,15435,158273,1,17.1802,16.972250000000003,16.931449999999998,17.474449999999997,12.17485
OPF_6000,29902,29902,302418,1,29.0369,29.2691,28.8974,28.32165,14.02695
Oregon-1,11492,11492,46818,1,0.606289,0.5977410000000001,0.6137345000000001,1.13342,0.5936165
Oregon-2,11806,11806,65460,1,0.7590349999999999,0.754367,0.7682115,1.233825,0.755394
PFlow_742,742793,742793,37138461,1,27.27395,28.34185,28.24035,25.261000000000003,27.3046
PGPgiantcompo,10680,10680,48632,1,4.7716,4.711555,4.268079999999999,5.07191,3.873805
Pres_Poisson,14822,14822,715804,1,57.31475,55.87855,55.3172,59.11705,56.320800000000006
Queen_4147,4147110,4147110,329499284,1,,,,15.5408,15.5669
Serena,1391349,1391349,64531701,1,15.50655,15.5557,15.4156,15.49005,
Si10H16,17077,17077,875923,1,48.6909,48.4143,,48.9975,50.6219
Si34H36,97569,97569,5156379,1,91.1526,91.79855,79.4983,77.76575,88.01544999999999
Si41Ge41H72,185639,185639,15011265,1,106.1095,104.4955,95.72945,82.24785,81.315
Si5H12,19896,19896,738598,1,43.06565,43.75095,36.82175,46.74,43.35735
Si87H76,240369,240369,10661631,1,92.53525,104.3045,88.22745,88.58590000000001,103.1715
SiO,33401,33401,1317655,1,57.5672,53.85385,46.71665,56.8151,56.95635
SiO2,155331,155331,11283503,1,26.2341,101.9395,67.05245,103.076,91.8899
StocF-1465,1465137,1465137,21005389,1,68.63185,30.3292,25.61275,39.3877,60.9574
TEM152078,152078,152078,6459326,1,95.03115,101.455,93.1812,100.208,99.5197
TEM181302,181302,181302,7839010,1,102.264,109.265,85.64865,101.2185,95.84905
TEM27623,27623,27623,439469,1,30.376,32.8066,25.5059,36.5289,34.1614
TSOPF_FS_b162_c1,10798,10798,608540,1,2.090535,2.07722,2.06292,2.033,2.0827400000000003
TSOPF_FS_b162_c3,30798,30798,1801300,1,2.068795,2.05506,2.065765,75.8985,75.5402
TSOPF_FS_b162_c4,40798,40798,2398220,1,2.02788,59.19305,54.40625,81.9169,2.019615
TSOPF_FS_b300,29214,29214,4400122,1,1.84438,1.822355,1.79535,1.86888,1.862295
TSOPF_FS_b300_c1,29214,29214,4400122,1,1.84627,1.813735,1.80227,1.855425,1.86748
TSOPF_FS_b300_c2,56814,56814,8767466,1,1.82083,1.80929,1.80361,1.806505,1.834355
TSOPF_FS_b300_c3,84414,84414,13135930,1,1.829105,1.80761,1.75358,1.8352,1.835105
TSOPF_FS_b39_c19,76216,76216,1977600,1,2.11988,2.167445,2.13723,2.07688,2.10766
TSOPF_FS_b39_c30,120216,120216,3121160,1,2.102785,2.14998,2.09893,2.0688,2.10408
TSOPF_FS_b39_c7,28216,28216,730080,1,2.16245,2.225575,2.1289800000000003,2.117045,2.186365
TSOPF_FS_b9_c6,14454,14454,147972,1,2.0068200000000003,1.926275,1.87153,2.042345,2.041075
Trefethen_20000,20000,20000,554466,1,32.1416,34.57105,24.47415,31.59115,37.0039
Trefethen_20000b,19999,19999,554435,1,30.85375,32.5416,24.74605,34.49375,37.00905
a0nsdsil,80016,80016,355034,1,9.11579,1.60754,1.576875,1.801525,1.819045
a2nnsnsl,80016,80016,347222,1,9.263685,1.528355,1.49879,1.719185,1.68723
a5esindl,60008,60008,255004,1,1.73682,1.446165,1.52018,1.764795,1.802665
adaptive,6815744,6815744,27248640,1,17.8453,18.0994,12.7648,20.752450000000003,7.269360000000001
af_0_k101,503625,503625,17550675,1,114.4045,138.66,35.43665,129.86700000000002,134.9555
af_1_k101,503625,503625,17550675,1,54.5286,143.39350000000002,29.44295,150.9445,50.7365
af_2_k101,503625,503625,17550675,1,132.28300000000002,135.632,137.4685,148.3635,82.0428
