matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,15.24195,14.3909,14.6372,15.96295,11.9909
2cubes_sphere,101492,101492,1647264,1,16.81815,17.18125,16.71705,18.23435,14.0113
333SP,3712815,3712815,22217266,1,4.101805000000001,3.786195,4.21041,2.836655,3.68112
3dtube,45330,45330,3213618,1,18.6675,19.161900000000003,18.3553,18.53015,19.3812
598a,110971,110971,1483868,1,12.59375,13.8214,13.44565,14.8364,11.31055
ACTIVSg70K,69999,69999,238627,1,5.438765,5.39356,5.374455,5.471495,5.51929
AS365,3799275,3799275,22736152,1,4.102565,4.31248,4.517440000000001,4.63757,2.25713
Andrews,60000,60000,760154,1,12.57275,12.973,12.6475,13.25105,11.8072
BenElechi1,245874,245874,13150496,1,5.849225000000001,5.705855,6.32591,5.20626,6.37073
Bump_2911,2911419,2911419,127729899,1,,,,6.2552900000000005,6.227655
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,3.68183,5.737095
CurlCurl_0,11083,11083,113343,1,14.56925,14.63925,14.0886,16.26755,
CurlCurl_1,226451,226451,2472071,1,19.5012,19.3947,19.0729,20.63395,20.91185
CurlCurl_2,806529,806529,8921789,1,4.28163,5.454245,5.644905,5.36512,4.5386500000000005
CurlCurl_3,1219574,1219574,13544618,1,5.239385,5.273425,5.28277,5.144605,5.195869999999999
CurlCurl_4,2380515,2380515,26515867,1,4.999219999999999,4.89846,4.95058,5.374124999999999,5.3758
Dubcova1,16129,16129,253009,1,17.1065,18.0013,,19.6629,17.1794
Dubcova2,65025,65025,1030225,1,21.1003,21.4931,21.94645,23.84895,19.32065
Dubcova3,146689,146689,3636649,1,19.34555,20.03185,20.56635,20.87035,16.45895
Emilia_923,923136,923136,41005206,1,6.101295,6.02477,6.103495,6.116905,6.391835
F1,343791,343791,26837113,1,6.261815,6.25758,6.188725,6.322425,6.201919999999999
F2,71505,71505,5294285,1,8.41641,10.06935,10.2134,9.66665,8.642365
Fault_639,638802,638802,28614564,1,5.947805000000001,5.930685,6.14119,6.308825,6.275915
Flan_1565,1564794,1564794,117406044,1,,,,6.487345,6.594425
G2_circuit,150102,150102,726674,1,14.9791,16.54175,16.0937,17.2638,17.049999999999997
G3_circuit,1585478,1585478,7660826,1,4.669295,4.610825,4.53423,4.637885000000001,4.471885
GAP-road,23947347,23947347,57708624,1,3.25149,2.967735,3.064735,3.285945,2.48149
G_n_pin_pout,100000,100000,1002396,1,10.1418,10.1436,9.739225,9.93402,8.08977
Ga10As10H30,113081,113081,6115633,1,7.66626,7.657495,7.978025,8.30524,8.632355
Ga19As19H42,133123,133123,8884839,1,6.51281,6.42819,6.24076,6.6150400000000005,6.807535
Ga3As3H12,61349,61349,5970947,1,8.087534999999999,8.420224999999999,8.07382,8.56048,8.527805
Ga41As41H72,268096,268096,18488476,1,6.115959999999999,5.96979,6.18685,6.669415,6.285220000000001
GaAsH6,61349,61349,3381809,1,17.0209,16.18655,17.14575,16.20955,16.8617
Ge87H76,112985,112985,7892195,1,6.741099999999999,6.09202,6.514555,6.46799,6.925929999999999
Ge99H100,112985,112985,8451395,1,6.68023,6.51835,6.618855,4.632895,6.70522
Geo_1438,1437960,1437960,63156690,1,4.1549700000000005,5.883165,6.167165000000001,6.219025,6.34903
H2O,67024,67024,2216736,1,21.047,21.311950000000003,20.41835,21.155,21.4785
HTC_336_4438,226340,226340,904522,1,15.7588,16.1997,15.300999999999998,14.3985,13.96175
HTC_336_9129,226340,226340,883422,1,9.63574,15.173749999999998,15.26745,14.5772,14.1097
Hardesty1,938905,938905,12143314,1,5.579005,5.47895,5.44844,5.522685,5.702935
Hook_1498,1498023,1498023,60917445,1,6.118885000000001,6.01235,6.003394999999999,5.962899999999999,6.362615
L-9,17983,17983,71192,1,12.45725,11.34955,10.0025,14.19565,13.5791
LF10000,19998,19998,99982,1,16.16585,15.61585,15.7762,16.036,16.277050000000003
LFAT5000,19994,19994,79966,1,14.9119,14.6997,13.6401,14.5657,15.23145
Lin,256000,256000,1766400,1,17.7397,17.57525,16.78635,18.2545,18.88895
Long_Coup_dt0,1470152,1470152,87088992,1,6.10595,5.97528,6.134245,6.238465,6.24151
NACA0015,1039183,1039183,6229636,1,5.10044,5.18993,5.33301,5.26451,4.08039
NLR,4163763,4163763,24975952,1,4.272735,4.349675,4.34732,4.55809,1.93996
OPF_10000,43887,43887,467711,1,19.68705,19.9046,19.7471,16.93685,15.39155
OPF_3754,15435,15435,158273,1,16.9411,17.64965,17.425849999999997,16.86435,15.4297
OPF_6000,29902,29902,302418,1,18.13565,18.94815,18.74605,16.5009,15.9144
Oregon-1,11492,11492,46818,1,7.524255,7.87852,6.24695,8.867015,6.393695
Oregon-2,11806,11806,65460,1,7.387855,8.1844,6.85662,9.32824,8.01942
PFlow_742,742793,742793,37138461,1,6.021165,6.01091,6.250875000000001,6.18662,4.83302
PGPgiantcompo,10680,10680,48632,1,8.092015,7.288465,7.131584999999999,8.05839,6.534325
Pres_Poisson,14822,14822,715804,1,21.5212,21.9253,21.6811,16.2075,21.7503
Queen_4147,4147110,4147110,329499284,1,,,,6.30568,6.2765
Serena,1391349,1391349,64531701,1,6.07186,5.37066,6.074775,6.225095,
Si10H16,17077,17077,875923,1,17.20275,17.66145,,17.0927,17.603650000000002
Si34H36,97569,97569,5156379,1,9.98234,9.02674,9.72365,10.49735,10.3951
Si41Ge41H72,185639,185639,15011265,1,6.314,6.420575,6.316535,4.2831,6.602975000000001
Si5H12,19896,19896,738598,1,17.23835,17.610799999999998,17.1755,18.25165,18.6442
Si87H76,240369,240369,10661631,1,5.60958,6.458685,6.2686,6.435840000000001,6.484745
SiO,33401,33401,1317655,1,17.60035,17.406100000000002,16.587200000000003,16.98875,17.600949999999997
SiO2,155331,155331,11283503,1,6.367405,6.275024999999999,5.970875,6.6526250000000005,6.244730000000001
StocF-1465,1465137,1465137,21005389,1,5.282715,5.14837,5.327365,5.654175,5.574305
TEM152078,152078,152078,6459326,1,7.248984999999999,7.69613,7.33912,7.770894999999999,7.351865
TEM181302,181302,181302,7839010,1,6.681695,6.72713,7.078625,6.825845,6.658245
TEM27623,27623,27623,439469,1,16.3416,16.325049999999997,16.6764,17.411900000000003,16.831400000000002
TSOPF_FS_b162_c1,10798,10798,608540,1,17.2572,17.09615,15.96475,16.7756,15.97205
TSOPF_FS_b162_c3,30798,30798,1801300,1,18.87255,15.87525,15.7644,17.40795,15.9083
TSOPF_FS_b162_c4,40798,40798,2398220,1,17.9161,15.22815,15.64255,17.62285,15.91595
TSOPF_FS_b300,29214,29214,4400122,1,9.217565,13.6817,13.80325,14.8643,14.75175
TSOPF_FS_b300_c1,29214,29214,4400122,1,15.0375,13.6035,13.90745,14.4163,14.6136
TSOPF_FS_b300_c2,56814,56814,8767466,1,6.40044,6.388565,6.780085,6.84211,6.87021
TSOPF_FS_b300_c3,84414,84414,13135930,1,6.459875,5.55468,6.43905,6.531409999999999,6.774385
TSOPF_FS_b39_c19,76216,76216,1977600,1,16.63625,18.2847,15.08575,17.459000000000003,16.152549999999998
TSOPF_FS_b39_c30,120216,120216,3121160,1,17.520000000000003,15.4648,16.57735,16.2587,15.675999999999998
TSOPF_FS_b39_c7,28216,28216,730080,1,18.40025,16.88725,16.492449999999998,17.119999999999997,15.85915
TSOPF_FS_b9_c6,14454,14454,147972,1,13.47955,12.9771,13.9629,14.66835,12.54525
Trefethen_20000,20000,20000,554466,1,22.9448,23.0524,19.89615,20.61265,21.74995
Trefethen_20000b,19999,19999,554435,1,22.8422,23.02435,19.796,20.88465,21.72535
a0nsdsil,80016,80016,355034,1,13.25245,13.77015,13.646,17.10395,15.7443
a2nnsnsl,80016,80016,347222,1,12.80305,11.73445,12.82075,15.21385,13.84705
a5esindl,60008,60008,255004,1,13.4302,12.66315,14.31195,16.48405,14.27975
adaptive,6815744,6815744,27248640,1,3.92638,3.74128,3.847825,3.999415,2.560795
af_0_k101,503625,503625,17550675,1,6.0023,5.56954,5.96638,5.83078,5.905855000000001
af_1_k101,503625,503625,17550675,1,5.88055,5.80077,5.92386,4.662545,6.057880000000001
af_2_k101,503625,503625,17550675,1,6.006525,5.7539750000000005,5.9179,6.190375,6.344375
af_3_k101,503625,503625,17550675,1,5.654915,5.84045,5.99594,3.790365,5.31967
af_4_k101,503625,503625,17550675,1,5.96201,5.823740000000001,6.06503,4.6398150000000005,5.46694
af_5_k101,503625,503625,17550675,1,5.88642,5.8594100000000005,5.85061,6.206075,5.9326550000000005
af_shell1,504855,504855,17588875,1,6.324825000000001,5.90382,5.939755,6.164855,5.878595
af_shell10,1508065,1508065,52672325,1,6.06936,5.78873,5.92087,6.233890000000001,6.03723
af_shell2,504855,504855,17588875,1,6.218565,5.8901900000000005,6.04192,6.109365,6.19299
af_shell3,504855,504855,17588875,1,5.949820000000001,5.9964,6.102615,6.136875,6.12204
af_shell4,504855,504855,17588875,1,6.09354,5.80345,5.940335,5.921925,6.38489
af_shell5,504855,504855,17588875,1,5.812165,5.543955,5.88482,6.242995,6.151154999999999
af_shell6,504855,504855,17588875,1,6.0575600000000005,5.87714,6.15329,6.339765,6.35632
af_shell7,504855,504855,17588875,1,6.18968,5.85971,6.133035,6.16802,6.13956
af_shell8,504855,504855,17588875,1,6.007245,5.19301,6.092555,6.127505,5.9519
af_shell9,504855,504855,17588875,1,5.962185,5.58326,6.01592,6.2551950000000005,6.23701
ak2010,45292,45292,217098,1,6.43013,6.610284999999999,6.54692,7.90813,6.193474999999999
al2010,252266,252266,1230482,1,6.66155,6.59928,6.751955,7.02056,6.154
analytics,303813,303813,2006126,1,13.1161,12.261,12.30165,14.71355,12.1062
apache1,80800,80800,542184,1,17.677799999999998,17.7431,16.9645,18.8701,18.5583
apache2,715176,715176,4817870,1,6.62651,7.14816,7.41442,7.699425,7.777609999999999
ar2010,186211,186211,904310,1,4.997675,6.58322,6.66159,6.77585,6.14307
