matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,26.0315,26.07685,26.598,26.50275,22.63545
2cubes_sphere,101492,101492,1647264,1,29.0954,29.2761,29.48205,30.81205,28.2136
333SP,3712815,3712815,22217266,1,4.80863,4.39495,5.083600000000001,4.747645,4.630269999999999
3dtube,45330,45330,3213618,1,26.02855,26.52115,27.45525,27.8918,27.5567
598a,110971,110971,1483868,1,23.762,25.84415,23.5557,26.1644,22.69875
ACTIVSg70K,69999,69999,238627,1,10.28315,11.40185,11.10375,11.2307,11.23605
AS365,3799275,3799275,22736152,1,4.87039,4.74508,4.898804999999999,4.926005,4.482065
Andrews,60000,60000,760154,1,24.24385,24.1118,24.04015,24.4146,23.4384
BenElechi1,245874,245874,13150496,1,5.1647,5.150455,5.662285000000001,5.160805,5.420705
Bump_2911,2911419,2911419,127729899,1,,,,5.818415,5.4075
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,5.59673,5.40581
CurlCurl_0,11083,11083,113343,1,24.04555,15.1765,23.1596,24.70155,
CurlCurl_1,226451,226451,2472071,1,27.7881,30.1842,31.1115,31.6972,29.8167
CurlCurl_2,806529,806529,8921789,1,5.6375150000000005,5.11771,5.34661,4.52392,5.94339
CurlCurl_3,1219574,1219574,13544618,1,5.435305,5.2582,5.361095,5.358815,5.338225
CurlCurl_4,2380515,2380515,26515867,1,4.861525,4.815910000000001,5.04764,4.881435,5.118235
Dubcova1,16129,16129,253009,1,29.53725,30.6576,,31.4427,26.46355
Dubcova2,65025,65025,1030225,1,34.63595,35.80335,35.77855,36.5098,28.98005
Dubcova3,146689,146689,3636649,1,24.5812,24.7695,20.1578,16.67765,19.9395
Emilia_923,923136,923136,41005206,1,5.16541,5.20048,5.03796,5.43585,5.137015
F1,343791,343791,26837113,1,5.399235,5.17226,5.14231,5.07134,5.39991
F2,71505,71505,5294285,1,10.6603,10.006875,9.01819,9.08215,9.49363
Fault_639,638802,638802,28614564,1,5.2337,5.351925,5.283754999999999,4.67635,5.14439
Flan_1565,1564794,1564794,117406044,1,,,,5.166545,5.399555
G2_circuit,150102,150102,726674,1,26.96105,27.15125,24.60545,29.61105,24.78955
G3_circuit,1585478,1585478,7660826,1,4.954224999999999,5.427875,4.742065,5.05393,5.22594
GAP-road,23947347,23947347,57708624,1,4.00358,3.575585,3.58862,4.397455,3.17551
G_n_pin_pout,100000,100000,1002396,1,20.6262,20.52985,18.6562,18.87165,20.3058
Ga10As10H30,113081,113081,6115633,1,7.251355,7.980980000000001,7.176835,7.61308,7.89491
Ga19As19H42,133123,133123,8884839,1,6.24758,6.434559999999999,6.31495,6.067769999999999,5.926545
Ga3As3H12,61349,61349,5970947,1,8.08222,8.30605,8.18842,8.638684999999999,7.916739999999999
Ga41As41H72,268096,268096,18488476,1,5.465335,5.504795,5.198725,5.07466,5.327395
GaAsH6,61349,61349,3381809,1,22.58555,23.49605,17.6003,22.0724,23.9611
