matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,14.48465,13.9449,14.3491,14.600650000000002,12.94225
2cubes_sphere,101492,101492,1647264,1,17.333,16.63935,17.27845,18.33385,16.9358
333SP,3712815,3712815,22217266,1,5.273345000000001,4.704905,5.286160000000001,5.1014,4.826385
3dtube,45330,45330,3213618,1,12.08085,12.57385,12.49515,12.4586,11.60315
598a,110971,110971,1483868,1,14.5408,14.5861,14.812,14.8217,11.43535
ACTIVSg70K,69999,69999,238627,1,5.74279,5.672785,5.537425000000001,5.559035,5.8727
AS365,3799275,3799275,22736152,1,5.13636,5.8634900000000005,5.266495,5.0038800000000005,3.015885
Andrews,60000,60000,760154,1,13.7228,13.7025,13.70065,13.87415,13.15465
BenElechi1,245874,245874,13150496,1,7.273210000000001,8.07629,7.457085,7.46135,7.698985
Bump_2911,2911419,2911419,127729899,1,,,,7.10314,6.911849999999999
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,7.19286,6.42454
CurlCurl_0,11083,11083,113343,1,15.60055,15.0652,14.84125,15.5147,
CurlCurl_1,226451,226451,2472071,1,14.4553,13.2071,12.4939,14.55865,14.1138
CurlCurl_2,806529,806529,8921789,1,6.579335,6.72758,6.568435,6.924925,6.715350000000001
CurlCurl_3,1219574,1219574,13544618,1,6.1700800000000005,6.5247,6.020715,5.948225000000001,6.687200000000001
CurlCurl_4,2380515,2380515,26515867,1,5.992975,6.68077,6.2892600000000005,6.177065,6.212265
Dubcova1,16129,16129,253009,1,18.794600000000003,19.0562,,19.44835,12.41275
Dubcova2,65025,65025,1030225,1,21.82635,22.44885,22.3263,22.0196,13.500050000000002
Dubcova3,146689,146689,3636649,1,10.3749,10.41995,10.7142,10.2041,7.653125
Emilia_923,923136,923136,41005206,1,6.705285,8.008965,7.169435,6.645925,7.186545000000001
F1,343791,343791,26837113,1,6.80106,7.659409999999999,7.02367,7.57428,6.531510000000001
F2,71505,71505,5294285,1,8.933535,10.0702,9.10479,8.696015,7.821289999999999
Fault_639,638802,638802,28614564,1,7.51571,7.854235,7.45656,7.412465,7.411275
Flan_1565,1564794,1564794,117406044,1,,,,7.426585,7.194825
G2_circuit,150102,150102,726674,1,17.7879,18.704500000000003,18.88555,19.00435,19.18525
G3_circuit,1585478,1585478,7660826,1,5.739705,5.392415,5.107285,5.78335,5.066470000000001
GAP-road,23947347,23947347,57708624,1,3.69505,3.31022,2.97563,3.636025,3.00535
G_n_pin_pout,100000,100000,1002396,1,11.5105,10.51485,11.26815,11.6406,11.53225
Ga10As10H30,113081,113081,6115633,1,7.54093,6.884399999999999,8.60994,5.926584999999999,7.896425
Ga19As19H42,133123,133123,8884839,1,6.701965,7.83337,7.82091,7.66131,7.815925
Ga3As3H12,61349,61349,5970947,1,5.159125,6.222720000000001,5.77397,4.877215,6.923405
Ga41As41H72,268096,268096,18488476,1,6.44519,7.35233,7.03146,6.645545,7.1888
GaAsH6,61349,61349,3381809,1,5.12015,5.078704999999999,8.362645,3.623045,6.641555
Ge87H76,112985,112985,7892195,1,7.27882,6.493024999999999,8.59394,7.166735,7.98444
Ge99H100,112985,112985,8451395,1,7.075435,8.37708,7.402755,7.649725,8.050795
Geo_1438,1437960,1437960,63156690,1,6.8375900000000005,6.955265000000001,7.20561,6.82627,6.41015
H2O,67024,67024,2216736,1,17.0259,17.88785,17.51605,17.14705,17.6612
HTC_336_4438,226340,226340,904522,1,13.93325,14.09865,13.13445,11.49595,9.69144
HTC_336_9129,226340,226340,883422,1,12.75345,14.05435,13.42705,11.5528,9.56628
Hardesty1,938905,938905,12143314,1,6.362045,6.691785,6.52069,6.77677,6.98374
Hook_1498,1498023,1498023,60917445,1,6.49263,6.991255000000001,6.96906,6.5400100000000005,6.831245
L-9,17983,17983,71192,1,11.94085,11.65145,11.442,12.4725,12.38225
LF10000,19998,19998,99982,1,15.35235,15.03265,15.2294,15.04055,15.36295
LFAT5000,19994,19994,79966,1,13.7486,12.3676,12.16555,12.1891,13.89045
Lin,256000,256000,1766400,1,18.9309,19.2887,18.162,18.75275,20.122
Long_Coup_dt0,1470152,1470152,87088992,1,7.00972,7.729324999999999,6.717409999999999,6.869255,7.038205
NACA0015,1039183,1039183,6229636,1,5.33782,6.620475,5.902235,6.07841,5.763965000000001
NLR,4163763,4163763,24975952,1,4.797955,4.85008,5.180400000000001,5.017525,2.75927
OPF_10000,43887,43887,467711,1,19.18475,19.2135,19.64105,15.77545,10.36855
OPF_3754,15435,15435,158273,1,17.5308,17.47475,17.46095,14.51215,10.7184
OPF_6000,29902,29902,302418,1,18.65885,18.8858,19.00475,14.77775,10.04375
Oregon-1,11492,11492,46818,1,4.99966,7.220235,4.476965,3.84218,3.64754
Oregon-2,11806,11806,65460,1,5.808905,5.433960000000001,4.403225,3.5356050000000003,4.281610000000001
PFlow_742,742793,742793,37138461,1,6.96068,6.8313,6.85607,6.94556,7.38463
PGPgiantcompo,10680,10680,48632,1,7.214295,7.13629,6.56065,6.00397,6.53338
Pres_Poisson,14822,14822,715804,1,18.14675,18.1247,18.09895,18.3382,18.13265
Queen_4147,4147110,4147110,329499284,1,,,,7.107535,6.956935
Serena,1391349,1391349,64531701,1,6.792515,6.9253,7.421749999999999,7.372875,
Si10H16,17077,17077,875923,1,12.02885,10.7438,,9.37263,10.17295
Si34H36,97569,97569,5156379,1,7.191065,8.06083,7.904345,7.292145,8.192325
Si41Ge41H72,185639,185639,15011265,1,6.279395,6.825035,7.09192,6.78124,7.254975
Si5H12,19896,19896,738598,1,10.7725,9.508935,9.93848,9.919395,12.8255
Si87H76,240369,240369,10661631,1,7.27495,7.106185,7.61763,6.880459999999999,7.16519
SiO,33401,33401,1317655,1,8.505749999999999,6.99676,7.439165,7.02862,10.52945
SiO2,155331,155331,11283503,1,2.899525,2.868085,6.23631,3.0153800000000004,4.511329999999999
StocF-1465,1465137,1465137,21005389,1,6.26591,6.311545,6.597735,6.800835,6.456785
