matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,37.3843,52.3274,54.8016,68.19235,22.44565
2cubes_sphere,101492,101492,1647264,1,56.9682,52.58465,48.8369,70.58484999999999,42.45805
333SP,3712815,3712815,22217266,1,56.6305,50.8098,55.515150000000006,50.052800000000005,14.431
3dtube,45330,45330,3213618,1,99.094,100.594,93.78455,102.114,97.3942
598a,110971,110971,1483868,1,33.08405,49.2889,44.10385,60.25245,18.1697
ACTIVSg70K,69999,69999,238627,1,19.1607,19.4981,20.53895,21.6995,16.391550000000002
AS365,3799275,3799275,22736152,1,53.23195,49.7935,40.56235,24.572,6.22619
Andrews,60000,60000,760154,1,20.4061,25.66365,22.78365,27.2863,15.6439
BenElechi1,245874,245874,13150496,1,142.696,46.823350000000005,143.49900000000002,89.52035000000001,146.84699999999998
Bump_2911,2911419,2911419,127729899,1,,,,15.0259,15.1199
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,15.2292,15.35565
CurlCurl_0,11083,11083,113343,1,11.94915,12.2895,11.1102,13.1192,
CurlCurl_1,226451,226451,2472071,1,59.56085,72.36075,65.2296,96.9484,75.12955
CurlCurl_2,806529,806529,8921789,1,94.7325,93.75765,92.2736,117.817,120.573
CurlCurl_3,1219574,1219574,13544618,1,96.6117,100.608,92.47955,61.01015,123.5475
CurlCurl_4,2380515,2380515,26515867,1,44.05655,45.49075,34.784800000000004,32.5654,14.91685
Dubcova1,16129,16129,253009,1,20.30325,24.6839,,26.6166,17.388399999999997
Dubcova2,65025,65025,1030225,1,51.8594,60.50325,55.95955,73.3939,19.9189
Dubcova3,146689,146689,3636649,1,100.6765,110.5675,91.06545,116.0295,47.78530000000001
Emilia_923,923136,923136,41005206,1,20.44225,24.013350000000003,18.72895,24.2815,24.63895
F1,343791,343791,26837113,1,72.01939999999999,96.67315,26.371450000000003,19.68455,43.67965
F2,71505,71505,5294285,1,99.05495,106.1335,37.64005,107.625,71.404
Fault_639,638802,638802,28614564,1,67.67930000000001,38.553650000000005,52.5645,37.087900000000005,41.9404
Flan_1565,1564794,1564794,117406044,1,,,,15.5667,15.64545
G2_circuit,150102,150102,726674,1,31.5828,40.15455,42.594,51.1767,28.624450000000003
G3_circuit,1585478,1585478,7660826,1,35.002750000000006,86.7002,95.8519,111.326,34.57385
GAP-road,23947347,23947347,57708624,1,8.006319999999999,7.9915,7.962210000000001,8.003005,6.5436250000000005
G_n_pin_pout,100000,100000,1002396,1,13.811,13.7767,14.0542,15.3487,11.6229
Ga10As10H30,113081,113081,6115633,1,94.17,96.6261,81.40665,82.87434999999999,89.09129999999999
Ga19As19H42,133123,133123,8884839,1,79.52289999999999,102.3195,87.85210000000001,93.32275,98.81645
Ga3As3H12,61349,61349,5970947,1,94.4669,90.75585,82.90565,84.50710000000001,90.84885
Ga41As41H72,268096,268096,18488476,1,104.6425,104.7615,22.538,45.03135,21.7945
GaAsH6,61349,61349,3381809,1,80.19715,74.436,67.4627,79.7425,78.4952
Ge87H76,112985,112985,7892195,1,66.33420000000001,100.7425,78.8922,90.10115,98.8675
Ge99H100,112985,112985,8451395,1,98.2417,101.9515,89.69069999999999,86.10645,45.3807
Geo_1438,1437960,1437960,63156690,1,16.17235,15.6309,16.98545,16.13775,16.32515
H2O,67024,67024,2216736,1,64.15809999999999,79.11705,61.68485,77.75370000000001,63.5906
HTC_336_4438,226340,226340,904522,1,28.21855,32.918350000000004,36.4503,21.3009,18.7127
HTC_336_9129,226340,226340,883422,1,30.8401,29.0614,32.6504,21.2738,18.0238
Hardesty1,938905,938905,12143314,1,126.672,105.8035,133.7375,147.6335,129.569
Hook_1498,1498023,1498023,60917445,1,16.25675,16.82875,16.85455,16.022550000000003,16.25725
L-9,17983,17983,71192,1,8.12305,7.84058,7.85352,8.65188,8.23602
LF10000,19998,19998,99982,1,9.583905,12.1139,12.1952,12.23655,12.0337
LFAT5000,19994,19994,79966,1,9.616335,9.42031,9.24036,7.32033,10.02645
Lin,256000,256000,1766400,1,43.38895,42.66925,44.5963,82.77029999999999,66.1288
Long_Coup_dt0,1470152,1470152,87088992,1,15.4966,15.294,15.33195,15.6323,15.52465
NACA0015,1039183,1039183,6229636,1,45.4914,50.70465,49.13195,68.7185,8.740580000000001
NLR,4163763,4163763,24975952,1,33.79845,31.920500000000004,31.8967,26.8965,6.007075
OPF_10000,43887,43887,467711,1,40.2246,40.1745,41.00275,40.8223,16.677799999999998
OPF_3754,15435,15435,158273,1,17.1245,17.655099999999997,16.9495,17.8492,11.04295
OPF_6000,29902,29902,302418,1,28.63755,29.1847,28.7532,29.2758,15.2097
Oregon-1,11492,11492,46818,1,0.612174,0.611844,0.59919,1.1164900000000002,0.603701
Oregon-2,11806,11806,65460,1,0.7612669999999999,0.7430215,0.776098,1.207265,0.751635
PFlow_742,742793,742793,37138461,1,26.77955,29.15035,29.156,25.26255,26.8544
PGPgiantcompo,10680,10680,48632,1,4.789215,4.8489,4.097745,5.097425,3.577525
Pres_Poisson,14822,14822,715804,1,57.0737,55.0937,56.320800000000006,59.80995,55.9331
Queen_4147,4147110,4147110,329499284,1,,,,15.38285,15.4138
Serena,1391349,1391349,64531701,1,15.89905,15.9743,15.75825,15.8401,
Si10H16,17077,17077,875923,1,49.8853,47.0529,,49.518,49.60215
Si34H36,97569,97569,5156379,1,90.28855,92.99315,80.52709999999999,79.35919999999999,90.2214
Si41Ge41H72,185639,185639,15011265,1,104.7685,103.9395,96.34675,80.12665,80.6622
Si5H12,19896,19896,738598,1,43.9262,44.1165,32.3358,46.58975,45.6959
Si87H76,240369,240369,10661631,1,95.0845,104.924,89.91980000000001,87.5814,103.072
SiO,33401,33401,1317655,1,56.8512,54.9172,46.893,57.39735,57.3037
SiO2,155331,155331,11283503,1,25.46885,100.4665,68.92225,100.7945,87.16045
StocF-1465,1465137,1465137,21005389,1,78.0441,32.39535,27.32645,40.8868,63.35785
TEM152078,152078,152078,6459326,1,102.618,103.8355,90.1157,106.4455,105.626
TEM181302,181302,181302,7839010,1,111.9945,115.193,89.5212,107.7455,103.9865
TEM27623,27623,27623,439469,1,31.9812,33.39315,28.607550000000003,36.50685,34.44925
TSOPF_FS_b162_c1,10798,10798,608540,1,2.09669,2.06365,2.076425,2.03938,2.082705
TSOPF_FS_b162_c3,30798,30798,1801300,1,2.08188,2.05613,2.06891,75.8498,76.22775
TSOPF_FS_b162_c4,40798,40798,2398220,1,2.024085,58.95615,53.4975,80.5387,2.021495
TSOPF_FS_b300,29214,29214,4400122,1,1.84042,1.81309,1.806075,1.866225,1.861315
TSOPF_FS_b300_c1,29214,29214,4400122,1,1.856245,1.82242,1.811215,1.854095,1.860385
TSOPF_FS_b300_c2,56814,56814,8767466,1,1.82702,1.81598,1.79962,1.80198,1.8282
TSOPF_FS_b300_c3,84414,84414,13135930,1,1.82093,1.798685,1.75439,1.833035,1.83718
TSOPF_FS_b39_c19,76216,76216,1977600,1,2.111405,2.1645950000000003,2.136335,2.043315,2.09744
TSOPF_FS_b39_c30,120216,120216,3121160,1,2.090095,2.14563,2.094855,2.06341,2.10498
TSOPF_FS_b39_c7,28216,28216,730080,1,2.157205,2.217315,2.12749,2.12555,2.196775
TSOPF_FS_b9_c6,14454,14454,147972,1,2.01003,1.94549,1.86433,2.068295,2.057215
Trefethen_20000,20000,20000,554466,1,33.1926,35.37205,26.5261,33.5801,37.93685
Trefethen_20000b,19999,19999,554435,1,32.38965,32.7778,25.86705,34.846599999999995,34.667950000000005
a0nsdsil,80016,80016,355034,1,10.40685,1.66309,1.613105,1.82931,1.844445
a2nnsnsl,80016,80016,347222,1,10.8103,1.498535,1.5238,1.79699,1.71972
a5esindl,60008,60008,255004,1,1.79652,1.504395,1.56072,1.82735,1.84403
adaptive,6815744,6815744,27248640,1,21.942500000000003,20.2096,16.98525,24.6797,8.597774999999999
af_0_k101,503625,503625,17550675,1,121.0635,140.6845,36.59415,128.3985,138.75549999999998
af_1_k101,503625,503625,17550675,1,54.5094,148.893,27.1136,151.954,51.2497
af_2_k101,503625,503625,17550675,1,141.4055,130.11849999999998,139.42700000000002,148.0905,82.5172
af_3_k101,503625,503625,17550675,1,39.0001,142.83249999999998,33.73405,150.9975,35.3101
af_4_k101,503625,503625,17550675,1,141.46800000000002,146.399,146.582,139.1845,144.1175
af_5_k101,503625,503625,17550675,1,136.1855,145.79250000000002,137.502,46.3677,88.7269
af_shell1,504855,504855,17588875,1,134.88850000000002,148.0405,59.9877,57.6185,95.5499
af_shell10,1508065,1508065,52672325,1,16.9882,17.41285,16.19945,17.21165,19.02475
af_shell2,504855,504855,17588875,1,138.017,100.0845,87.52525,90.9948,139.497
af_shell3,504855,504855,17588875,1,144.6225,110.096,44.18495,146.711,153.23899999999998
af_shell4,504855,504855,17588875,1,144.1445,139.8265,148.031,150.97250000000005,147.294
af_shell5,504855,504855,17588875,1,134.16750000000002,146.9345,146.7535,147.0795,147.723
af_shell6,504855,504855,17588875,1,144.33499999999998,148.3225,51.35165000000001,144.94799999999998,150.2125
af_shell7,504855,504855,17588875,1,138.261,146.7875,138.69299999999998,152.4405,40.26065
af_shell8,504855,504855,17588875,1,131.0745,140.847,133.5435,144.59050000000002,134.4735
af_shell9,504855,504855,17588875,1,76.6729,93.1628,117.676,69.1619,84.9119
ak2010,45292,45292,217098,1,19.3856,19.3774,18.81305,20.70575,16.51535
al2010,252266,252266,1230482,1,34.81055,37.0898,37.2467,44.78405,29.7986
analytics,303813,303813,2006126,1,1.55171,1.46905,1.476575,1.85618,1.410525
apache1,80800,80800,542184,1,31.12705,37.25645,34.902,45.93775,44.6306
apache2,715176,715176,4817870,1,65.54575,89.30165,82.43475,109.923,111.137
ar2010,186211,186211,904310,1,36.3535,37.3154,36.4556,40.24795,28.82
as-22july06,22963,22963,96872,1,0.6469005,0.655053,0.64637,1.143325,0.6424715
as-Skitter,1696415,1696415,22190596,1,27.00665,34.27655,30.5186,16.644599999999997,11.55285
asia_osm,11950757,11950757,25423206,1,13.03165,14.68945,12.34255,14.32625,7.881155
astro-ph,16706,16706,242502,1,14.25205,13.66865,13.28595,15.3943,12.494
audikw_1,943695,943695,77651847,1,17.52195,15.61215,15.7854,15.87655,15.55345
