matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,15.96175,15.96915,15.98885,16.19115,14.27545
2cubes_sphere,101492,101492,1647264,1,17.4581,18.09275,17.0083,18.32215,17.840899999999998
333SP,3712815,3712815,22217266,1,4.355354999999999,4.154495,4.4859100000000005,3.0075700000000003,3.6194
3dtube,45330,45330,3213618,1,19.1215,19.2116,18.45995,17.9893,19.13715
598a,110971,110971,1483868,1,15.0357,15.00745,14.87095,14.8933,13.05005
ACTIVSg70K,69999,69999,238627,1,5.38269,5.55136,5.503365,5.49667,5.583545
AS365,3799275,3799275,22736152,1,4.311205,4.55191,4.7560400000000005,4.87126,2.388085
Andrews,60000,60000,760154,1,14.3736,14.5088,14.55605,14.3574,13.8733
BenElechi1,245874,245874,13150496,1,5.896715,5.767005,6.34875,5.208875,6.41071
Bump_2911,2911419,2911419,127729899,1,,,,6.336545,6.301475
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,3.7288,5.76828
CurlCurl_0,11083,11083,113343,1,17.737099999999998,16.847749999999998,16.5655,16.980150000000002,
CurlCurl_1,226451,226451,2472071,1,20.501800000000003,20.65555,19.921,20.49505,20.7524
CurlCurl_2,806529,806529,8921789,1,4.327385,5.324245,5.519064999999999,5.26432,4.40152
CurlCurl_3,1219574,1219574,13544618,1,5.336515,5.369195,5.313165,5.226795,5.26512
CurlCurl_4,2380515,2380515,26515867,1,5.102525,5.05841,5.14218,5.546945,5.535555
Dubcova1,16129,16129,253009,1,19.8518,19.2477,,19.77,17.71445
Dubcova2,65025,65025,1030225,1,23.22405,23.4034,23.4554,23.87655,20.254
Dubcova3,146689,146689,3636649,1,19.96205,20.30835,20.8063,20.21725,19.7183
Emilia_923,923136,923136,41005206,1,6.177075,6.114739999999999,6.16604,6.181835,6.468435
F1,343791,343791,26837113,1,6.31942,6.319369999999999,6.22248,6.374545,6.260244999999999
F2,71505,71505,5294285,1,8.420380000000002,9.932425,9.96673,9.43823,8.530899999999999
Fault_639,638802,638802,28614564,1,6.026994999999999,6.011620000000001,6.208055,6.382875,6.348380000000001
Flan_1565,1564794,1564794,117406044,1,,,,6.542345,6.65827
G2_circuit,150102,150102,726674,1,17.447000000000003,17.740000000000002,17.7693,17.2585,18.042700000000004
G3_circuit,1585478,1585478,7660826,1,4.49516,4.529225,4.478485,4.552845,4.41455
GAP-road,23947347,23947347,57708624,1,3.28181,3.016835,3.05954,3.328925,2.50953
G_n_pin_pout,100000,100000,1002396,1,11.85745,12.1701,11.4877,10.68245,8.341664999999999
Ga10As10H30,113081,113081,6115633,1,7.520335,7.60083,8.127144999999999,8.283435,8.45392
Ga19As19H42,133123,133123,8884839,1,6.485635,6.374675,6.26238,6.554209999999999,6.7958750000000006
Ga3As3H12,61349,61349,5970947,1,7.945845,8.42532,8.077475,8.432590000000001,8.56092
Ga41As41H72,268096,268096,18488476,1,6.18253,5.99727,6.22973,6.70679,6.317495
GaAsH6,61349,61349,3381809,1,17.02595,16.51225,17.4324,16.548450000000003,17.014699999999998
Ge87H76,112985,112985,7892195,1,6.65845,6.02792,6.489330000000001,6.418150000000001,6.81402
Ge99H100,112985,112985,8451395,1,6.667104999999999,6.447845,6.58316,4.637085,6.655925
Geo_1438,1437960,1437960,63156690,1,4.245685,5.949574999999999,6.239435,6.302485,6.4346250000000005
H2O,67024,67024,2216736,1,21.40165,21.82825,21.5023,21.17675,21.5317
HTC_336_4438,226340,226340,904522,1,16.0731,16.68005,15.87915,14.2505,14.11425
HTC_336_9129,226340,226340,883422,1,11.01355,15.82195,15.75995,14.5616,14.0453
Hardesty1,938905,938905,12143314,1,5.634695,5.55857,5.498419999999999,5.6081,5.785905
Hook_1498,1498023,1498023,60917445,1,6.20219,6.115665,6.051705,6.037105,6.4493100000000005
L-9,17983,17983,71192,1,13.98655,13.953,14.1183,14.1955,14.56625
LF10000,19998,19998,99982,1,16.31055,16.49205,16.4371,16.64985,16.47175
LFAT5000,19994,19994,79966,1,15.202100000000002,14.8296,14.21,14.0903,15.2608
Lin,256000,256000,1766400,1,18.8219,18.49575,18.2789,18.2375,18.9431
Long_Coup_dt0,1470152,1470152,87088992,1,6.16661,6.037155,6.196540000000001,6.2832,6.307635
NACA0015,1039183,1039183,6229636,1,4.75027,4.753064999999999,4.910795,5.02249,4.6656
NLR,4163763,4163763,24975952,1,4.485865,4.56382,4.53262,4.790100000000001,2.08812
OPF_10000,43887,43887,467711,1,20.6288,20.77325,20.2998,17.00015,17.955849999999998
OPF_3754,15435,15435,158273,1,19.16135,19.0748,18.8861,17.1432,18.21315
OPF_6000,29902,29902,302418,1,19.4823,20.26865,20.2557,16.467,18.01155
Oregon-1,11492,11492,46818,1,8.6379,9.473775,8.257159999999999,9.668115,8.691500000000001
Oregon-2,11806,11806,65460,1,7.35914,9.03841,6.556215,10.6826,9.958245
PFlow_742,742793,742793,37138461,1,6.096865,6.078825,6.320295,6.23894,4.89087
PGPgiantcompo,10680,10680,48632,1,9.854605,8.641825,7.370445,7.785855,6.851929999999999
Pres_Poisson,14822,14822,715804,1,22.36535,22.36345,22.24685,16.83565,22.28875
Queen_4147,4147110,4147110,329499284,1,,,,6.407855,6.32199
Serena,1391349,1391349,64531701,1,6.140985,5.47082,6.15709,6.290134999999999,
Si10H16,17077,17077,875923,1,18.02205,17.937150000000003,,17.5967,17.9814
Si34H36,97569,97569,5156379,1,9.9256,8.99498,9.71323,10.629,10.25065
Si41Ge41H72,185639,185639,15011265,1,6.33887,6.47023,6.33622,4.28229,6.60314
Si5H12,19896,19896,738598,1,18.32625,17.830849999999998,17.95315,18.52395,18.81895
Si87H76,240369,240369,10661631,1,6.012595,6.450715000000001,6.24181,6.420935,6.44541
SiO,33401,33401,1317655,1,17.829500000000003,17.544600000000003,17.26925,17.1647,18.14065
SiO2,155331,155331,11283503,1,6.36096,6.284065,5.91854,6.67304,6.25559
StocF-1465,1465137,1465137,21005389,1,5.39548,5.2863,5.441355,5.808915,5.699045
TEM152078,152078,152078,6459326,1,6.988525,7.621795,7.203150000000001,7.6079,7.09104
TEM181302,181302,181302,7839010,1,6.55142,6.586775,6.971595,6.694604999999999,6.497915
TEM27623,27623,27623,439469,1,18.1001,18.14095,18.1203,18.84715,18.3627
TSOPF_FS_b162_c1,10798,10798,608540,1,17.53965,17.9232,16.332050000000002,16.8886,16.264499999999998
TSOPF_FS_b162_c3,30798,30798,1801300,1,19.0703,16.785800000000002,16.1398,17.46405,16.0364
TSOPF_FS_b162_c4,40798,40798,2398220,1,17.9961,16.0431,15.8656,17.6533,16.015050000000002
TSOPF_FS_b300,29214,29214,4400122,1,9.422055,13.91035,13.88645,15.80725,14.8009
TSOPF_FS_b300_c1,29214,29214,4400122,1,15.13625,13.7135,14.20805,14.01215,14.85435
TSOPF_FS_b300_c2,56814,56814,8767466,1,6.40792,6.37323,6.77874,6.80456,6.88294
TSOPF_FS_b300_c3,84414,84414,13135930,1,6.45198,5.57264,6.453925,6.532985,6.82029
TSOPF_FS_b39_c19,76216,76216,1977600,1,16.72,18.67365,15.47045,17.48955,16.4327
TSOPF_FS_b39_c30,120216,120216,3121160,1,17.980449999999998,15.5806,17.035,16.752699999999997,16.11985
TSOPF_FS_b39_c7,28216,28216,730080,1,18.8445,18.0509,17.101799999999997,17.1915,16.20865
TSOPF_FS_b9_c6,14454,14454,147972,1,14.0325,17.4291,16.4781,15.34925,12.94885
Trefethen_20000,20000,20000,554466,1,24.60175,24.3587,22.47075,22.39115,22.3215
Trefethen_20000b,19999,19999,554435,1,24.56245,24.30915,22.6321,22.38555,22.2641
a0nsdsil,80016,80016,355034,1,16.327199999999998,16.445999999999998,16.31405,17.4015,16.49605
a2nnsnsl,80016,80016,347222,1,16.11225,15.35515,16.50865,15.41505,14.0974
a5esindl,60008,60008,255004,1,16.27835,16.20115,16.7819,16.6072,15.091
adaptive,6815744,6815744,27248640,1,4.075275,3.868315,4.048765,4.211085000000001,2.48973
af_0_k101,503625,503625,17550675,1,6.06323,5.6360600000000005,6.052155,5.900145,5.961785
af_1_k101,503625,503625,17550675,1,5.92883,5.85104,5.997435,4.69442,6.09937
af_2_k101,503625,503625,17550675,1,6.048695,5.81129,5.98672,6.259905,6.426025
af_3_k101,503625,503625,17550675,1,5.710915,5.916075,6.042955,3.842325,5.376985
af_4_k101,503625,503625,17550675,1,5.994695,5.89307,6.15563,4.656935000000001,5.473459999999999
af_5_k101,503625,503625,17550675,1,5.939795,5.9038,5.9212,6.272635,6.016895
af_shell1,504855,504855,17588875,1,6.352055,5.981895,6.02065,6.21899,5.960365
af_shell10,1508065,1508065,52672325,1,6.16573,5.886555,6.0079,6.31655,6.126155000000001
af_shell2,504855,504855,17588875,1,6.284895000000001,5.969374999999999,6.120559999999999,6.195375,6.266365
af_shell3,504855,504855,17588875,1,5.99873,6.069025,6.17517,6.227875,6.195175
af_shell4,504855,504855,17588875,1,6.139435000000001,5.871510000000001,6.006745,5.97565,6.476895
af_shell5,504855,504855,17588875,1,5.86104,5.622635,5.95451,6.3103,6.226125
af_shell6,504855,504855,17588875,1,6.097995,5.951825,6.21402,6.412795,6.448119999999999
af_shell7,504855,504855,17588875,1,6.265029999999999,5.915905,6.19864,6.237175000000001,6.211105
af_shell8,504855,504855,17588875,1,6.0432,5.386184999999999,6.161195,6.195404999999999,6.028090000000001
af_shell9,504855,504855,17588875,1,6.033345000000001,5.65632,6.08608,6.325075,6.295575
ak2010,45292,45292,217098,1,6.69017,6.78849,6.680375,7.651035,6.656395
al2010,252266,252266,1230482,1,6.84187,6.66532,6.829335,7.030885,6.692735000000001
analytics,303813,303813,2006126,1,14.10845,12.87895,13.42375,15.4572,12.15165
