matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,13.6071,13.351,13.5004,13.47165,12.1586
2cubes_sphere,101492,101492,1647264,1,15.87265,15.94395,15.3934,16.8512,15.67555
333SP,3712815,3712815,22217266,1,5.311415,4.77135,5.326085,5.054485,4.555745
3dtube,45330,45330,3213618,1,12.37765,12.8113,12.5655,12.75305,12.12705
598a,110971,110971,1483868,1,13.2768,13.48025,13.6025,13.1507,11.9997
ACTIVSg70K,69999,69999,238627,1,5.501239999999999,5.464355,5.40176,5.229815,5.715825000000001
AS365,3799275,3799275,22736152,1,5.32441,5.931455,5.47089,5.076445,2.73756
Andrews,60000,60000,760154,1,12.58145,12.74185,12.76785,12.5524,12.58575
BenElechi1,245874,245874,13150496,1,7.394555,8.183975,7.558615,7.489755000000001,7.704845000000001
Bump_2911,2911419,2911419,127729899,1,,,,7.0373,6.956625
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,7.1851400000000005,6.4554100000000005
CurlCurl_0,11083,11083,113343,1,20.1965,18.34835,17.9289,17.8789,
CurlCurl_1,226451,226451,2472071,1,14.53725,13.53385,12.21725,14.1887,13.943
CurlCurl_2,806529,806529,8921789,1,6.6951,6.865025,6.631225000000001,6.870985,6.64479
CurlCurl_3,1219574,1219574,13544618,1,6.228365,6.437290000000001,6.050895000000001,5.966445,6.637445
CurlCurl_4,2380515,2380515,26515867,1,6.15739,6.87172,6.361275,6.1425,6.20317
Dubcova1,16129,16129,253009,1,21.783,22.17925,,22.1122,21.38575
Dubcova2,65025,65025,1030225,1,22.6453,22.73405,22.72295,22.5785,21.58645
Dubcova3,146689,146689,3636649,1,10.40295,10.61995,10.80455,10.3983,10.44315
Emilia_923,923136,923136,41005206,1,6.71505,7.968590000000001,7.08223,6.6516,7.1274
F1,343791,343791,26837113,1,6.90734,7.727354999999999,7.108475,7.63902,7.726575
F2,71505,71505,5294285,1,8.845345,10.1664,9.11327,8.68535,9.218215
Fault_639,638802,638802,28614564,1,7.47316,7.86741,7.411949999999999,7.45147,7.42678
