matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.744645,1.762235,1.74477,1.782095,1.555085
2cubes_sphere,101492,101492,1647264,1,2.097335,2.00612,2.003485,2.15365,2.02224
333SP,3712815,3712815,22217266,1,1.13763,1.16231,1.181505,1.39084,0.8416635
3dtube,45330,45330,3213618,1,2.101965,2.072715,2.10883,2.0735,2.124625
598a,110971,110971,1483868,1,1.69407,1.69048,1.69789,1.73389,1.523335
ACTIVSg70K,69999,69999,238627,1,0.6211949999999999,0.625877,0.6209525,0.613587,0.6358655
AS365,3799275,3799275,22736152,1,0.924786,0.974097,0.964709,1.145535,0.3422035
Andrews,60000,60000,760154,1,1.66695,1.676195,1.673365,1.684895,1.493725
BenElechi1,245874,245874,13150496,1,2.355005,2.357315,2.34161,2.3651,2.374885
Bump_2911,2911419,2911419,127729899,1,,,,2.3377350000000003,2.35898
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.386815,2.382705
CurlCurl_0,11083,11083,113343,1,2.129935,1.946335,1.971325,1.9582,
CurlCurl_1,226451,226451,2472071,1,2.4134450000000003,2.314135,2.3102,2.377545,2.50838
CurlCurl_2,806529,806529,8921789,1,2.22869,2.18694,2.1395,2.336225,2.455165
CurlCurl_3,1219574,1219574,13544618,1,2.19241,2.158695,2.14938,2.355095,2.425365
CurlCurl_4,2380515,2380515,26515867,1,2.1927,2.148865,2.1393,2.388525,2.52856
Dubcova1,16129,16129,253009,1,2.35937,2.4001200000000003,,2.286035,2.5411
Dubcova2,65025,65025,1030225,1,2.7926,2.80516,2.71177,2.7702,2.46901
Dubcova3,146689,146689,3636649,1,2.51458,2.45946,2.433365,2.46059,2.52222
Emilia_923,923136,923136,41005206,1,2.29846,2.275595,2.26382,2.3824300000000003,2.3713100000000003
F1,343791,343791,26837113,1,1.94563,1.99904,1.987655,2.04221,1.71881
F2,71505,71505,5294285,1,2.01908,2.00731,2.018545,2.0597700000000003,1.959925
Fault_639,638802,638802,28614564,1,2.171065,2.14657,2.169235,2.25427,2.20642
Flan_1565,1564794,1564794,117406044,1,,,,2.097275,2.09703
G2_circuit,150102,150102,726674,1,2.0746450000000003,2.03679,2.070705,2.042205,2.08032
G3_circuit,1585478,1585478,7660826,1,1.78096,1.751855,1.720645,1.993525,1.83216
GAP-road,23947347,23947347,57708624,1,0.5094515,0.516981,0.515169,0.549708,0.4334424999999999
G_n_pin_pout,100000,100000,1002396,1,1.3616,1.35999,1.33032,1.393875,1.24777
Ga10As10H30,113081,113081,6115633,1,1.987045,1.96578,1.948715,1.959505,1.998745
Ga19As19H42,133123,133123,8884839,1,1.945695,1.923035,1.903535,1.927775,1.95901
Ga3As3H12,61349,61349,5970947,1,1.87927,1.862395,1.86208,1.894185,1.882315
Ga41As41H72,268096,268096,18488476,1,1.937985,1.91185,1.912565,1.93564,1.9479
