matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.807545,1.89647,1.85295,1.86023,1.799895
2cubes_sphere,101492,101492,1647264,1,2.17983,2.201325,2.159965,2.273245,2.196675
333SP,3712815,3712815,22217266,1,1.515295,1.53891,1.51803,1.69155,1.3183250000000002
3dtube,45330,45330,3213618,1,2.473735,2.48868,2.5278650000000003,2.44855,2.4170800000000003
598a,110971,110971,1483868,1,1.78093,1.80328,1.812815,1.849465,1.76037
ACTIVSg70K,69999,69999,238627,1,0.821148,0.821841,0.820343,0.7821485,0.832362
AS365,3799275,3799275,22736152,1,1.2279,1.306085,1.2628499999999998,1.498135,0.4381779999999999
Andrews,60000,60000,760154,1,1.74937,1.75971,1.749905,1.767145,1.735925
BenElechi1,245874,245874,13150496,1,2.756665,2.755765,2.749615,2.794445,2.807255
Bump_2911,2911419,2911419,127729899,1,,,,2.67438,2.664695
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.780595,2.75783
CurlCurl_0,11083,11083,113343,1,2.61385,2.356625,2.3065100000000003,2.339605,
CurlCurl_1,226451,226451,2472071,1,2.57278,2.593615,2.54387,2.498875,2.69756
CurlCurl_2,806529,806529,8921789,1,2.384465,2.4900450000000003,2.42496,2.56841,2.647335
CurlCurl_3,1219574,1219574,13544618,1,2.49783,2.460635,2.362975,2.471495,2.64769
CurlCurl_4,2380515,2380515,26515867,1,2.4493400000000003,2.324145,2.406605,2.601505,2.675565
Dubcova1,16129,16129,253009,1,2.90129,2.882635,,2.922065,2.909635
Dubcova2,65025,65025,1030225,1,3.09456,3.097985,3.09796,2.79516,3.034115
Dubcova3,146689,146689,3636649,1,2.837405,2.82699,2.766855,2.72577,2.81873
Emilia_923,923136,923136,41005206,1,2.703085,2.69267,2.67729,2.739355,2.783085
F1,343791,343791,26837113,1,2.36735,2.3493,2.35946,2.396265,2.35065
F2,71505,71505,5294285,1,2.40159,2.3926,2.39082,2.41197,2.3871900000000004
Fault_639,638802,638802,28614564,1,2.53536,2.52155,2.51621,2.53574,2.56381
Flan_1565,1564794,1564794,117406044,1,,,,2.719525,2.750625
G2_circuit,150102,150102,726674,1,2.50041,2.477675,2.49297,2.39564,2.609295
G3_circuit,1585478,1585478,7660826,1,2.19947,2.220285,2.14131,2.319235,2.35862
GAP-road,23947347,23947347,57708624,1,0.698642,0.698305,0.698135,0.747554,0.5783415000000001
