matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.23144,1.18283,1.304705,1.223765,1.163915
2cubes_sphere,101492,101492,1647264,1,1.62139,1.59168,1.542555,1.69072,1.61285
333SP,3712815,3712815,22217266,1,0.367841,0.3365865,0.4538265,0.367029,0.3377989999999999
3dtube,45330,45330,3213618,1,0.9769525,0.9921055,1.002515,0.9873545,1.00067
598a,110971,110971,1483868,1,1.46956,1.242835,1.2903950000000002,1.431905,1.374065
ACTIVSg70K,69999,69999,238627,1,0.5597449999999999,0.5621615,0.564288,0.5650090000000001,0.567055
AS365,3799275,3799275,22736152,1,0.351545,0.365504,0.359459,0.364558,0.3092465
Andrews,60000,60000,760154,1,1.380875,1.359425,1.3636750000000002,1.462235,1.3746550000000002
BenElechi1,245874,245874,13150496,1,0.4007765,0.392541,0.4245335,0.381928,0.435976
Bump_2911,2911419,2911419,127729899,1,,,,0.5713415,0.4773195
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,0.5488695,0.452701
CurlCurl_0,11083,11083,113343,1,2.08339,1.899895,1.89891,1.93295,
CurlCurl_1,226451,226451,2472071,1,1.10097,1.067455,0.8982705,0.897612,1.107805
CurlCurl_2,806529,806529,8921789,1,0.4102814999999999,0.4185715,0.4039015,0.3691715,0.409831
CurlCurl_3,1219574,1219574,13544618,1,0.3930865,0.3857215,0.4249595,0.4667385,0.3822645
CurlCurl_4,2380515,2380515,26515867,1,0.3650795,0.3892744999999999,0.37288,0.383565,0.3752705
Dubcova1,16129,16129,253009,1,2.128435,2.074255,,2.01549,2.107015
Dubcova2,65025,65025,1030225,1,2.124845,2.11393,2.138215,2.172565,2.049275
Dubcova3,146689,146689,3636649,1,0.8077,0.8143475,0.779453,0.7585145,0.8061795
Emilia_923,923136,923136,41005206,1,0.38193,0.3823835,0.3777105,0.4140505,0.377453
F1,343791,343791,26837113,1,0.393561,0.3881565,0.3844889999999999,0.3868684999999999,0.3836195
F2,71505,71505,5294285,1,0.612887,0.3866895,0.6064665,0.592166,0.6078705
Fault_639,638802,638802,28614564,1,0.383648,0.3843,0.3903795,0.3530054999999999,0.3797669999999999
Flan_1565,1564794,1564794,117406044,1,,,,0.3809565,0.4561659999999999
G2_circuit,150102,150102,726674,1,1.801675,1.88025,1.713015,1.748,1.876875
G3_circuit,1585478,1585478,7660826,1,0.3647775,0.378338,0.361283,0.3740925,0.396104
GAP-road,23947347,23947347,57708624,1,0.2564695,0.2455715,0.25058,0.2637545,0.2248865
G_n_pin_pout,100000,100000,1002396,1,1.2057600000000002,1.197425,1.216605,1.257725,1.22574
Ga10As10H30,113081,113081,6115633,1,0.510544,0.550522,0.5370225,0.5442295,0.5421450000000001
Ga19As19H42,133123,133123,8884839,1,0.4660005,0.4748485,0.530395,0.4611349999999999,0.456353
Ga3As3H12,61349,61349,5970947,1,0.5659325,0.5661365,0.5678350000000001,0.5879354999999999,0.5573224999999999
Ga41As41H72,268096,268096,18488476,1,0.4021975,0.4033315,0.396217,0.388483,0.4258075
GaAsH6,61349,61349,3381809,1,0.941469,0.92009,0.949941,0.9270365,0.929062
Ge87H76,112985,112985,7892195,1,0.470717,0.490517,0.489384,0.4864509999999999,0.493569
Ge99H100,112985,112985,8451395,1,0.472986,0.4399895,0.481526,0.472157,0.4694954999999999
Geo_1438,1437960,1437960,63156690,1,0.2720154999999999,0.276711,0.271429,0.3221655,0.272528
H2O,67024,67024,2216736,1,1.041995,1.4492349999999998,1.107675,1.44805,1.57076
HTC_336_4438,226340,226340,904522,1,1.544635,1.511825,1.56032,1.224055,1.501505
HTC_336_9129,226340,226340,883422,1,1.57078,1.553135,1.374,1.5105400000000002,1.511235
Hardesty1,938905,938905,12143314,1,0.3910639999999999,0.401178,0.358508,0.3833495,0.392737
Hook_1498,1498023,1498023,60917445,1,0.3707439999999999,0.2933995,0.312521,0.3100525,0.3783805
L-9,17983,17983,71192,1,1.774065,1.7080700000000002,1.741305,1.77354,1.784605
LF10000,19998,19998,99982,1,1.80197,2.0347850000000003,2.02563,2.04198,1.81339
LFAT5000,19994,19994,79966,1,1.85508,1.86262,1.831965,1.854355,1.842895
Lin,256000,256000,1766400,1,1.443455,1.420275,1.334855,1.58683,1.37427
Long_Coup_dt0,1470152,1470152,87088992,1,0.376179,0.3014664999999999,0.3373765,0.295938,0.3768765
NACA0015,1039183,1039183,6229636,1,0.3823125,0.376472,0.340043,0.381336,0.3612205
NLR,4163763,4163763,24975952,1,0.3591425,0.43178,0.366928,0.4469729999999999,0.302107
OPF_10000,43887,43887,467711,1,2.072975,2.091595,2.06706,1.548985,2.10603
OPF_3754,15435,15435,158273,1,1.982115,2.0774600000000003,2.063395,1.593295,2.1039950000000003
OPF_6000,29902,29902,302418,1,2.027045,2.07646,1.97999,1.43497,2.09534
Oregon-1,11492,11492,46818,1,0.6301475,0.637548,0.637561,1.10466,0.6194085
Oregon-2,11806,11806,65460,1,0.7641485,0.76362,0.7724555,1.169315,0.7525425
PFlow_742,742793,742793,37138461,1,0.4936965,0.492399,0.3734295,0.416055,0.498387
PGPgiantcompo,10680,10680,48632,1,0.6832115000000001,0.675678,0.6790069999999999,0.7443885,0.6783685
Pres_Poisson,14822,14822,715804,1,1.962885,1.98638,1.955805,1.985495,1.94303
Queen_4147,4147110,4147110,329499284,1,,,,0.3105569999999999,0.3739295
Serena,1391349,1391349,64531701,1,0.3256615,0.31673,0.356173,0.3278379999999999,
Si10H16,17077,17077,875923,1,1.697225,1.69237,,1.68331,1.697715
Si34H36,97569,97569,5156379,1,0.614143,0.6225315,0.618739,0.6085499999999999,0.611429
Si41Ge41H72,185639,185639,15011265,1,0.424855,0.4268555,0.39678,0.4332384999999999,0.4153664999999999
Si5H12,19896,19896,738598,1,1.879575,1.872645,1.83116,1.8005399999999998,1.863395
Si87H76,240369,240369,10661631,1,0.425781,0.4319945,0.4261375,0.440685,0.4309105
SiO,33401,33401,1317655,1,1.7271450000000002,1.812605,1.75573,1.762295,1.782495
SiO2,155331,155331,11283503,1,0.449191,0.427401,0.4351,0.4358335,0.419111
StocF-1465,1465137,1465137,21005389,1,0.378722,0.3741365,0.3551215,0.3683785,0.374218
