matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.7583799999999998,1.76635,1.74158,1.79435,1.47614
2cubes_sphere,101492,101492,1647264,1,2.08716,1.95348,2.0438,2.145885,2.022155
333SP,3712815,3712815,22217266,1,1.179185,1.184735,1.19791,1.389115,0.979314
3dtube,45330,45330,3213618,1,2.11255,2.072975,2.109015,2.0782,2.13903
598a,110971,110971,1483868,1,1.68926,1.694815,1.694595,1.72584,1.523815
ACTIVSg70K,69999,69999,238627,1,0.607118,0.624509,0.627451,0.613676,0.6320935000000001
AS365,3799275,3799275,22736152,1,0.9242805,0.9588235,0.9902505,1.141165,0.421788
Andrews,60000,60000,760154,1,1.670265,1.6755650000000002,1.674575,1.688205,1.478535
BenElechi1,245874,245874,13150496,1,2.33896,2.34768,2.3331,2.34741,2.346675
Bump_2911,2911419,2911419,127729899,1,,,,2.335105,2.345985
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.385205,2.380605
CurlCurl_0,11083,11083,113343,1,2.28213,2.0894,2.089785,2.122825,
CurlCurl_1,226451,226451,2472071,1,2.396045,2.3339350000000003,2.329105,2.373195,2.496975
CurlCurl_2,806529,806529,8921789,1,2.26162,2.211345,2.168015,2.30946,2.42567
CurlCurl_3,1219574,1219574,13544618,1,2.23304,2.1837150000000003,2.13282,2.3318250000000003,2.3794500000000003
CurlCurl_4,2380515,2380515,26515867,1,2.195585,2.12447,2.15789,2.36394,2.482365
Dubcova1,16129,16129,253009,1,2.399315,2.5096,,2.388535,2.6740950000000003
Dubcova2,65025,65025,1030225,1,2.788455,2.784465,2.69353,2.766025,2.45592
Dubcova3,146689,146689,3636649,1,2.548585,2.514085,2.51371,2.4491,2.50623
Emilia_923,923136,923136,41005206,1,2.296985,2.28531,2.26287,2.374765,2.35888
F1,343791,343791,26837113,1,1.938905,1.99522,1.99032,2.03339,1.69697
F2,71505,71505,5294285,1,2.00657,2.01646,2.005865,2.045965,1.96023
Fault_639,638802,638802,28614564,1,2.175345,2.174915,2.18454,2.241785,2.201065
Flan_1565,1564794,1564794,117406044,1,,,,2.0989000000000004,2.10022
G2_circuit,150102,150102,726674,1,2.062435,2.030105,2.0650500000000003,2.04087,2.06587
G3_circuit,1585478,1585478,7660826,1,1.81771,1.776735,1.740495,1.980925,1.6098599999999998
GAP-road,23947347,23947347,57708624,1,0.5205705,0.5195855,0.5172875,0.548365,0.439808
G_n_pin_pout,100000,100000,1002396,1,1.37011,1.36909,1.33527,1.39634,0.4285105
Ga10As10H30,113081,113081,6115633,1,1.98057,1.961465,1.952065,1.954085,1.990925
Ga19As19H42,133123,133123,8884839,1,1.93949,1.91963,1.90377,1.916575,1.94831
Ga3As3H12,61349,61349,5970947,1,1.870035,1.86339,1.85672,1.88671,1.86548
Ga41As41H72,268096,268096,18488476,1,1.92461,1.915475,1.90626,1.928825,1.945835
GaAsH6,61349,61349,3381809,1,2.011575,2.044125,1.934105,2.01765,2.01717
Ge87H76,112985,112985,7892195,1,1.933285,1.92683,1.9182,1.928675,1.940865
