matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,12.3493,12.39615,12.16715,12.82675,10.71785
2cubes_sphere,101492,101492,1647264,1,13.948250000000002,14.60365,14.25485,15.7764,13.37275
333SP,3712815,3712815,22217266,1,4.319295,4.33559,4.46365,2.97744,3.7926
3dtube,45330,45330,3213618,1,17.92,17.6107,18.25725,17.7268,17.90285
598a,110971,110971,1483868,1,10.86245,11.6897,11.70345,12.4459,8.63512
ACTIVSg70K,69999,69999,238627,1,5.423945,5.415305,5.399984999999999,5.425495,5.475585000000001
AS365,3799275,3799275,22736152,1,4.27574,4.521865,4.71683,4.871265,2.35349
Andrews,60000,60000,760154,1,10.4617,10.8842,10.6181,11.4935,9.95286
BenElechi1,245874,245874,13150496,1,5.882175,5.726825,6.336259999999999,5.18741,6.394475
Bump_2911,2911419,2911419,127729899,1,,,,6.318095,6.296855
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,3.72708,5.76815
CurlCurl_0,11083,11083,113343,1,13.29935,13.07265,12.17075,13.87355,
CurlCurl_1,226451,226451,2472071,1,17.0855,17.42085,16.7622,17.596600000000002,18.7689
CurlCurl_2,806529,806529,8921789,1,4.1395800000000005,5.276385,5.468515,5.276535,4.332525
CurlCurl_3,1219574,1219574,13544618,1,5.2716650000000005,5.332915,5.284605,5.24573,5.2565550000000005
CurlCurl_4,2380515,2380515,26515867,1,5.09484,5.054819999999999,5.103695,5.51194,5.519715
Dubcova1,16129,16129,253009,1,16.07685,16.6673,,18.34055,11.0531
Dubcova2,65025,65025,1030225,1,19.06505,19.80335,19.77485,20.42965,11.7027
Dubcova3,146689,146689,3636649,1,17.5484,19.14735,18.8607,19.0942,8.334305
Emilia_923,923136,923136,41005206,1,6.17272,6.091985,6.169225,6.1768350000000005,6.4562550000000005
F1,343791,343791,26837113,1,6.252715,6.298825,6.18859,6.351145000000001,5.7001
F2,71505,71505,5294285,1,8.39482,10.1352,10.1088,9.82237,7.850855
Fault_639,638802,638802,28614564,1,6.02727,5.981255,6.179475,6.3695900000000005,6.335050000000001
Flan_1565,1564794,1564794,117406044,1,,,,6.536975,6.637315
G2_circuit,150102,150102,726674,1,14.2025,15.7145,15.69905,15.8992,16.4545
G3_circuit,1585478,1585478,7660826,1,4.523759999999999,4.497389999999999,4.425725,4.491709999999999,4.310795
GAP-road,23947347,23947347,57708624,1,3.321235,3.04022,3.04603,3.394365,2.52502
G_n_pin_pout,100000,100000,1002396,1,8.84508,8.95094,8.488575,8.898285000000001,7.320275
Ga10As10H30,113081,113081,6115633,1,6.8879,6.69081,7.981204999999999,6.614240000000001,8.277280000000001
Ga19As19H42,133123,133123,8884839,1,6.0264500000000005,5.985345,5.796139999999999,6.62365,6.64833
Ga3As3H12,61349,61349,5970947,1,5.82937,6.924250000000001,6.1919450000000005,6.134195,7.45623
Ga41As41H72,268096,268096,18488476,1,5.957075,5.471425,5.88028,6.28392,5.940535000000001
GaAsH6,61349,61349,3381809,1,7.014234999999999,6.958785,10.9453,4.8133,8.62096
Ge87H76,112985,112985,7892195,1,6.355065,5.712925,6.3945050000000005,6.610105,6.48907
Ge99H100,112985,112985,8451395,1,6.57504,6.12621,6.364974999999999,4.15482,6.542915000000001
Geo_1438,1437960,1437960,63156690,1,4.246315,5.937635,6.23026,6.2912300000000005,6.44095
H2O,67024,67024,2216736,1,18.0578,18.15665,17.8913,18.58195,18.22895
HTC_336_4438,226340,226340,904522,1,11.08135,12.07915,11.2871,9.380265,8.285184999999998
HTC_336_9129,226340,226340,883422,1,6.604150000000001,12.12415,11.7141,9.421865,8.313845
Hardesty1,938905,938905,12143314,1,5.601850000000001,5.51395,5.486045,5.599835,5.773325
Hook_1498,1498023,1498023,60917445,1,6.180255000000001,6.125605,6.069649999999999,6.021625,6.437745
L-9,17983,17983,71192,1,11.925,11.09765,9.210105,12.67535,12.62935
LF10000,19998,19998,99982,1,15.79505,15.10945,15.1432,15.4651,15.37595
LFAT5000,19994,19994,79966,1,13.2777,11.7944,12.31305,12.8771,12.44655
Lin,256000,256000,1766400,1,16.05715,17.73395,16.0752,16.57535,17.5774
Long_Coup_dt0,1470152,1470152,87088992,1,6.142440000000001,6.02702,6.19082,6.2856950000000005,6.287050000000001
NACA0015,1039183,1039183,6229636,1,4.67756,4.7228650000000005,4.903404999999999,4.95701,4.041455
NLR,4163763,4163763,24975952,1,4.47322,4.5425450000000005,4.515515000000001,4.793505,1.87792
OPF_10000,43887,43887,467711,1,16.44115,17.35765,17.138550000000002,14.40635,8.564565000000002
OPF_3754,15435,15435,158273,1,14.63475,15.756,15.37765,13.653,8.556325000000001
OPF_6000,29902,29902,302418,1,16.307299999999998,16.43795,16.6712,13.3076,8.33211
Oregon-1,11492,11492,46818,1,5.3231,6.23797,3.955085,3.99813,3.903105
Oregon-2,11806,11806,65460,1,5.633365,5.19627,4.8158650000000005,3.56929,4.55693
PFlow_742,742793,742793,37138461,1,6.08783,5.982255,6.260615,6.258789999999999,4.850445
PGPgiantcompo,10680,10680,48632,1,6.766215,6.569675,6.011340000000001,5.537380000000001,5.14345
Pres_Poisson,14822,14822,715804,1,19.29905,19.3918,19.33925,16.79995,19.0741
Queen_4147,4147110,4147110,329499284,1,,,,6.414125,6.30997
Serena,1391349,1391349,64531701,1,6.103655,5.502689999999999,6.085535,6.26255,
Si10H16,17077,17077,875923,1,12.25615,11.55605,,10.11745,10.92955
Si34H36,97569,97569,5156379,1,9.00416,8.43216,8.549344999999999,9.194064999999998,8.949285
Si41Ge41H72,185639,185639,15011265,1,6.036135,6.053515,6.14948,4.05898,6.190325
Si5H12,19896,19896,738598,1,10.465800000000002,10.40095,9.819425,10.0486,12.22325
Si87H76,240369,240369,10661631,1,5.91329,6.1371400000000005,6.012065,6.183975,6.241110000000001
SiO,33401,33401,1317655,1,9.46213,7.845115,8.041435,7.94061,10.55685
SiO2,155331,155331,11283503,1,3.494635,3.46286,5.424720000000001,3.63726,4.646915
StocF-1465,1465137,1465137,21005389,1,5.388095,5.285145,5.37701,5.7976600000000005,5.694105
TEM152078,152078,152078,6459326,1,7.124935000000001,7.60396,7.162739999999999,7.738515,7.20341
TEM181302,181302,181302,7839010,1,6.523645,6.6335,6.934455,6.67939,6.496635
TEM27623,27623,27623,439469,1,14.18435,13.9225,13.7354,14.515899999999998,13.8688
TSOPF_FS_b162_c1,10798,10798,608540,1,9.800435,12.3174,7.19247,6.492255,5.79338
TSOPF_FS_b162_c3,30798,30798,1801300,1,15.12765,8.488825,7.192315,6.4575700000000005,5.4304
TSOPF_FS_b162_c4,40798,40798,2398220,1,11.5994,7.129765,7.19717,6.373705,5.360135
TSOPF_FS_b300,29214,29214,4400122,1,7.066979999999999,8.024249999999999,7.024685,5.524705,5.40807
TSOPF_FS_b300_c1,29214,29214,4400122,1,8.40606,8.007285,7.133155,5.44595,5.364405
TSOPF_FS_b300_c2,56814,56814,8767466,1,6.434645,5.294585,4.90255,5.514385,4.843145
