matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,22.91775,22.3404,22.97965,23.5336,19.51585
2cubes_sphere,101492,101492,1647264,1,26.0232,26.2018,26.33795,27.20845,25.4244
333SP,3712815,3712815,22217266,1,4.73929,4.403835,5.017615,4.724545,4.561475
3dtube,45330,45330,3213618,1,24.00975,24.4471,25.97505,26.5922,25.4371
598a,110971,110971,1483868,1,21.91905,21.9634,20.59045,22.08135,18.0166
ACTIVSg70K,69999,69999,238627,1,8.218985,8.583639999999999,8.60016,8.60817,8.424610000000001
AS365,3799275,3799275,22736152,1,4.811030000000001,4.657170000000001,4.8309750000000005,4.928459999999999,4.351495
Andrews,60000,60000,760154,1,20.6366,20.12455,20.6318,20.80005,20.12345
BenElechi1,245874,245874,13150496,1,5.16345,5.140635,5.6403300000000005,5.17897,5.402885
Bump_2911,2911419,2911419,127729899,1,,,,5.65699,5.357815
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,5.64733,5.35499
CurlCurl_0,11083,11083,113343,1,15.4335,11.8137,15.30845,15.0718,
CurlCurl_1,226451,226451,2472071,1,27.43495,28.457,26.91205,30.3099,28.8908
CurlCurl_2,806529,806529,8921789,1,5.712655,5.07932,5.442545,4.47309,5.93583
CurlCurl_3,1219574,1219574,13544618,1,5.486924999999999,5.27037,5.368130000000001,5.269905,5.294420000000001
CurlCurl_4,2380515,2380515,26515867,1,4.899455,4.817645,5.096439999999999,4.840434999999999,5.07803
Dubcova1,16129,16129,253009,1,21.8686,22.8736,,23.83115,15.52965
Dubcova2,65025,65025,1030225,1,31.2902,32.17265,31.91735,33.685199999999995,17.57385
Dubcova3,146689,146689,3636649,1,22.8946,22.96455,18.62445,15.8544,9.846685
Emilia_923,923136,923136,41005206,1,5.10074,5.17964,5.001185,5.414455,5.084815
F1,343791,343791,26837113,1,5.145175,4.9678450000000005,5.0469100000000005,5.002105,2.855455
F2,71505,71505,5294285,1,9.10038,9.6116,9.054555,8.367425,3.80151
Fault_639,638802,638802,28614564,1,5.173114999999999,5.246205,5.1706900000000005,4.658015000000001,5.00434
Flan_1565,1564794,1564794,117406044,1,,,,5.204975,5.41166
G2_circuit,150102,150102,726674,1,22.88815,22.7464,22.9775,23.9366,21.87315
G3_circuit,1585478,1585478,7660826,1,5.038444999999999,5.646385,4.890285,5.1745,5.08087
GAP-road,23947347,23947347,57708624,1,3.93297,3.41576,3.466915,4.26961,3.046735
