matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,2.13479,2.12142,2.137765,2.133575,2.042505
2cubes_sphere,101492,101492,1647264,1,2.581025,2.511645,2.518295,2.680015,2.49173
333SP,3712815,3712815,22217266,1,1.6397,1.651565,1.648725,1.74958,1.38015
3dtube,45330,45330,3213618,1,2.481265,2.450915,2.42559,2.440535,2.480295
598a,110971,110971,1483868,1,2.1371200000000004,2.112635,2.1370050000000003,2.12724,1.96407
ACTIVSg70K,69999,69999,238627,1,0.8594575,0.8583335,0.8561105,0.8288519999999999,0.8761175
AS365,3799275,3799275,22736152,1,1.330685,1.364595,1.35851,1.4443899999999998,0.7281569999999999
Andrews,60000,60000,760154,1,2.0350900000000003,2.053925,2.056055,2.07361,2.020495
BenElechi1,245874,245874,13150496,1,2.59673,2.6011100000000003,2.594245,2.5995350000000004,2.599745
Bump_2911,2911419,2911419,127729899,1,,,,2.551985,2.548315
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.53864,2.529665
CurlCurl_0,11083,11083,113343,1,3.000775,2.7476450000000003,2.744635,2.866345,
CurlCurl_1,226451,226451,2472071,1,2.999725,2.945705,2.97752,2.972245,3.1235150000000003
CurlCurl_2,806529,806529,8921789,1,2.89259,2.889,2.851405,2.94232,3.074135
CurlCurl_3,1219574,1219574,13544618,1,2.889175,2.88381,2.826935,2.93053,3.07316
CurlCurl_4,2380515,2380515,26515867,1,2.858985,2.83561,2.798565,2.918765,3.05261
Dubcova1,16129,16129,253009,1,3.34781,3.34065,,3.30794,3.363885
Dubcova2,65025,65025,1030225,1,3.421265,3.430985,3.418725,3.31337,3.3561
Dubcova3,146689,146689,3636649,1,2.9764150000000003,2.995435,2.955655,2.896885,2.97701
Emilia_923,923136,923136,41005206,1,2.5452450000000004,2.565745,2.558025,2.55962,2.567865
F1,343791,343791,26837113,1,2.281045,2.2900850000000004,2.27109,2.3094200000000003,2.2330300000000003
F2,71505,71505,5294285,1,2.32151,2.33332,2.32071,2.33452,2.297835
Fault_639,638802,638802,28614564,1,2.53191,2.527365,2.526495,2.5388650000000004,2.53726
Flan_1565,1564794,1564794,117406044,1,,,,2.408105,2.40537
G2_circuit,150102,150102,726674,1,2.942995,2.932675,2.936825,2.959535,3.056165
G3_circuit,1585478,1585478,7660826,1,2.5179150000000003,2.571315,2.551365,2.66553,2.603055
GAP-road,23947347,23947347,57708624,1,0.698523,0.6954944999999999,0.7031594999999999,0.7174309999999999,0.6722115
G_n_pin_pout,100000,100000,1002396,1,1.707595,1.688435,1.70541,1.7783950000000002,1.7247599999999998
Ga10As10H30,113081,113081,6115633,1,2.26072,2.277925,2.2471300000000003,2.25794,2.280085
Ga19As19H42,133123,133123,8884839,1,2.164325,2.164335,2.145825,2.13578,2.17136
Ga3As3H12,61349,61349,5970947,1,1.99781,2.005415,1.990325,1.98849,1.991655
Ga41As41H72,268096,268096,18488476,1,2.147625,2.1535900000000003,2.131565,2.12932,2.153865
GaAsH6,61349,61349,3381809,1,2.2238100000000003,2.2412,2.212465,2.227745,2.24202
Ge87H76,112985,112985,7892195,1,2.15353,2.166615,2.142035,2.138875,2.170045
Ge99H100,112985,112985,8451395,1,2.13817,2.140915,2.11476,2.114235,2.13453
Geo_1438,1437960,1437960,63156690,1,2.555305,2.561955,2.56214,2.56955,2.56558
H2O,67024,67024,2216736,1,2.819535,2.806535,2.7394350000000003,2.7883500000000003,2.8215700000000004
HTC_336_4438,226340,226340,904522,1,2.57435,2.562645,2.52854,2.57467,2.62452
