matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,34.04345,50.53085,49.6567,62.7061,18.8512
2cubes_sphere,101492,101492,1647264,1,46.7669,43.662,45.7072,66.59645,35.249
333SP,3712815,3712815,22217266,1,52.7338,43.73225,50.75885,50.1821,12.19125
3dtube,45330,45330,3213618,1,87.129,81.91125,83.6466,90.54105,83.13175
598a,110971,110971,1483868,1,32.2048,41.44745,43.05355,54.06725,15.94845
ACTIVSg70K,69999,69999,238627,1,16.185699999999997,16.5455,16.64395,18.09805,13.59805
AS365,3799275,3799275,22736152,1,49.709,45.63164999999999,36.13195,22.97435,6.124375000000001
Andrews,60000,60000,760154,1,18.85765,21.1217,21.870600000000003,21.83315,14.1865
BenElechi1,245874,245874,13150496,1,134.85250000000002,46.95375,136.11849999999998,89.69534999999999,142.5575
Bump_2911,2911419,2911419,127729899,1,,,,15.12855,15.1138
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,15.25675,15.3532
CurlCurl_0,11083,11083,113343,1,10.1594,10.24015,9.57516,11.47335,
CurlCurl_1,226451,226451,2472071,1,48.5647,58.45625,54.34915,93.03655,64.70830000000001
CurlCurl_2,806529,806529,8921789,1,76.35589999999999,92.65495,90.78465,120.253,98.19625
CurlCurl_3,1219574,1219574,13544618,1,78.49940000000001,94.9713,75.92885,51.44375,126.007
CurlCurl_4,2380515,2380515,26515867,1,36.9976,38.96795,29.00685,30.689300000000003,14.02165
Dubcova1,16129,16129,253009,1,17.33485,19.70905,,22.06935,14.9501
Dubcova2,65025,65025,1030225,1,41.06005,55.74585,51.03605,65.56645,20.3191
Dubcova3,146689,146689,3636649,1,82.1003,97.496,88.28055,111.871,36.2261
Emilia_923,923136,923136,41005206,1,19.60975,22.39925,17.850250000000003,23.733600000000003,24.06105
F1,343791,343791,26837113,1,61.238,85.31215,26.3748,19.46315,21.31315
F2,71505,71505,5294285,1,71.4459,86.64245,37.4686,94.952,35.5073
Fault_639,638802,638802,28614564,1,65.93440000000001,36.10535,47.8025,35.8447,39.1634
Flan_1565,1564794,1564794,117406044,1,,,,15.5436,15.5694
G2_circuit,150102,150102,726674,1,24.1781,31.11135,29.34845,44.762550000000005,25.7807
G3_circuit,1585478,1585478,7660826,1,30.6906,71.18424999999999,84.65365,108.517,34.3741
GAP-road,23947347,23947347,57708624,1,8.11933,7.914835,7.92238,8.145325,6.68053
G_n_pin_pout,100000,100000,1002396,1,12.4349,11.9119,12.2266,14.02445,11.31355
Ga10As10H30,113081,113081,6115633,1,28.5164,43.3375,36.52315,34.108850000000004,59.80505
Ga19As19H42,133123,133123,8884839,1,30.5906,43.14525,32.00775,38.4106,57.72435
Ga3As3H12,61349,61349,5970947,1,16.9283,14.71415,19.81795,14.4594,40.9107
Ga41As41H72,268096,268096,18488476,1,44.1549,45.8241,20.09345,28.60805,20.6714
GaAsH6,61349,61349,3381809,1,14.27525,9.50963,27.97865,10.2853,31.3377
Ge87H76,112985,112985,7892195,1,27.74515,44.05305,39.97025,30.962,65.31385
Ge99H100,112985,112985,8451395,1,42.4282,48.8365,48.7531,27.57215,33.413250000000005
Geo_1438,1437960,1437960,63156690,1,15.5571,15.2279,16.564999999999998,15.59325,15.8456
H2O,67024,67024,2216736,1,60.8968,72.40925,52.81915,68.58765,54.83285
HTC_336_4438,226340,226340,904522,1,20.7942,24.6561,25.60165,20.16075,15.66685
HTC_336_9129,226340,226340,883422,1,21.04225,25.11395,25.0419,19.50775,15.16775
Hardesty1,938905,938905,12143314,1,129.04000000000002,87.1211,136.40550000000002,154.0205,148.3835
Hook_1498,1498023,1498023,60917445,1,15.7539,16.298650000000002,16.30175,15.4736,15.82315
L-9,17983,17983,71192,1,6.523625,6.345665,5.95601,7.066554999999999,7.007445
LF10000,19998,19998,99982,1,10.58595,10.14125,10.2088,10.2451,10.06945
LFAT5000,19994,19994,79966,1,8.055810000000001,8.303265,8.333395,8.14221,8.339839999999999
Lin,256000,256000,1766400,1,33.377750000000006,35.180800000000005,35.47095,78.7756,61.0365
Long_Coup_dt0,1470152,1470152,87088992,1,15.296,15.15335,15.18395,15.414549999999998,15.35735
NACA0015,1039183,1039183,6229636,1,43.6917,48.8434,51.7329,65.1472,8.565439999999999
NLR,4163763,4163763,24975952,1,27.95335,29.3604,26.81565,24.67575,5.93799
OPF_10000,43887,43887,467711,1,32.9612,34.83095,34.5015,34.9283,14.59445
OPF_3754,15435,15435,158273,1,14.61665,14.69975,14.67145,14.5996,9.77932
OPF_6000,29902,29902,302418,1,23.9743,24.2684,24.66015,24.4102,13.1071
Oregon-1,11492,11492,46818,1,3.22875,3.116315,2.5197000000000003,3.172385,3.05104
Oregon-2,11806,11806,65460,1,4.00642,4.057980000000001,3.49848,3.11864,3.98315
PFlow_742,742793,742793,37138461,1,23.57175,24.77035,27.27455,22.36725,22.8578
PGPgiantcompo,10680,10680,48632,1,4.1169150000000005,4.088485,4.113424999999999,4.345495,3.39254
Pres_Poisson,14822,14822,715804,1,48.1019,48.4032,46.4892,52.14795,48.289
Queen_4147,4147110,4147110,329499284,1,,,,15.5239,15.547
Serena,1391349,1391349,64531701,1,15.3771,15.53175,15.35275,15.474799999999998,
