matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.856935,1.88893,1.853095,1.863145,1.799555
2cubes_sphere,101492,101492,1647264,1,2.16437,2.19214,2.170215,2.2755,2.19031
333SP,3712815,3712815,22217266,1,1.50949,1.5371,1.52127,1.739815,1.20951
3dtube,45330,45330,3213618,1,2.43789,2.47597,2.526895,2.4564950000000003,2.49721
598a,110971,110971,1483868,1,1.805515,1.794155,1.804915,1.8522,1.778125
ACTIVSg70K,69999,69999,238627,1,0.822173,0.8223294999999999,0.8282155,0.7842695,0.8328415
AS365,3799275,3799275,22736152,1,1.217645,1.298145,1.263175,1.5093,0.446712
Andrews,60000,60000,760154,1,1.75401,1.75743,1.75037,1.80311,1.7440600000000002
BenElechi1,245874,245874,13150496,1,2.777375,2.778645,2.75334,2.79888,2.818775
Bump_2911,2911419,2911419,127729899,1,,,,2.69289,2.6840650000000004
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.789085,2.7525500000000003
CurlCurl_0,11083,11083,113343,1,2.60917,2.40743,2.309575,2.330835,
CurlCurl_1,226451,226451,2472071,1,2.59528,2.584995,2.535515,2.499035,2.692775
CurlCurl_2,806529,806529,8921789,1,2.5325800000000003,2.488375,2.40178,2.58425,2.6802
CurlCurl_3,1219574,1219574,13544618,1,2.496405,2.4602500000000003,2.374865,2.47677,2.66681
CurlCurl_4,2380515,2380515,26515867,1,2.4683200000000003,2.319205,2.402765,2.60736,2.706845
Dubcova1,16129,16129,253009,1,2.898385,2.88065,,2.92645,2.91216
Dubcova2,65025,65025,1030225,1,3.095965,3.105805,3.09703,3.03191,3.0344100000000003
Dubcova3,146689,146689,3636649,1,2.845705,2.868465,2.8323850000000004,2.72688,2.786415
Emilia_923,923136,923136,41005206,1,2.721575,2.689105,2.690015,2.74437,2.77577
F1,343791,343791,26837113,1,2.380165,2.36515,2.33828,2.40356,2.34959
F2,71505,71505,5294285,1,2.39346,2.400035,2.3953100000000003,2.403145,2.39581
Fault_639,638802,638802,28614564,1,2.4889,2.45304,2.45601,2.55212,2.57873
Flan_1565,1564794,1564794,117406044,1,,,,2.723465,2.74804
G2_circuit,150102,150102,726674,1,2.50474,2.482965,2.492055,2.389555,2.606005
G3_circuit,1585478,1585478,7660826,1,2.221015,2.226595,2.152905,2.30749,2.31614
GAP-road,23947347,23947347,57708624,1,0.7006285,0.6993015,0.698869,0.7474555,0.5782545
G_n_pin_pout,100000,100000,1002396,1,1.539855,1.58652,1.548355,1.563545,1.4771299999999998
Ga10As10H30,113081,113081,6115633,1,2.311015,2.279285,2.260555,2.37231,2.32005
Ga19As19H42,133123,133123,8884839,1,2.30814,2.27871,2.27706,2.30133,2.325205
Ga3As3H12,61349,61349,5970947,1,2.318385,2.2941000000000003,2.29424,2.3245250000000004,2.320935
Ga41As41H72,268096,268096,18488476,1,2.312955,2.315455,2.25149,2.361745,2.314845
GaAsH6,61349,61349,3381809,1,2.3383450000000003,2.45683,2.254935,2.424105,2.32452
Ge87H76,112985,112985,7892195,1,2.309835,2.3109900000000003,2.29855,2.365435,2.322985
Ge99H100,112985,112985,8451395,1,2.32104,2.305705,2.3094,2.380325,2.3146750000000003
Geo_1438,1437960,1437960,63156690,1,2.630325,2.66298,2.661365,2.74831,2.73553
H2O,67024,67024,2216736,1,2.68233,2.662805,2.66296,2.66592,2.682915
HTC_336_4438,226340,226340,904522,1,2.04128,2.061025,2.0698600000000003,2.164265,2.05507
HTC_336_9129,226340,226340,883422,1,1.949515,2.00762,2.07444,2.10122,2.0779
Hardesty1,938905,938905,12143314,1,2.469955,2.469845,2.25657,2.87089,2.88967
Hook_1498,1498023,1498023,60917445,1,2.54598,2.4459600000000004,2.56116,2.617365,2.61083
L-9,17983,17983,71192,1,2.43118,2.40611,2.428325,2.432545,2.506775
LF10000,19998,19998,99982,1,2.71746,2.369375,2.638865,2.6689350000000003,2.678665
