matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,23.25245,23.4901,23.6764,23.55945,20.4628
2cubes_sphere,101492,101492,1647264,1,26.0157,26.4537,26.5074,28.191000000000003,26.16425
333SP,3712815,3712815,22217266,1,4.757095,4.16816,5.017485000000001,4.74592,4.711335
3dtube,45330,45330,3213618,1,24.00345,24.6038,26.05,26.4207,25.37715
598a,110971,110971,1483868,1,22.0693,23.3009,21.26525,23.6754,18.61285
ACTIVSg70K,69999,69999,238627,1,8.319355,8.60027,8.62576,8.548045,8.5002
AS365,3799275,3799275,22736152,1,4.82488,4.685105,4.872624999999999,4.84742,4.573955
Andrews,60000,60000,760154,1,20.58225,21.0044,20.63015,21.6117,20.01535
BenElechi1,245874,245874,13150496,1,5.1444,5.135555,5.629325,5.1433,5.397305
Bump_2911,2911419,2911419,127729899,1,,,,5.66698,5.365175000000001
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,5.655935,5.36595
CurlCurl_0,11083,11083,113343,1,15.53025,11.454,15.16875,15.4657,
CurlCurl_1,226451,226451,2472071,1,27.8104,28.9521,27.9315,30.4608,29.00175
CurlCurl_2,806529,806529,8921789,1,5.575115,5.036555,5.35168,4.448,5.83983
CurlCurl_3,1219574,1219574,13544618,1,5.4131800000000005,5.184255,5.305365,5.280535,5.300685
CurlCurl_4,2380515,2380515,26515867,1,4.852825,4.82246,5.03661,4.845135,5.069635
Dubcova1,16129,16129,253009,1,22.0707,23.5147,,23.7625,15.72195
Dubcova2,65025,65025,1030225,1,31.604750000000003,33.0164,32.616,33.60395,18.09465
Dubcova3,146689,146689,3636649,1,22.91675,23.51515,18.96945,16.13185,9.92192
Emilia_923,923136,923136,41005206,1,5.0988500000000005,5.1553,4.9923,5.413725,5.089214999999999
F1,343791,343791,26837113,1,5.15254,4.951085,5.0568550000000005,5.004194999999999,2.868465
F2,71505,71505,5294285,1,9.285495,9.678745,9.13929,8.411355,3.982765
Fault_639,638802,638802,28614564,1,5.162315,5.228135,5.168945,4.658925,5.01789
Flan_1565,1564794,1564794,117406044,1,,,,5.20397,5.4073150000000005
G2_circuit,150102,150102,726674,1,23.1368,23.71095,23.473,23.73975,23.144350000000003
G3_circuit,1585478,1585478,7660826,1,4.844785,5.421495,4.673975,5.043950000000001,4.912205
GAP-road,23947347,23947347,57708624,1,3.92172,3.38415,3.47306,4.258845,3.072315
G_n_pin_pout,100000,100000,1002396,1,17.918300000000002,18.17135,17.967599999999997,19.0535,18.39635
Ga10As10H30,113081,113081,6115633,1,3.166305,4.42482,3.57992,3.27653,5.649274999999999
Ga19As19H42,133123,133123,8884839,1,3.45936,4.040525000000001,3.667575,4.104375,4.1215
Ga3As3H12,61349,61349,5970947,1,1.5527799999999998,3.082215,3.176285,2.19498,5.262205
Ga41As41H72,268096,268096,18488476,1,3.4994750000000003,3.401945,3.45402,3.275665,4.18133
GaAsH6,61349,61349,3381809,1,9.5145,5.06374,10.54215,5.3536,13.88105
Ge87H76,112985,112985,7892195,1,2.897815,3.89164,4.505275,2.68196,4.89052
Ge99H100,112985,112985,8451395,1,3.65087,4.313225,4.62913,2.7138400000000003,4.73526
Geo_1438,1437960,1437960,63156690,1,4.40346,4.425135,4.418955,4.42351,4.41522
H2O,67024,67024,2216736,1,15.7308,29.6092,14.114999999999998,28.63135,27.1971
HTC_336_4438,226340,226340,904522,1,14.49485,17.6133,15.1916,11.2836,10.7026
HTC_336_9129,226340,226340,883422,1,11.266100000000002,17.12495,16.26065,11.13245,10.88975
Hardesty1,938905,938905,12143314,1,5.401615,5.679385,5.1632750000000005,5.24357,4.9110700000000005
Hook_1498,1498023,1498023,60917445,1,5.089790000000001,4.534875,4.587885,4.64461,5.19322
L-9,17983,17983,71192,1,10.70965,10.22295,10.85055,11.5399,11.6222
LF10000,19998,19998,99982,1,15.3258,15.37845,15.2337,15.01465,12.73705
LFAT5000,19994,19994,79966,1,12.4653,12.07865,10.4164,13.0398,10.3584
Lin,256000,256000,1766400,1,24.8992,25.65745,25.81505,29.31105,28.21155
Long_Coup_dt0,1470152,1470152,87088992,1,5.178615000000001,4.560594999999999,4.408659999999999,4.5647850000000005,5.15241
NACA0015,1039183,1039183,6229636,1,5.85966,5.312525000000001,4.808025,5.60952,5.359355000000001
NLR,4163763,4163763,24975952,1,4.77244,5.0619250000000005,4.77884,5.26495,4.61632
OPF_10000,43887,43887,467711,1,26.7834,28.40285,28.0036,22.73285,13.0937
OPF_3754,15435,15435,158273,1,18.7722,20.20725,19.2068,15.21435,11.66415
OPF_6000,29902,29902,302418,1,24.66855,24.69365,24.54,19.1383,12.5299
Oregon-1,11492,11492,46818,1,3.70785,6.516220000000001,2.898775,3.820865,4.58118
Oregon-2,11806,11806,65460,1,5.511035,5.48582,4.507475,2.96219,5.735545
PFlow_742,742793,742793,37138461,1,5.04588,5.40594,4.708425,4.77377,4.81734
PGPgiantcompo,10680,10680,48632,1,6.584155,6.601075,6.32184,5.6077200000000005,6.303834999999999
Pres_Poisson,14822,14822,715804,1,29.4969,29.746,29.4467,30.18285,29.2604
Queen_4147,4147110,4147110,329499284,1,,,,4.62412,5.22251
Serena,1391349,1391349,64531701,1,4.65334,4.667965000000001,4.7831600000000005,4.66145,
Si10H16,17077,17077,875923,1,13.84645,12.88555,,10.82235,17.06955
Si34H36,97569,97569,5156379,1,4.219545,6.237565,6.236275,5.281905,6.647255
Si41Ge41H72,185639,185639,15011265,1,3.2654300000000003,3.18346,3.5921,3.581625,3.994925
Si5H12,19896,19896,738598,1,17.98805,10.2291,12.93665,10.93005,18.32485
Si87H76,240369,240369,10661631,1,4.435695,4.239495,4.860609999999999,4.402984999999999,4.915685
SiO,33401,33401,1317655,1,11.6189,8.753665000000002,7.986405,6.75235,15.784949999999998
SiO2,155331,155331,11283503,1,0.7057745,0.7190705,2.4926,0.7445235,2.26946
StocF-1465,1465137,1465137,21005389,1,5.091419999999999,5.13248,5.011775,4.671915,5.000735000000001
TEM152078,152078,152078,6459326,1,6.415355,6.454879999999999,6.281965,7.94172,6.197425
TEM181302,181302,181302,7839010,1,6.48189,6.531195,5.66141,5.58622,6.331935
TEM27623,27623,27623,439469,1,22.9284,23.15495,22.7221,23.554250000000003,24.1895
TSOPF_FS_b162_c1,10798,10798,608540,1,9.11346,15.901,8.48438,5.368725,5.593365
TSOPF_FS_b162_c3,30798,30798,1801300,1,11.9508,6.637115,5.83376,5.378895,5.072475000000001
TSOPF_FS_b162_c4,40798,40798,2398220,1,14.1972,4.38281,5.6688,4.941195,4.8533
TSOPF_FS_b300,29214,29214,4400122,1,4.023095,4.57397,4.557180000000001,2.333155,2.71849
TSOPF_FS_b300_c1,29214,29214,4400122,1,4.262555,4.267765,4.96331,2.2574500000000004,2.460965
TSOPF_FS_b300_c2,56814,56814,8767466,1,2.758525,2.928555,2.3588050000000003,1.361195,1.43168
TSOPF_FS_b300_c3,84414,84414,13135930,1,3.00035,2.444665,1.614205,1.7298399999999998,1.3088
TSOPF_FS_b39_c19,76216,76216,1977600,1,12.48305,12.5855,6.09475,5.81931,5.24424
TSOPF_FS_b39_c30,120216,120216,3121160,1,11.3119,6.94511,6.03431,4.577624999999999,4.397705
TSOPF_FS_b39_c7,28216,28216,730080,1,20.27775,7.68293,5.99339,5.913005,5.1998
TSOPF_FS_b9_c6,14454,14454,147972,1,10.68475,11.17575,6.217185000000001,6.471665,5.877795
Trefethen_20000,20000,20000,554466,1,23.28055,25.5634,25.78525,25.4314,26.54625
Trefethen_20000b,19999,19999,554435,1,23.46965,25.7591,25.58305,25.4433,26.320300000000003
a0nsdsil,80016,80016,355034,1,7.404415,13.1186,10.3049,11.1179,13.55175
a2nnsnsl,80016,80016,347222,1,7.24791,11.40955,11.3441,14.6981,11.95855
a5esindl,60008,60008,255004,1,7.83681,11.0311,10.02895,9.175775000000002,10.5049
adaptive,6815744,6815744,27248640,1,4.848205,4.498405,4.42506,4.624955,4.36876
af_0_k101,503625,503625,17550675,1,5.21036,5.879955000000001,5.768805,5.252269999999999,5.530185
af_1_k101,503625,503625,17550675,1,5.414645,5.557880000000001,5.525359999999999,5.146255,5.540085
af_2_k101,503625,503625,17550675,1,5.585295,5.660895,5.77207,5.298769999999999,5.13904
af_3_k101,503625,503625,17550675,1,5.1030750000000005,4.897125,5.5329250000000005,5.628865,5.42813
af_4_k101,503625,503625,17550675,1,5.402915,5.28068,4.90409,5.641525,5.171735
af_5_k101,503625,503625,17550675,1,5.369405,5.78157,5.504395,5.41995,5.3146
af_shell1,504855,504855,17588875,1,5.501595,5.39731,5.6775400000000005,5.392670000000001,5.565785
af_shell10,1508065,1508065,52672325,1,4.990505000000001,3.928205,4.891245,5.03934,5.21291
af_shell2,504855,504855,17588875,1,5.50766,5.232514999999999,5.362595,5.09087,5.307115
af_shell3,504855,504855,17588875,1,5.032255,5.340675,5.113335,5.280305,4.955045
af_shell4,504855,504855,17588875,1,5.047935,5.36464,5.154645,5.743675,5.29429
af_shell5,504855,504855,17588875,1,5.114825,5.435919999999999,5.19771,5.50052,4.99175
af_shell6,504855,504855,17588875,1,5.101255,5.10904,5.34036,5.351065,5.065155
af_shell7,504855,504855,17588875,1,4.672420000000001,4.540665000000001,5.476435,4.723015,5.355865
af_shell8,504855,504855,17588875,1,5.31874,5.407445,5.234475,5.397255,5.299530000000001
af_shell9,504855,504855,17588875,1,5.500275,5.500624999999999,5.219875,5.171725,5.42394
ak2010,45292,45292,217098,1,10.4734,10.27165,10.53435,10.7295,10.22345
al2010,252266,252266,1230482,1,11.29275,11.34575,11.3978,11.82515,11.2577
analytics,303813,303813,2006126,1,10.3513,12.32265,11.9977,10.9557,7.47193
apache1,80800,80800,542184,1,21.96525,23.3323,22.38605,27.48055,27.2506
apache2,715176,715176,4817870,1,7.705085,7.510805,8.356335,7.168419999999999,8.785689999999999
ar2010,186211,186211,904310,1,11.3492,11.2949,11.26065,11.62595,11.26475
as-22july06,22963,22963,96872,1,5.472315,7.559735,4.065365,3.209935,3.512655
as-Skitter,1696415,1696415,22190596,1,2.391695,2.9857,2.363655,1.426305,1.50238
asia_osm,11950757,11950757,25423206,1,4.112735,4.02568,3.896665,4.278594999999999,3.76635
astro-ph,16706,16706,242502,1,12.1697,12.3364,9.290105,8.697595,12.53
audikw_1,943695,943695,77651847,1,4.7869600000000005,5.1785,4.89228,4.874855,2.69466
aug2d,29008,29008,76832,1,10.5812,10.06755,8.817335,10.88135,8.96471
aug2dc,30200,30200,80000,1,10.5975,10.55735,8.95889,11.0345,8.96432
aug3d,24300,24300,69984,1,9.20666,9.45545,7.564915,9.803305,7.86294
aug3dcqp,35543,35543,128115,1,13.0926,13.34915,13.9371,14.0531,10.72315
auto,448695,448695,6629222,1,5.81805,6.709645,5.821755,6.092695,4.83378
az2010,241666,241666,1196094,1,11.42555,11.45805,11.44575,12.27745,11.4088
barth5,15606,15606,61484,1,9.17217,9.290435,9.369,8.977735,8.859729999999999
bcsstk17,10974,10974,428650,1,22.2133,23.4604,22.49685,23.24945,23.15525
bcsstk18,11948,11948,149090,1,15.25495,15.45655,15.07165,15.1862,16.54805
bcsstk25,15439,15439,252241,1,18.99225,20.33235,18.4258,19.8952,20.98735
bcsstk29,13992,13992,619488,1,25.0496,25.92705,25.9352,26.30305,26.8545
bcsstk30,28924,28924,2043492,1,24.22105,24.5544,24.73265,24.2192,24.5242
bcsstk31,35588,35588,1181416,1,24.84695,23.57575,24.3929,26.2765,25.775
bcsstk32,44609,44609,2014701,1,25.4777,26.76195,27.14175,28.5047,23.49725
bcsstk35,30237,30237,1450163,1,28.76855,29.11025,,29.5373,28.50095
bcsstk36,23052,23052,1143140,1,28.727,28.703000000000003,28.799,28.633,27.713050000000003
bcsstk37,25503,25503,1140977,1,26.1415,26.51295,27.0366,27.357,27.03815
bcsstk39,46772,46772,2089294,1,32.27045,30.64425,31.83905,32.274100000000004,31.710500000000003
bcsstm25,15439,15439,15439,1,3.12019,2.053125,3.0813300000000003,3.142675,3.042365
bcsstm35,30237,30237,20619,1,2.49167,3.162425,3.474645,2.90823,3.56988
bcsstm36,23052,23052,320606,1,15.2109,16.11045,14.57535,14.41755,21.0753
bcsstm37,25503,25503,15525,1,2.688715,2.742655,2.60844,2.737445,2.7266000000000004
bcsstm39,46772,46772,46772,1,6.260925,6.3424,6.550745,6.387650000000001,6.389889999999999
belgium_osm,1441295,1441295,3099940,1,6.101785,6.031605000000001,6.06762,6.46321,5.06867
bfly,49152,49152,196608,1,14.91705,15.1182,15.98935,16.848599999999998,15.2914
big_dual,30269,30269,89858,1,11.51185,8.5319,,12.31775,11.08085
biplane-9,21701,21701,84076,1,11.4153,11.32495,,11.86975,12.37595
blockqp1,60012,60012,640033,1,13.9464,10.77045,9.58108,4.20657,3.57578
bloweya,30004,30004,150009,1,9.42455,9.602705,9.600755,9.167485,10.82695
bloweybl,30003,30003,120000,1,8.84731,8.292105,8.677254999999999,8.475875,8.287875
bloweybq,10001,10001,69991,1,6.080500000000001,6.04793,,5.922065,6.136235
bmw3_2,227362,227362,11288630,1,5.546514999999999,5.243065,5.618815,5.750535,5.28902
bmw7st_1,141347,141347,7339667,1,6.2963450000000005,6.43508,5.571785,5.877644999999999,6.418975
bmwcra_1,148770,148770,10644002,1,5.765965,5.96833,5.179235,5.6293,5.805635
bodyy4,17546,17546,121938,1,14.51305,15.03655,15.08345,15.23205,15.9377
bodyy5,18589,18589,129281,1,14.93415,15.3537,,15.58105,14.04285
bodyy6,19366,19366,134748,1,15.67245,15.4333,15.68115,15.8369,16.8878
bone010,986703,986703,71666325,1,4.76074,4.868895,4.6435200000000005,4.734395,4.92389
boneS01,127224,127224,6715152,1,7.233965,6.374345,6.98013,7.128325,6.79329
boneS10,914898,914898,55468422,1,4.906695,,4.951325000000001,4.95017,4.97929
boyd1,93279,93279,1211231,1,,8.632535,4.562635,,
boyd2,466316,466316,1500397,1,9.151455,10.10865,6.69223,10.4621,7.930365
brack2,62631,62631,733118,1,20.0049,21.2773,20.91265,20.835050000000003,19.168100000000003
brainpc2,27607,27607,179395,1,6.432425,6.86167,5.117755,6.9205000000000005,5.0800350000000005
