matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.64361,1.77125,1.784165,1.809195,1.412065
2cubes_sphere,101492,101492,1647264,1,2.094695,1.94378,1.94667,2.1523950000000003,2.0337750000000003
333SP,3712815,3712815,22217266,1,1.18132,1.173455,1.1900050000000002,1.39568,0.8582025
3dtube,45330,45330,3213618,1,2.103825,2.07613,2.11523,2.07767,2.118175
598a,110971,110971,1483868,1,1.7005,1.688625,1.70181,1.73453,1.5333549999999998
ACTIVSg70K,69999,69999,238627,1,0.618814,0.6253584999999999,0.6266795000000001,0.6146825,0.6353605
AS365,3799275,3799275,22736152,1,0.9445485,0.9840355,0.974169,1.14229,0.329717
Andrews,60000,60000,760154,1,1.6671900000000002,1.67415,1.667395,1.688345,1.45991
BenElechi1,245874,245874,13150496,1,2.355655,2.36086,2.344115,2.36396,2.367735
Bump_2911,2911419,2911419,127729899,1,,,,2.3365400000000003,2.34853
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.387845,2.38062
CurlCurl_0,11083,11083,113343,1,2.122615,1.948345,1.964065,1.972795,
CurlCurl_1,226451,226451,2472071,1,2.430645,2.3681,2.357475,2.382115,2.52154
CurlCurl_2,806529,806529,8921789,1,2.27139,2.226225,2.1689100000000003,2.33993,2.4543600000000003
CurlCurl_3,1219574,1219574,13544618,1,2.23232,2.192385,2.150395,2.355475,2.434195
CurlCurl_4,2380515,2380515,26515867,1,2.205235,2.1654850000000003,2.1494850000000003,2.38316,2.51946
Dubcova1,16129,16129,253009,1,2.32119,2.475625,,2.34996,2.564255
Dubcova2,65025,65025,1030225,1,2.79687,2.799545,2.71476,2.765285,2.36048
Dubcova3,146689,146689,3636649,1,2.57252,2.5321800000000003,2.51423,2.460685,2.5133
Emilia_923,923136,923136,41005206,1,2.2994250000000003,2.28378,2.27387,2.379275,2.36714
F1,343791,343791,26837113,1,1.953645,2.01538,1.99651,2.046245,1.7006
F2,71505,71505,5294285,1,2.02522,2.022925,2.037475,2.06501,1.961665
Fault_639,638802,638802,28614564,1,2.167935,2.151435,2.186885,2.255845,2.205385
Flan_1565,1564794,1564794,117406044,1,,,,2.101615,2.09898
G2_circuit,150102,150102,726674,1,2.072855,2.048065,2.058525,2.049685,2.13709
G3_circuit,1585478,1585478,7660826,1,1.802795,1.77688,1.73988,1.997065,1.90828
GAP-road,23947347,23947347,57708624,1,0.5094585,0.517576,0.5110185,0.55032,0.439408
G_n_pin_pout,100000,100000,1002396,1,1.36026,1.33006,1.308605,1.403805,0.3161445
Ga10As10H30,113081,113081,6115633,1,1.99846,1.966195,1.956335,1.995775,1.99594
Ga19As19H42,133123,133123,8884839,1,1.946495,1.93229,1.91037,1.925645,1.953645
Ga3As3H12,61349,61349,5970947,1,1.884015,1.87241,1.864625,1.900105,1.87629
Ga41As41H72,268096,268096,18488476,1,1.919485,1.922105,1.910745,1.936505,1.958055
GaAsH6,61349,61349,3381809,1,2.0276050000000003,2.046745,1.951765,2.01861,2.01781
Ge87H76,112985,112985,7892195,1,1.945595,1.93064,1.924815,1.950765,1.946895
Ge99H100,112985,112985,8451395,1,1.933025,1.93032,1.91688,1.932435,1.95356
Geo_1438,1437960,1437960,63156690,1,2.27563,2.291035,2.294185,2.37229,2.3713800000000003
H2O,67024,67024,2216736,1,2.355555,2.346485,2.309975,2.330905,2.3938300000000003
HTC_336_4438,226340,226340,904522,1,1.998465,1.97197,2.004055,1.975565,2.05334
HTC_336_9129,226340,226340,883422,1,1.987945,1.976445,1.962475,1.984025,2.05117
Hardesty1,938905,938905,12143314,1,2.47079,2.381095,2.41482,2.573715,2.584315
Hook_1498,1498023,1498023,60917445,1,2.19693,2.22279,2.193875,2.293895,2.25393
L-9,17983,17983,71192,1,1.729185,1.73846,1.738345,1.762295,1.78174
LF10000,19998,19998,99982,1,1.93428,1.932875,1.845825,1.939665,1.951125
