matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,1.854585,1.864325,1.848965,1.860465,1.7707
2cubes_sphere,101492,101492,1647264,1,2.1614,2.16919,2.16069,2.278035,2.192315
333SP,3712815,3712815,22217266,1,1.50807,1.53689,1.52875,1.745685,1.21888
3dtube,45330,45330,3213618,1,2.389935,2.47272,2.53288,2.46197,2.370475
598a,110971,110971,1483868,1,1.80636,1.78641,1.79956,1.824225,1.76985
ACTIVSg70K,69999,69999,238627,1,0.8231299999999999,0.8201805,0.8207455,0.7927109999999999,0.8314775
AS365,3799275,3799275,22736152,1,1.21773,1.2980550000000002,1.26773,1.50487,0.4371165
Andrews,60000,60000,760154,1,1.746585,1.7572800000000002,1.754205,1.7817,1.73602
BenElechi1,245874,245874,13150496,1,2.7770200000000003,2.770115,2.771755,2.801285,2.82103
Bump_2911,2911419,2911419,127729899,1,,,,2.684495,2.6629750000000003
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.7986,2.75359
CurlCurl_0,11083,11083,113343,1,2.601365,2.38716,2.29867,2.32259,
CurlCurl_1,226451,226451,2472071,1,2.592395,2.537255,2.50474,2.48654,2.69323
CurlCurl_2,806529,806529,8921789,1,2.428775,2.429875,2.38544,2.55663,2.68079
CurlCurl_3,1219574,1219574,13544618,1,2.45789,2.449835,2.360035,2.48308,2.67891
CurlCurl_4,2380515,2380515,26515867,1,2.459645,2.3447750000000003,2.409625,2.623355,2.703885
Dubcova1,16129,16129,253009,1,2.90246,2.87656,,2.93435,2.91366
Dubcova2,65025,65025,1030225,1,3.091245,3.098285,3.089355,3.027685,3.027905
Dubcova3,146689,146689,3636649,1,2.804885,2.81828,2.7754700000000003,2.73281,2.844925
Emilia_923,923136,923136,41005206,1,2.70642,2.6884050000000004,2.6934950000000004,2.77419,2.78186
F1,343791,343791,26837113,1,2.377415,2.3647400000000003,2.335245,2.40068,2.3500050000000003
F2,71505,71505,5294285,1,2.371815,2.39031,2.376505,2.38961,2.3874250000000004
Fault_639,638802,638802,28614564,1,2.52752,2.4605550000000003,2.50846,2.544645,2.574065
Flan_1565,1564794,1564794,117406044,1,,,,2.71769,2.747895
G2_circuit,150102,150102,726674,1,2.49571,2.4834750000000003,2.48386,2.39863,2.615615
G3_circuit,1585478,1585478,7660826,1,2.2012,2.209795,2.178525,2.31218,2.35503
GAP-road,23947347,23947347,57708624,1,0.6974535,0.6966399999999999,0.6982875,0.7471455,0.577868
G_n_pin_pout,100000,100000,1002396,1,1.53462,1.58356,1.53701,1.562945,1.470065
Ga10As10H30,113081,113081,6115633,1,2.30614,2.25657,2.295305,2.36201,2.314055
Ga19As19H42,133123,133123,8884839,1,2.296425,2.274925,2.2647000000000004,2.331085,2.30143
Ga3As3H12,61349,61349,5970947,1,2.31697,2.284255,2.29525,2.323715,2.320205
Ga41As41H72,268096,268096,18488476,1,2.29225,2.291835,2.255055,2.338365,2.32351
GaAsH6,61349,61349,3381809,1,2.334205,2.46111,2.245025,2.41211,2.33877
Ge87H76,112985,112985,7892195,1,2.3002200000000004,2.302885,2.29267,2.35971,2.318295
Ge99H100,112985,112985,8451395,1,2.314395,2.301975,2.30644,2.369505,2.315945
Geo_1438,1437960,1437960,63156690,1,2.642455,2.660425,2.651075,2.77753,2.7402800000000003
H2O,67024,67024,2216736,1,2.6707,2.646605,2.66632,2.65925,2.6760650000000004
HTC_336_4438,226340,226340,904522,1,2.050395,2.06474,2.06928,2.14298,2.077465
HTC_336_9129,226340,226340,883422,1,1.94595,2.04145,2.070095,2.08599,2.102965
Hardesty1,938905,938905,12143314,1,2.665715,2.47694,2.26037,2.87804,2.907545
Hook_1498,1498023,1498023,60917445,1,2.547775,2.4593800000000003,2.5593250000000003,2.6193,2.61025
L-9,17983,17983,71192,1,2.42806,2.41652,2.42459,2.42479,2.493125
LF10000,19998,19998,99982,1,2.37373,2.371475,2.65205,2.618755,2.17769
LFAT5000,19994,19994,79966,1,2.462205,2.574155,2.5854,2.395805,2.274975
Lin,256000,256000,1766400,1,2.693795,2.651095,2.62437,2.6103300000000003,2.53227
Long_Coup_dt0,1470152,1470152,87088992,1,2.4876500000000004,2.479535,2.500425,2.51318,2.4838500000000003
NACA0015,1039183,1039183,6229636,1,1.31174,1.32063,1.341765,1.48455,1.26965
NLR,4163763,4163763,24975952,1,1.25574,1.303555,1.29532,1.530605,0.402895
OPF_10000,43887,43887,467711,1,2.7455350000000003,2.761775,2.75159,2.07538,2.678395
OPF_3754,15435,15435,158273,1,2.70378,2.7150100000000004,2.70064,2.08185,2.75844
OPF_6000,29902,29902,302418,1,2.699895,2.71821,2.70715,1.969045,2.8089950000000004
Oregon-1,11492,11492,46818,1,0.8413269999999999,0.8374885,0.8607365,1.654255,0.8513094999999999
Oregon-2,11806,11806,65460,1,1.03265,1.021575,1.0345650000000002,1.72177,1.038335
PFlow_742,742793,742793,37138461,1,2.68952,2.39614,2.54517,2.67755,2.679885
PGPgiantcompo,10680,10680,48632,1,0.936982,0.942988,0.9485405,1.046355,0.968612
Pres_Poisson,14822,14822,715804,1,2.950715,2.951725,2.971565,2.943375,2.943865
Queen_4147,4147110,4147110,329499284,1,,,,2.752195,2.76553
Serena,1391349,1391349,64531701,1,2.35598,2.3046800000000003,2.312055,2.37302,
Si10H16,17077,17077,875923,1,2.35506,2.3206800000000003,,2.44308,2.34984
Si34H36,97569,97569,5156379,1,2.27338,2.276625,2.237545,2.347415,2.29691
Si41Ge41H72,185639,185639,15011265,1,2.31402,2.30526,2.277345,2.336475,2.32189
Si5H12,19896,19896,738598,1,2.4220550000000003,2.48431,2.36059,2.59057,2.346475
Si87H76,240369,240369,10661631,1,2.28931,2.265395,2.23676,2.33061,2.283385
SiO,33401,33401,1317655,1,2.4282950000000003,2.335495,2.3175,2.5400400000000003,2.40715
SiO2,155331,155331,11283503,1,2.309555,2.365705,2.249205,2.3640350000000003,2.3033200000000003
StocF-1465,1465137,1465137,21005389,1,2.15021,2.2369000000000003,2.22335,2.30631,2.317785
TEM152078,152078,152078,6459326,1,2.586385,2.390355,2.6121,2.6633,2.40986
TEM181302,181302,181302,7839010,1,2.388285,2.490735,2.5321,2.482605,2.374115
TEM27623,27623,27623,439469,1,2.12796,2.13364,2.12616,2.212325,2.12588
TSOPF_FS_b162_c1,10798,10798,608540,1,2.464175,2.456205,2.459225,2.46321,2.4742550000000003
TSOPF_FS_b162_c3,30798,30798,1801300,1,2.43371,2.43711,2.42502,2.416655,2.45221
TSOPF_FS_b162_c4,40798,40798,2398220,1,2.413625,2.38543,2.37432,2.40452,2.44044
TSOPF_FS_b300,29214,29214,4400122,1,2.408035,2.36451,2.34164,2.383495,2.39082
TSOPF_FS_b300_c1,29214,29214,4400122,1,2.38268,2.33866,2.34111,2.376045,2.388545
TSOPF_FS_b300_c2,56814,56814,8767466,1,2.38581,2.36627,2.345435,2.38105,2.38824
TSOPF_FS_b300_c3,84414,84414,13135930,1,2.37078,2.3532,2.344365,2.3652800000000003,2.37402
TSOPF_FS_b39_c19,76216,76216,1977600,1,2.40208,2.33977,2.4958150000000003,2.28588,2.418215
TSOPF_FS_b39_c30,120216,120216,3121160,1,2.36239,2.40276,2.563775,2.382,2.43444
TSOPF_FS_b39_c7,28216,28216,730080,1,2.33978,2.3848450000000003,2.35886,2.320485,2.334665
TSOPF_FS_b9_c6,14454,14454,147972,1,2.53073,2.475055,2.50173,2.52704,2.526945
Trefethen_20000,20000,20000,554466,1,3.18739,3.0628650000000004,2.992235,2.72359,3.111895
Trefethen_20000b,19999,19999,554435,1,3.20309,3.06743,2.994295,2.72368,3.11469
a0nsdsil,80016,80016,355034,1,2.43506,2.5257,2.514135,2.55874,2.578625
a2nnsnsl,80016,80016,347222,1,2.27585,2.31514,2.370705,2.338845,2.341495
a5esindl,60008,60008,255004,1,2.425655,2.53249,2.507335,2.51495,2.581655
adaptive,6815744,6815744,27248640,1,1.985705,1.984945,1.975515,2.446325,1.010055
af_0_k101,503625,503625,17550675,1,2.84182,2.794305,2.810785,2.86256,2.855595
af_1_k101,503625,503625,17550675,1,2.806605,2.81708,2.806635,2.864855,2.84688
af_2_k101,503625,503625,17550675,1,2.79366,2.81204,2.806295,2.86406,2.87014
af_3_k101,503625,503625,17550675,1,2.81968,2.81674,2.80648,2.86615,2.866455
af_4_k101,503625,503625,17550675,1,2.819325,2.8148850000000003,2.814705,2.8696900000000003,2.839665
af_5_k101,503625,503625,17550675,1,2.8039750000000003,2.827705,2.806535,2.872485,2.8706
af_shell1,504855,504855,17588875,1,2.800915,2.801545,2.8060400000000003,2.870825,2.86536
af_shell10,1508065,1508065,52672325,1,2.813445,2.7850400000000004,2.81031,2.86331,2.829975
af_shell2,504855,504855,17588875,1,2.78276,2.80495,2.810925,2.877965,2.83547
af_shell3,504855,504855,17588875,1,2.791205,2.78241,2.79366,2.854115,2.8470250000000004
af_shell4,504855,504855,17588875,1,2.771445,2.81952,2.799515,2.8429900000000004,2.8755
af_shell5,504855,504855,17588875,1,2.791535,2.7962550000000004,2.79976,2.859615,2.825525
af_shell6,504855,504855,17588875,1,2.771805,2.79756,2.821675,2.84967,2.84383
af_shell7,504855,504855,17588875,1,2.8055700000000003,2.77265,2.80882,2.86073,2.8403650000000003
af_shell8,504855,504855,17588875,1,2.78664,2.769385,2.8008800000000003,2.854695,2.859855
af_shell9,504855,504855,17588875,1,2.80317,2.225815,2.809325,2.870935,2.858365
ak2010,45292,45292,217098,1,0.933458,0.916707,0.930125,1.0710099999999998,0.936672
al2010,252266,252266,1230482,1,1.001235,0.975861,0.982412,0.9989285,0.9850175
analytics,303813,303813,2006126,1,1.838245,1.7199650000000002,1.774605,2.15583,1.7473299999999998
apache1,80800,80800,542184,1,2.717835,2.634675,2.611605,2.6402,2.773845
apache2,715176,715176,4817870,1,2.4946200000000003,2.49791,2.41282,2.513685,2.639435
ar2010,186211,186211,904310,1,0.9370585,0.999877,0.9793405,0.990893,0.9791795
as-22july06,22963,22963,96872,1,0.955577,0.952008,0.9656955,1.57875,0.9514875
as-Skitter,1696415,1696415,22190596,1,1.42416,1.42083,1.41042,1.532725,1.3904450000000002
asia_osm,11950757,11950757,25423206,1,0.9054775,0.903354,0.903025,1.048655,0.608436
astro-ph,16706,16706,242502,1,1.78595,1.76002,1.76808,1.883715,1.75315
audikw_1,943695,943695,77651847,1,2.365245,2.3601850000000004,2.32953,2.377375,2.30382
aug2d,29008,29008,76832,1,1.93093,1.85024,1.910875,1.822595,1.94867
aug2dc,30200,30200,80000,1,1.800465,1.833395,1.944105,1.85174,1.96645
aug3d,24300,24300,69984,1,1.96364,1.761385,1.875495,1.90988,1.735925
aug3dcqp,35543,35543,128115,1,2.293595,2.209735,2.26201,2.039395,2.36297
auto,448695,448695,6629222,1,1.8172,1.78648,1.782155,1.91305,1.4955850000000002
az2010,241666,241666,1196094,1,1.00602,1.00535,0.9934785,1.054905,0.9937855
barth5,15606,15606,61484,1,1.455935,1.41077,1.43077,1.532115,1.374785
bcsstk17,10974,10974,428650,1,2.635035,2.734325,2.43032,2.5650250000000003,2.71967
bcsstk18,11948,11948,149090,1,1.893615,1.864255,1.886545,1.866785,1.93861
bcsstk25,15439,15439,252241,1,2.18654,2.15001,2.119265,2.09071,2.232605
bcsstk29,13992,13992,619488,1,2.659355,2.769125,2.648585,2.64788,2.807035
bcsstk30,28924,28924,2043492,1,2.458125,2.44984,2.4463,2.44826,2.4388
bcsstk31,35588,35588,1181416,1,2.454445,2.39445,2.402975,2.551585,2.335055
bcsstk32,44609,44609,2014701,1,2.382255,2.38551,2.3694800000000003,2.392035,2.47527
bcsstk35,30237,30237,1450163,1,2.377115,2.3892800000000003,,2.4507950000000003,2.36502
bcsstk36,23052,23052,1143140,1,2.4319800000000003,2.324315,2.39282,2.492795,2.43591
bcsstk37,25503,25503,1140977,1,2.38158,2.382375,2.413325,2.355955,2.381075
bcsstk39,46772,46772,2089294,1,2.912,2.843625,2.88703,2.90889,2.89551
bcsstm25,15439,15439,15439,1,1.405795,1.40835,1.40995,1.40995,1.40866
bcsstm35,30237,30237,20619,1,1.0142,0.30304,0.6722885000000001,1.080505,1.007775
bcsstm36,23052,23052,320606,1,2.799735,2.11112,2.54988,2.584105,2.472085
bcsstm37,25503,25503,15525,1,0.85748,0.2805094999999999,0.2856324999999999,0.71709,0.8444275
bcsstm39,46772,46772,46772,1,1.4189500000000002,1.41177,1.40836,1.404985,1.416985
belgium_osm,1441295,1441295,3099940,1,0.8058730000000001,0.81437,0.815645,0.970818,0.8116905000000001
bfly,49152,49152,196608,1,2.547625,2.523595,2.581075,2.5771,2.598665
big_dual,30269,30269,89858,1,2.198345,2.201565,,2.247155,2.19018
biplane-9,21701,21701,84076,1,2.229385,2.1910350000000003,,2.079275,2.312465
blockqp1,60012,60012,640033,1,2.394445,2.319205,2.450795,2.6305300000000003,2.47838
bloweya,30004,30004,150009,1,2.598895,2.647395,2.59913,2.631625,2.63951
bloweybl,30003,30003,120000,1,2.2126900000000003,2.166005,2.17108,2.333195,2.204795
bloweybq,10001,10001,69991,1,2.67143,2.409735,,2.516035,2.73776
bmw3_2,227362,227362,11288630,1,2.304875,2.312465,2.308115,2.48609,2.39342
bmw7st_1,141347,141347,7339667,1,2.282045,2.36556,2.38834,2.33984,2.294535
bmwcra_1,148770,148770,10644002,1,2.377815,2.385725,2.37289,2.404565,2.367795
bodyy4,17546,17546,121938,1,2.40543,2.410655,2.40659,2.391295,2.46224
bodyy5,18589,18589,129281,1,2.501795,2.490605,,2.49276,2.521855
bodyy6,19366,19366,134748,1,2.574345,2.564665,2.5441900000000004,2.54493,2.584485
bone010,986703,986703,71666325,1,2.66521,2.66884,2.656165,2.741675,2.726955
boneS01,127224,127224,6715152,1,2.49639,2.602945,2.607665,2.61114,2.51279
boneS10,914898,914898,55468422,1,2.575945,,2.56647,2.60301,2.659015
boyd1,93279,93279,1211231,1,,2.067225,1.95042,,
