matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,24.47915,23.6926,24.4491,24.37465,21.6855
2cubes_sphere,101492,101492,1647264,1,28.0615,27.83275,27.55175,28.445500000000003,27.897150000000003
333SP,3712815,3712815,22217266,1,4.79035,4.433275,5.092805,4.800515,4.7418700000000005
3dtube,45330,45330,3213618,1,24.07275,24.55865,26.36635,26.3408,25.74085
598a,110971,110971,1483868,1,23.5795,23.65475,22.9512,23.03975,20.18295
ACTIVSg70K,69999,69999,238627,1,8.26879,8.578705,8.563365,8.464215,8.481695
AS365,3799275,3799275,22736152,1,4.849525,4.73947,4.885680000000001,4.93815,4.623015
Andrews,60000,60000,760154,1,21.36855,21.4521,21.43375,21.75925,21.2717
BenElechi1,245874,245874,13150496,1,5.17841,5.1478850000000005,5.639085,5.15615,5.404505
Bump_2911,2911419,2911419,127729899,1,,,,5.68183,5.35759
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,5.653445,5.364795
CurlCurl_0,11083,11083,113343,1,16.1141,12.9277,15.68765,15.74265,
CurlCurl_1,226451,226451,2472071,1,28.6741,30.98715,29.3445,30.43005,31.3558
CurlCurl_2,806529,806529,8921789,1,5.77097,5.112914999999999,5.508035,4.489245,5.95085
CurlCurl_3,1219574,1219574,13544618,1,5.50947,5.31804,5.417435,5.38918,5.362220000000001
CurlCurl_4,2380515,2380515,26515867,1,4.909305,4.820080000000001,5.12276,4.861545,5.11501
Dubcova1,16129,16129,253009,1,23.92055,24.42605,,23.66705,17.2588
Dubcova2,65025,65025,1030225,1,32.68455,33.29305,34.0458,33.8893,20.24865
Dubcova3,146689,146689,3636649,1,22.8413,23.246450000000003,18.38975,15.92705,10.3423
Emilia_923,923136,923136,41005206,1,5.118835000000001,5.187115,5.01099,5.446685,5.095454999999999
F1,343791,343791,26837113,1,5.178025,4.99599,5.0592950000000005,5.0281,2.8608450000000003
F2,71505,71505,5294285,1,9.40463,9.40661,9.118849999999998,8.395475000000001,3.918955
Fault_639,638802,638802,28614564,1,5.191225,5.255735,5.19121,4.6625250000000005,5.031075
Flan_1565,1564794,1564794,117406044,1,,,,5.2103,5.40339
G2_circuit,150102,150102,726674,1,25.30975,26.02285,25.960050000000003,25.35145,25.6271
G3_circuit,1585478,1585478,7660826,1,5.01104,5.66339,4.897705,5.18161,5.122484999999999
GAP-road,23947347,23947347,57708624,1,3.92565,3.4208350000000003,3.489195,4.269304999999999,3.053185
G_n_pin_pout,100000,100000,1002396,1,18.9227,18.79155,18.6505,20.2354,18.8771
Ga10As10H30,113081,113081,6115633,1,3.1600900000000003,4.437025,3.5507150000000003,3.251195,5.66869
Ga19As19H42,133123,133123,8884839,1,3.47399,4.0470500000000005,3.68138,4.11019,4.1333400000000005
