matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,2.14574,2.1439700000000004,2.1572050000000003,2.133995,2.063625
2cubes_sphere,101492,101492,1647264,1,2.57902,2.520955,2.48431,2.67969,2.5125
333SP,3712815,3712815,22217266,1,1.66758,1.658025,1.6666500000000002,1.7469450000000002,1.41824
3dtube,45330,45330,3213618,1,2.4651050000000003,2.45903,2.44911,2.452135,2.46387
598a,110971,110971,1483868,1,2.12258,2.1329450000000003,2.1609350000000003,2.11728,1.96759
ACTIVSg70K,69999,69999,238627,1,0.8410934999999999,0.832953,0.852466,0.802045,0.8618395000000001
AS365,3799275,3799275,22736152,1,1.350145,1.369575,1.36396,1.44651,0.743022
Andrews,60000,60000,760154,1,2.044375,2.051455,2.05656,2.10202,2.02225
BenElechi1,245874,245874,13150496,1,2.60312,2.606825,2.59882,2.601525,2.599985
Bump_2911,2911419,2911419,127729899,1,,,,2.529485,2.54922
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.54282,2.52319
CurlCurl_0,11083,11083,113343,1,2.9776,2.705735,2.71648,2.852035,
CurlCurl_1,226451,226451,2472071,1,3.04488,2.991175,2.983215,2.9833100000000004,3.121785
CurlCurl_2,806529,806529,8921789,1,2.97328,2.97653,2.928375,2.9488950000000003,3.07776
CurlCurl_3,1219574,1219574,13544618,1,2.96649,2.9641650000000004,2.91234,2.9379350000000004,3.08439
CurlCurl_4,2380515,2380515,26515867,1,2.9358,2.91414,2.890165,2.9330350000000003,3.056485
Dubcova1,16129,16129,253009,1,3.3403650000000003,3.32829,,3.30157,3.370295
Dubcova2,65025,65025,1030225,1,3.412015,3.42544,3.406775,3.28492,3.363155
Dubcova3,146689,146689,3636649,1,2.9818550000000004,3.00565,2.97948,2.906895,2.986265
Emilia_923,923136,923136,41005206,1,2.570925,2.57663,2.5674650000000003,2.55925,2.56435
F1,343791,343791,26837113,1,2.28311,2.29481,2.282445,2.299895,2.236305
F2,71505,71505,5294285,1,2.32957,2.33426,2.311445,2.330755,2.29786
Fault_639,638802,638802,28614564,1,2.5375500000000004,2.548785,2.53599,2.536925,2.5347
Flan_1565,1564794,1564794,117406044,1,,,,2.388965,2.404085
G2_circuit,150102,150102,726674,1,2.9076500000000003,2.91157,2.93297,2.9466650000000003,3.041135
G3_circuit,1585478,1585478,7660826,1,2.616275,2.65272,2.6260700000000003,2.70805,2.668765
GAP-road,23947347,23947347,57708624,1,0.7241489999999999,0.6985300000000001,0.7110240000000001,0.706634,0.6654255
G_n_pin_pout,100000,100000,1002396,1,1.708135,1.7060300000000002,1.704475,1.718395,1.71278
Ga10As10H30,113081,113081,6115633,1,2.25929,2.285335,2.2517,2.252805,2.271725
Ga19As19H42,133123,133123,8884839,1,2.15116,2.166865,2.151415,2.143045,2.176485
Ga3As3H12,61349,61349,5970947,1,1.99436,2.00758,1.996455,1.993825,1.99587
Ga41As41H72,268096,268096,18488476,1,2.148735,2.155655,2.13861,2.132875,2.15716
GaAsH6,61349,61349,3381809,1,2.22445,2.247235,2.2158800000000003,2.22622,2.227415
Ge87H76,112985,112985,7892195,1,2.16721,2.16381,2.14155,2.133355,2.167365
