matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,76.12635,80.83155,78.75380000000001,80.44454999999999,65.49074999999999
2cubes_sphere,101492,101492,1647264,1,74.6129,73.7824,75.12434999999999,77.936,74.54560000000001
333SP,3712815,3712815,22217266,1,63.239,55.8506,58.41535,49.48915,18.1051
3dtube,45330,45330,3213618,1,92.92415,85.6871,89.22575,92.4875,88.2918
598a,110971,110971,1483868,1,66.42085,70.24064999999999,69.1505,69.6203,56.6892
ACTIVSg70K,69999,69999,238627,1,19.3483,19.0077,19.05335,19.56615,19.07115
AS365,3799275,3799275,22736152,1,64.9493,46.2794,36.45785,23.1556,7.76481
Andrews,60000,60000,760154,1,50.39425,49.2285,49.628150000000005,49.1532,44.75565
BenElechi1,245874,245874,13150496,1,142.0635,48.2428,141.59550000000002,92.207,142.7735
Bump_2911,2911419,2911419,127729899,1,,,,15.1714,15.1571
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,15.29445,15.36675
CurlCurl_0,11083,11083,113343,1,11.79425,11.46495,11.64145,11.82385,
CurlCurl_1,226451,226451,2472071,1,95.65085,95.97575,91.662,96.2476,100.511
CurlCurl_2,806529,806529,8921789,1,137.6185,135.3235,133.7535,128.5815,138.421
CurlCurl_3,1219574,1219574,13544618,1,141.061,138.691,140.40949999999998,67.26775,135.804
CurlCurl_4,2380515,2380515,26515867,1,43.96545,46.9475,34.5015,31.5482,14.7104
Dubcova1,16129,16129,253009,1,21.63865,22.51735,,22.16575,23.119750000000003
Dubcova2,65025,65025,1030225,1,64.74005,66.47685,67.23795,67.0621,43.407
Dubcova3,146689,146689,3636649,1,99.68835,114.844,113.4705,113.304,63.9079
Emilia_923,923136,923136,41005206,1,19.77425,22.86235,18.2389,24.03465,24.41805
F1,343791,343791,26837113,1,67.85675,94.809,27.03425,19.3587,24.9991
F2,71505,71505,5294285,1,76.51724999999999,94.1784,40.28455,98.48275,45.293
Fault_639,638802,638802,28614564,1,69.063,37.4002,52.85795,37.64985,40.6307
Flan_1565,1564794,1564794,117406044,1,,,,15.56485,15.57425
G2_circuit,150102,150102,726674,1,47.62905,47.56755,47.74765,47.49715,48.97154999999999
G3_circuit,1585478,1585478,7660826,1,43.045950000000005,108.363,111.1515,109.7475,101.286
GAP-road,23947347,23947347,57708624,1,8.11506,8.015175,8.084225,8.165500000000002,6.70354
G_n_pin_pout,100000,100000,1002396,1,48.376850000000005,44.8645,49.917100000000005,51.45785,36.25265
Ga10As10H30,113081,113081,6115633,1,30.0864,44.88305,39.336,36.24125,64.47675000000001
Ga19As19H42,133123,133123,8884839,1,33.268249999999995,44.7685,33.602000000000004,41.423,61.9103
Ga3As3H12,61349,61349,5970947,1,17.2354,15.03005,20.2875,14.6505,43.2362
Ga41As41H72,268096,268096,18488476,1,47.2621,49.1207,21.03755,30.28545,22.1835
GaAsH6,61349,61349,3381809,1,14.9295,9.77639,30.73065,10.47255,35.36235
Ge87H76,112985,112985,7892195,1,29.91095,46.6109,42.6147,32.258700000000005,69.36574999999999
