matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.39754,4.37679,4.36206,4.39248,4.3493,4.37778,4.42153,4.29753
144,144649,144649,2148786,8,4.26338,4.2432,4.2906,4.14333,4.24736,4.23902,4.54716,3.80971
2cubes_sphere,101492,101492,1647264,8,4.2671,4.45962,4.41796,4.39714,4.49651,4.44731,4.615,4.33697
333SP,3712815,3712815,22217266,8,2.62901,3.20565,2.1412,3.22233,3.19454,3.16312,4.43608,1.08704
3dtube,45330,45330,3213618,8,4.04218,4.16272,4.1026,4.17318,4.16418,4.15573,4.13031,4.10303
3elt,4720,4720,27444,8,4.88889,4.83718,4.82794,4.84196,4.79176,4.83325,4.88847,4.81438
3elt_dual,9000,9000,26556,8,4.25133,4.27816,4.18091,4.26443,4.24031,4.27144,4.35916,4.20937
494_bus,494,494,1666,8,4.27407,4.27162,4.27402,4.24911,4.1978,4.23335,4.27865,4.28527
598a,110971,110971,1483868,8,4.28202,4.26682,4.30854,4.13101,4.2741,4.27787,4.5543,3.66402
662_bus,662,662,2474,8,4.41781,4.40149,4.44596,4.38684,4.38202,4.3739,4.47447,4.43587
685_bus,685,685,3249,8,4.68604,4.67052,4.60578,4.66788,4.64419,4.68041,4.61928,4.61393
ACTIVSg70K,69999,69999,238627,8,2.8903,2.94698,2.82873,2.8559,2.86798,2.96858,3.19046,2.88045
AS365,3799275,3799275,22736152,8,2.498,2.70267,1.96053,2.7348,2.68019,2.59063,4.25534,0.706129
Alemdar,6245,6245,42581,8,4.83814,4.38873,4.4947,4.43261,4.45735,,4.56192,4.50351
Andrews,60000,60000,760154,8,4.23979,4.18631,4.1296,3.96561,4.14868,4.2522,4.12242,3.54836
BenElechi1,245874,245874,13150496,8,4.09609,4.23449,4.13256,4.23914,4.17131,4.23241,4.25197,4.19175
Binaryalphadigs_10NN,1404,1404,19392,8,4.70987,4.61204,4.69296,4.6949,4.61417,4.62103,4.71868,4.62651
Bump_2911,2911419,2911419,127729899,8,3.52504,4.0364,3.72067,4.1074,4.09011,4.08189,3.97988,4.13544
CO,221119,221119,7666057,8,3.8077,4.18116,4.03029,4.21743,4.23482,4.07714,4.08326,4.22475
Chem97ZtZ,2541,2541,7361,8,3.80941,3.79469,3.78615,3.79184,3.79883,3.83426,3.79189,3.89042
Cube_Coup_dt0,2164760,2164760,127206144,8,3.72463,4.03602,3.83849,4.06457,4.04633,4.01633,4.07286,4.06981
Cube_Coup_dt6,2164760,2164760,127206144,8,3.68559,4.0388,3.86792,4.0644,4.04453,4.04273,4.06972,4.07096
CurlCurl_0,11083,11083,113343,8,4.75075,4.90804,4.91378,4.89216,4.9243,4.84941,4.87445,4.98024
CurlCurl_1,226451,226451,2472071,8,4.29825,4.87054,4.34113,4.76998,4.67431,4.63507,4.98811,4.95052
CurlCurl_2,806529,806529,8921789,8,3.00185,4.74822,3.79852,4.56546,4.64434,4.66884,4.95328,4.9443
CurlCurl_3,1219574,1219574,13544618,8,2.7555,4.56895,3.66611,4.438,4.54855,4.52788,4.78223,4.84413
CurlCurl_4,2380515,2380515,26515867,8,2.48644,4.52974,3.15321,4.46539,4.55774,4.45014,4.79114,4.84416
Dubcova1,16129,16129,253009,8,4.63091,4.69712,4.73707,4.72021,4.76548,,4.6616,4.76165
Dubcova2,65025,65025,1030225,8,4.69438,4.47787,4.52233,4.65908,4.57563,4.58817,4.8004,4.51794
Dubcova3,146689,146689,3636649,8,4.18279,4.26432,4.33626,4.27322,4.34766,4.27238,4.47444,4.311
EX1,560,560,8736,8,4.85777,4.8055,4.8975,4.89519,4.77758,4.87245,4.91413,4.88097
EX2,560,560,8736,8,4.87874,4.79837,4.87187,4.88779,4.79007,4.8651,4.9078,4.89756
EX3,2600,2600,71760,8,4.44309,4.3982,4.40727,4.53684,4.40523,4.4455,4.52479,4.53886
EX4,2600,2600,71760,8,4.47233,4.4389,4.47843,4.49787,4.40903,4.44281,4.52523,4.50669
EX5,6545,6545,295680,8,4.24204,4.2209,4.24322,4.2953,4.201,,4.27525,4.2913
EX6,6545,6545,295680,8,4.22024,4.21686,4.24351,4.29722,4.20226,,4.20022,4.2959
Ecoli_10NN,336,336,4560,8,4.66394,4.66894,4.71716,4.66598,4.72119,4.65602,4.67782,4.71016
Emilia_923,923136,923136,41005206,8,3.72337,4.09654,3.87326,4.21052,4.13341,4.16416,4.23399,4.20024
Erdos02,6927,6927,16944,8,3.39668,3.3701,3.4249,3.36999,3.02097,3.03744,3.51257,3.01515
Erdos971,472,472,2628,8,,4.28769,4.28478,4.23305,4.21606,4.29793,4.36184,4.27463
Erdos972,5488,5488,14170,8,3.41069,3.41495,3.46876,3.4011,3.26446,3.30798,3.47127,3.30928
Erdos981,485,485,2762,8,,4.27113,4.30582,4.28076,4.22875,4.27944,4.37832,4.19146
Erdos982,5822,5822,14750,8,3.34562,3.38641,3.40792,3.39046,3.15604,3.17658,3.43353,3.22608
Erdos991,492,492,2834,8,4.38243,4.26288,4.31438,4.27367,4.22854,4.28854,4.37403,4.20632
Erdos992,6100,6100,15030,8,3.39389,3.39372,3.41199,3.42124,3.13353,3.2081,3.43787,3.14664
F1,343791,343791,26837113,8,3.83574,4.05222,3.99501,4.0256,4.0954,4.03154,4.06417,3.68748
F2,71505,71505,5294285,8,4.05706,4.12586,4.13597,4.05771,4.13187,4.07271,4.08049,4.07584
Fashion_MNIST_norm_10NN,10000,10000,158304,8,4.54294,4.49778,4.50087,4.49975,4.53869,4.49951,4.47412,4.26797
Fault_639,638802,638802,28614564,8,3.67278,4.18511,3.98229,4.18762,4.13999,4.18454,4.19446,4.20786
Flan_1565,1564794,1564794,117406044,8,3.85953,4.04158,3.91989,4.05279,4.0462,4.04728,4.04675,4.04941
G1,800,800,38352,8,4.28351,4.21643,4.21515,4.25284,4.16574,4.29323,4.28791,4.28391
G10,800,800,38352,8,4.29011,4.21756,4.28611,4.28921,4.21709,4.2919,4.27794,4.28911
G11,800,800,3200,8,4.78951,4.75825,4.8105,4.82108,4.72613,4.81503,4.82563,4.83621
G12,800,800,3200,8,4.8015,4.77609,4.79083,4.81809,4.73927,4.8196,4.82867,4.82715
G13,800,800,3200,8,4.78801,4.745,4.7746,4.7924,4.70873,4.80451,4.83157,4.82715
G14,800,800,9388,8,4.54849,4.52252,4.5846,4.60191,4.48689,4.57947,4.57811,4.60619
G15,800,800,9322,8,4.56154,4.50515,4.53161,4.61581,4.49701,4.59253,4.61189,4.6277
G16,800,800,9344,8,4.5543,4.51992,4.53778,4.60858,4.47969,4.58366,4.61429,4.60439
G17,800,800,9334,8,4.57394,4.51367,4.56984,4.61931,4.46647,4.5825,4.62127,4.59751
G18,800,800,9388,8,4.56139,4.50709,4.57807,4.61227,4.4696,4.57207,4.57993,4.61176
G19,800,800,9322,8,4.5747,4.50969,4.53253,4.61576,4.48487,4.59349,4.61146,4.61006
G2,800,800,38352,8,4.28624,4.21304,4.18267,4.28611,4.22386,4.27994,4.28932,4.28632
G20,800,800,9344,8,4.55203,4.51436,4.54368,4.61384,4.4815,4.57947,4.59818,4.60578
G21,800,800,9334,8,4.5699,4.51191,4.57595,4.61598,4.41058,4.57031,4.61698,4.54301
G22,2000,2000,39980,8,4.55255,4.5277,4.47023,4.53275,4.46202,4.51082,4.55427,4.52721
G23,2000,2000,39980,8,4.56189,4.44971,4.55135,4.53532,4.45532,4.52414,4.56303,4.53392
G24,2000,2000,39980,8,4.55899,4.44673,4.54468,4.54875,4.43214,4.52964,4.55837,4.51143
G25,2000,2000,39980,8,4.55834,4.45912,4.55103,4.55436,4.46733,4.53919,4.5216,4.53637
