matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,8.55778,8.36686,8.27335,8.10337,8.35262,8.48299,8.479,8.15578
144,144649,144649,2148786,64,3.48774,4.08,3.93824,4.07203,4.2722,4.23057,4.27659,2.83122
2cubes_sphere,101492,101492,1647264,64,4.14364,4.7634,4.65059,4.86601,4.79507,5.10351,4.94379,4.99126
333SP,3712815,3712815,22217266,64,2.3867,2.40437,2.30918,2.40119,2.18681,2.17813,2.20761,1.32634
3dtube,45330,45330,3213618,64,8.7511,9.34675,9.20437,8.84305,9.4164,8.97138,9.00147,8.25893
3elt,4720,4720,27444,64,10.0871,10.2232,10.2742,8.97688,10.1914,10.6081,10.296,10.1092
3elt_dual,9000,9000,26556,64,6.68264,6.67306,7.36453,6.78939,6.65208,6.87732,5.53797,6.91575
494_bus,494,494,1666,64,8.65457,8.57059,8.53325,8.51344,8.43535,8.54062,8.39992,8.37998
598a,110971,110971,1483868,64,3.2977,3.7995,4.1836,3.71848,4.41185,4.2141,4.11853,2.37769
662_bus,662,662,2474,64,9.04319,8.97696,8.94157,8.94468,9.00328,8.93333,8.99663,8.90177
685_bus,685,685,3249,64,9.3989,9.04815,9.33453,9.26624,9.28369,9.05184,9.26055,8.66067
ACTIVSg70K,69999,69999,238627,64,2.02311,2.13878,2.02972,2.21388,2.16438,2.18583,2.04109,2.07629
AS365,3799275,3799275,22736152,64,2.30808,2.37096,2.27136,2.43897,2.08381,2.11801,2.42058,1.13706
Alemdar,6245,6245,42581,64,10.0682,9.66997,9.58108,9.41616,9.2978,,9.91243,7.55951
Andrews,60000,60000,760154,64,3.64663,4.21108,4.02413,3.90116,4.3915,4.19263,3.73718,3.2177
BenElechi1,245874,245874,13150496,64,7.52677,7.82272,7.70375,7.90839,7.82127,7.85633,7.62575,7.63776
Binaryalphadigs_10NN,1404,1404,19392,64,11.5522,11.6239,11.4689,11.5434,11.554,11.435,11.472,11.6262
Bump_2911,2911419,2911419,127729899,64,5.93758,6.89881,6.23678,6.73547,7.05102,6.99541,6.30105,6.23415
CO,221119,221119,7666057,64,4.45985,5.93123,5.56302,5.95548,6.0559,6.29403,5.52747,6.28601
Chem97ZtZ,2541,2541,7361,64,10.0865,8.66783,9.96662,9.7351,9.70918,9.7908,9.68021,9.51542
Cube_Coup_dt0,2164760,2164760,127206144,64,6.91351,7.73196,7.29256,7.7813,7.79325,7.81929,7.40619,7.42077
Cube_Coup_dt6,2164760,2164760,127206144,64,6.96361,7.74864,7.31092,7.76647,7.78294,7.82234,7.15579,7.37086
CurlCurl_0,11083,11083,113343,64,7.94643,8.21875,8.05891,8.42615,8.60766,8.66419,8.54353,8.38255
CurlCurl_1,226451,226451,2472071,64,2.92687,3.71489,3.34187,3.64667,3.69849,3.71642,3.54438,3.59168
CurlCurl_2,806529,806529,8921789,64,2.64509,3.71241,3.28343,3.65651,3.73944,3.72032,3.45046,3.38387
CurlCurl_3,1219574,1219574,13544618,64,2.67448,3.66087,3.40704,3.6786,3.70269,3.72225,3.27976,3.3436
CurlCurl_4,2380515,2380515,26515867,64,2.59189,3.73877,3.14257,3.69071,3.73373,3.6882,3.04015,3.14548
Dubcova1,16129,16129,253009,64,7.12634,7.38894,7.44735,7.23475,7.6524,,7.60949,6.69449
Dubcova2,65025,65025,1030225,64,4.93151,5.44747,4.99681,5.29386,5.69272,5.4636,5.41897,4.11824
Dubcova3,146689,146689,3636649,64,5.58514,5.81671,5.63025,5.9185,6.03357,5.94815,6.04554,4.48921
EX1,560,560,8736,64,10.7816,10.7834,10.6988,10.7879,10.76,11.1391,10.7578,10.6799
EX2,560,560,8736,64,10.7978,10.7834,10.8005,10.7953,10.7587,11.0222,10.8386,10.61
EX3,2600,2600,71760,64,11.8674,12.0026,11.8049,11.9956,11.9189,11.7566,11.9273,11.6822
EX4,2600,2600,71760,64,11.8795,12.0132,11.86,12.0182,11.9104,11.7324,11.9866,11.9974
EX5,6545,6545,295680,64,10.6515,11.2094,10.6404,11.0287,10.7695,,11.076,11.2275
EX6,6545,6545,295680,64,10.2804,11.0991,10.6534,11.1524,10.676,,11.1627,11.084
Ecoli_10NN,336,336,4560,64,10.7739,10.7786,10.7559,10.7968,10.7075,10.3425,10.6706,10.7258
Emilia_923,923136,923136,41005206,64,6.19762,7.16222,6.6938,7.19793,7.51428,7.46221,6.81975,6.96429
Erdos02,6927,6927,16944,64,7.70676,7.31736,7.57429,7.35956,6.91574,6.58535,7.76074,6.88036
Erdos971,472,472,2628,64,,9.61299,9.784,9.47971,9.55564,9.64329,9.73625,9.36826
Erdos972,5488,5488,14170,64,7.83359,7.69651,8.00585,7.54703,7.67238,7.13842,7.88933,7.07202
Erdos981,485,485,2762,64,,9.70751,9.99131,9.74124,9.7418,9.72114,9.90112,9.59038
Erdos982,5822,5822,14750,64,6.93377,7.64489,7.64,7.50388,7.47366,7.44007,7.89847,6.59858
Erdos991,492,492,2834,64,9.74338,9.60415,9.81917,9.67537,9.54664,9.52405,9.69401,9.35915
Erdos992,6100,6100,15030,64,7.76265,7.73104,7.83198,7.49641,7.45958,7.09553,6.00668,6.86926
F1,343791,343791,26837113,64,7.86562,8.34696,8.20064,8.36248,8.5248,8.38605,8.57964,6.1256
F2,71505,71505,5294285,64,8.58682,8.86761,8.52013,8.83475,9.25773,8.98881,8.90718,7.89729
Fashion_MNIST_norm_10NN,10000,10000,158304,64,9.28626,9.79381,9.4905,9.45624,9.79814,9.64939,9.42212,7.41543
Fault_639,638802,638802,28614564,64,6.2672,7.16507,6.62224,7.31532,7.42237,7.43236,6.53446,6.99144
Flan_1565,1564794,1564794,117406044,64,7.99515,8.40724,7.98261,8.56574,8.57941,8.57167,8.08327,8.34475
G1,800,800,38352,64,12.3006,12.2425,12.6471,12.1513,12.6628,11.6814,12.3084,12.6102
G10,800,800,38352,64,12.2316,12.2715,12.6643,12.2409,12.6325,12.6241,12.254,12.4887
G11,800,800,3200,64,10.8989,10.9449,10.6677,11.023,10.7803,10.4028,10.8176,11.0092
G12,800,800,3200,64,10.9106,8.83158,10.8116,10.8635,10.7577,10.5159,10.8302,10.7684
G13,800,800,3200,64,10.8568,10.8171,10.6129,10.866,10.7756,10.4513,10.8657,8.6413
G14,800,800,9388,64,10.6072,10.5362,10.6435,10.5874,10.6145,10.6551,10.5526,10.7889
G15,800,800,9322,64,10.6842,10.6899,10.7065,10.6657,10.5603,10.4858,10.7117,10.6624
G16,800,800,9344,64,10.6852,10.6652,10.6812,10.7621,10.6448,10.1996,10.5806,10.7034
G17,800,800,9334,64,10.5166,10.5469,10.6386,10.2851,10.5954,10.5763,10.5271,10.681
G18,800,800,9388,64,10.5896,10.5533,10.7585,10.5467,10.6596,10.7365,10.4558,10.7754
G19,800,800,9322,64,10.6946,10.6709,10.6902,10.7399,10.6467,10.2578,10.773,10.6603
G2,800,800,38352,64,12.2573,12.2746,12.6314,12.2642,12.6553,12.6527,12.259,12.6258
G20,800,800,9344,64,10.7312,10.6671,10.7862,10.6858,10.616,10.4704,10.7728,10.6743
G21,800,800,9334,64,10.521,10.5563,10.7696,10.3275,10.1006,10.7171,10.4788,10.7077
G22,2000,2000,39980,64,11.3919,11.3886,11.439,11.306,11.3031,11.291,11.3779,11.355
G23,2000,2000,39980,64,11.4194,11.3511,11.4233,11.4016,11.3747,11.3524,11.3797,11.3385
G24,2000,2000,39980,64,11.4018,11.3044,11.4707,10.8165,11.3466,11.317,11.4163,11.3355
G25,2000,2000,39980,64,11.4318,11.389,11.1081,11.3183,11.2784,11.3421,11.3875,11.3156
G26,2000,2000,39980,64,11.3778,11.41,11.4042,11.3853,11.3464,11.3059,11.4128,11.0238
G27,2000,2000,39980,64,11.4134,11.3497,11.2205,11.3229,11.3421,11.2525,11.3935,11.3485
G28,2000,2000,39980,64,11.4329,11.2914,11.4665,11.4175,11.4163,11.3234,11.3362,11.3131
G29,2000,2000,39980,64,11.4158,11.2992,11.4365,11.3696,11.3268,11.3552,11.3977,11.1589
G2_circuit,150102,150102,726674,64,1.97698,2.09008,2.0922,2.14026,2.06887,2.14217,2.08473,1.8424
G3,800,800,38352,64,12.2728,12.2466,12.6284,12.2583,12.6149,12.6111,12.2895,12.6188
