matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,6.96614,6.88675,6.88383,6.86634,6.8758,6.79109,6.924,6.69184
144,144649,144649,2148786,8,5.94799,5.83286,5.76198,5.9951,6.01963,5.94382,6.29935,4.91817
2cubes_sphere,101492,101492,1647264,8,6.16026,6.2135,6.29916,6.45573,6.34662,6.39567,6.65304,6.31493
333SP,3712815,3712815,22217266,8,4.35586,4.76546,3.37874,4.80088,4.42259,4.30022,5.72095,2.43038
3dtube,45330,45330,3213618,8,5.4876,5.51477,5.57631,5.51445,5.51458,5.52117,5.6097,5.60552
3elt,4720,4720,27444,8,7.60806,7.42524,7.21092,7.42654,7.14548,7.35169,7.5275,7.39485
3elt_dual,9000,9000,26556,8,6.74552,6.49129,6.49311,6.468,6.45997,6.61629,6.67519,6.39457
494_bus,494,494,1666,8,6.47199,6.45164,6.56498,6.3502,6.44903,6.25385,6.49355,6.38263
598a,110971,110971,1483868,8,5.92729,5.26321,5.82624,5.82696,5.9846,5.74319,6.1955,4.48153
662_bus,662,662,2474,8,6.86944,6.52161,6.63716,6.40069,6.5725,6.7901,7.02176,7.02966
685_bus,685,685,3249,8,6.82324,6.85895,6.90542,6.8352,6.84931,6.87225,6.9519,6.90053
ACTIVSg70K,69999,69999,238627,8,3.51929,3.52772,3.51115,3.59537,3.57177,3.53472,3.51275,3.53931
AS365,3799275,3799275,22736152,8,3.96285,3.83556,3.01255,4.12618,3.62278,3.59787,5.04899,1.60551
Alemdar,6245,6245,42581,8,7.4184,6.02888,6.24805,5.98368,5.84384,,6.285,6.30608
Andrews,60000,60000,760154,8,5.26092,5.40787,5.54887,5.55729,5.73814,5.44592,5.63367,4.83557
BenElechi1,245874,245874,13150496,8,5.82978,5.85541,5.961,5.85176,5.96075,5.94106,5.87983,5.95327
Binaryalphadigs_10NN,1404,1404,19392,8,6.19875,6.17035,6.36738,6.25326,6.2567,6.22544,6.37323,6.12166
Bump_2911,2911419,2911419,127729899,8,5.52635,5.92295,5.6758,5.97311,5.97031,5.96635,5.95605,5.98745
CO,221119,221119,7666057,8,5.76475,6.1241,6.04916,6.17716,6.12618,6.00033,6.20739,6.18505
Chem97ZtZ,2541,2541,7361,8,5.71284,5.68792,5.86077,5.64801,5.81046,5.75847,5.64079,5.72043
Cube_Coup_dt0,2164760,2164760,127206144,8,5.37213,5.60545,5.54076,5.66586,5.63407,5.61029,5.67187,5.67255
Cube_Coup_dt6,2164760,2164760,127206144,8,5.37553,5.59183,5.5398,5.66969,5.63427,5.61107,5.67296,5.67211
CurlCurl_0,11083,11083,113343,8,7.24966,7.39005,7.097,7.42926,7.16704,6.96887,7.36104,7.83578
CurlCurl_1,226451,226451,2472071,8,6.22149,7.21323,6.24503,6.84106,6.70572,6.93094,7.6261,7.87592
CurlCurl_2,806529,806529,8921789,8,5.2859,6.96359,5.75528,6.78245,6.84083,6.73294,7.48415,7.79017
CurlCurl_3,1219574,1219574,13544618,8,4.98271,6.57564,5.41946,6.38689,6.52907,6.47244,7.02361,7.22353
CurlCurl_4,2380515,2380515,26515867,8,4.64294,6.6126,4.92432,6.41017,6.5429,6.48593,7.05447,7.04419
Dubcova1,16129,16129,253009,8,6.94549,7.23696,6.85499,7.24449,7.03321,,7.26352,7.21418
Dubcova2,65025,65025,1030225,8,6.92368,7.13946,6.74012,7.15961,7.08052,6.3876,7.241,6.87453
Dubcova3,146689,146689,3636649,8,6.51488,6.41399,6.27316,6.48517,6.47053,6.33652,6.50885,6.49366
EX1,560,560,8736,8,6.86197,6.79844,6.9439,6.93139,6.88733,6.7541,7.04268,6.93769
EX2,560,560,8736,8,6.91778,6.84684,6.85154,6.89605,6.87648,6.84182,6.93976,6.92383
EX3,2600,2600,71760,8,6.2212,6.21552,6.06546,6.2455,6.23064,6.20221,6.3149,6.21119
EX4,2600,2600,71760,8,6.21517,6.21222,6.20638,6.25572,6.26038,6.20379,6.2923,6.25127
EX5,6545,6545,295680,8,6.13872,6.02645,6.01472,6.06564,6.11962,,6.20003,6.17331
EX6,6545,6545,295680,8,6.133,6.11228,6.01508,6.18179,6.11439,,6.21695,6.19827
Ecoli_10NN,336,336,4560,8,6.50944,6.48341,6.45302,6.39084,6.37168,6.50113,6.65147,6.4496
Emilia_923,923136,923136,41005206,8,5.76582,5.98196,5.88918,6.06873,6.13446,6.13744,6.08698,6.20552
Erdos02,6927,6927,16944,8,4.65793,4.45653,4.56676,4.38193,4.70639,4.40676,5.05307,4.71264
Erdos971,472,472,2628,8,,6.04745,6.46693,6.09304,6.27239,6.22503,6.25963,6.09627
Erdos972,5488,5488,14170,8,4.57891,4.28536,4.54079,4.43859,4.9683,4.50524,4.85676,4.88105
Erdos981,485,485,2762,8,,6.29097,6.21139,6.1882,6.15116,6.15716,6.4473,6.22568
Erdos982,5822,5822,14750,8,4.61244,4.38124,4.77746,4.3886,4.62543,4.33425,4.85863,5.00431
Erdos991,492,492,2834,8,6.29924,6.06257,6.22886,6.03433,5.80218,6.29253,6.28817,6.01246
Erdos992,6100,6100,15030,8,4.70822,4.46452,4.63284,4.4459,4.87776,4.70465,4.85018,4.8572
F1,343791,343791,26837113,8,5.31416,5.42603,5.41297,5.41464,5.45853,5.296,5.49164,5.27467
F2,71505,71505,5294285,8,5.52018,5.34958,5.50142,5.52613,5.51278,5.43528,5.54605,5.43368
Fashion_MNIST_norm_10NN,10000,10000,158304,8,6.06365,5.98294,6.03436,5.89498,6.00953,5.99173,6.12528,5.67965
Fault_639,638802,638802,28614564,8,5.79685,6.01378,5.91877,6.04036,6.13844,6.11366,6.04969,6.17279
Flan_1565,1564794,1564794,117406044,8,5.28719,5.38529,5.30764,5.39558,5.38589,5.31433,5.37936,5.38536
G1,800,800,38352,8,6.13276,6.00817,5.99389,6.08213,6.00041,6.02889,6.09042,6.10514
