matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,14.7908,14.5298,14.2289,14.3859,14.231,14.5432,14.5208,14.3403
144,144649,144649,2148786,64,11.2116,10.9724,12.4137,10.9501,12.0541,12.1175,14.0937,6.65193
2cubes_sphere,101492,101492,1647264,64,12.8426,15.5448,14.8127,15.9482,16.3756,15.9981,16.7447,14.6625
333SP,3712815,3712815,22217266,64,9.96549,9.6993,8.55715,9.81523,8.53108,8.82926,12.3273,4.65756
3dtube,45330,45330,3213618,64,20.7562,21.1187,20.9443,21.2618,21.338,21.1968,21.8969,21.2252
3elt,4720,4720,27444,64,16.2381,16.6641,15.3749,16.8354,15.9102,16.4528,16.8258,16.6051
3elt_dual,9000,9000,26556,64,12.7622,13.2693,12.7849,13.4535,13.1202,13.1841,14.1256,12.8729
494_bus,494,494,1666,64,13.9184,13.5224,13.8138,13.7376,13.8425,13.6528,13.7021,12.7948
598a,110971,110971,1483868,64,11.8617,10.9751,13.5557,10.7182,13.3948,12.4023,16.0527,5.54737
662_bus,662,662,2474,64,15.8481,15.2247,15.5481,15.1783,15.3984,15.438,15.4426,15.175
685_bus,685,685,3249,64,16.6286,16.2719,16.4184,16.4017,16.317,14.8026,16.1513,14.7048
ACTIVSg70K,69999,69999,238627,64,8.76197,9.31003,8.74136,9.1888,9.20507,9.15992,9.97047,8.95831
AS365,3799275,3799275,22736152,64,9.72942,8.04456,8.02952,8.1832,6.80925,7.11553,12.7095,3.13426
Alemdar,6245,6245,42581,64,16.3924,15.3259,16.0132,15.5937,16.7171,,16.8821,11.4823
Andrews,60000,60000,760154,64,11.706,10.3293,11.8405,10.2719,12.5483,12.3268,12.391,6.72732
BenElechi1,245874,245874,13150496,64,16.404,17.6198,17.4338,17.5975,17.5932,17.6752,16.8892,17.6931
Binaryalphadigs_10NN,1404,1404,19392,64,19.3085,19.3953,19.6407,19.3972,18.939,18.8707,18.9416,19.0552
Bump_2911,2911419,2911419,127729899,64,14.8715,16.6591,15.0107,16.9339,16.954,16.9893,16.0011,16.5706
CO,221119,221119,7666057,64,11.2098,14.7283,13.456,14.7721,14.9487,14.0698,12.7822,14.7665
Chem97ZtZ,2541,2541,7361,64,16.9738,16.5673,16.7827,16.623,16.967,15.4815,16.654,14.6603
Cube_Coup_dt0,2164760,2164760,127206144,64,15.6732,17.063,16.0761,16.9754,17.1422,17.1125,16.6389,16.6761
Cube_Coup_dt6,2164760,2164760,127206144,64,15.7139,17.0752,16.0213,17.1199,17.1157,17.1349,16.6542,16.6179
CurlCurl_0,11083,11083,113343,64,16.5653,17.8249,15.6196,17.7461,17.5301,17.4418,18.3499,17.7273
CurlCurl_1,226451,226451,2472071,64,10.0248,13.9939,11.5505,13.8442,14.1318,13.9875,14.3329,13.8972
CurlCurl_2,806529,806529,8921789,64,9.31759,13.9399,11.0687,13.6219,14.0122,13.836,13.8395,13.346
CurlCurl_3,1219574,1219574,13544618,64,9.1246,13.7504,11.4602,13.6228,13.9163,13.7446,13.4714,13.0629
CurlCurl_4,2380515,2380515,26515867,64,8.87537,13.7062,10.591,13.5689,13.8842,13.6863,13.1979,12.7562
Dubcova1,16129,16129,253009,64,18.5451,17.7713,18.4042,17.8267,18.1903,,19.5755,16.8609
Dubcova2,65025,65025,1030225,64,15.3737,16.1764,16.4986,14.8458,16.752,15.2027,16.9404,13.7546
Dubcova3,146689,146689,3636649,64,15.517,15.0201,15.2171,15.1654,15.3279,15.1396,16.2231,13.1496
EX1,560,560,8736,64,18.1322,18.3623,20.6215,18.2938,20.2859,20.4309,18.339,17.5446
EX2,560,560,8736,64,17.9894,17.5134,20.6381,18.3294,20.3423,20.1179,18.1956,17.8241
EX3,2600,2600,71760,64,17.2568,19.3141,17.2132,19.5241,17.8459,16.5997,17.8588,17.896
EX4,2600,2600,71760,64,17.3267,19.246,17.1618,19.4074,17.6426,16.4583,18.7129,17.8664
EX5,6545,6545,295680,64,15.1257,16.6069,14.4163,18.2873,15.5434,,16.4064,18.9326
EX6,6545,6545,295680,64,15.0697,18.0747,14.7166,18.7859,14.5159,,16.2978,18.8759
Ecoli_10NN,336,336,4560,64,18.6947,18.9697,19.0397,18.7882,18.7171,18.8257,18.6862,20.284
Emilia_923,923136,923136,41005206,64,14.9493,16.2935,15.351,16.552,16.6513,16.6546,16.3854,16.4098
Erdos02,6927,6927,16944,64,12.4082,12.4698,11.2578,11.5398,10.5747,9.49706,12.5944,9.4475
Erdos971,472,472,2628,64,,15.9361,15.654,15.2198,15.6102,15.843,16.6163,15.5534
Erdos972,5488,5488,14170,64,11.7315,12.3102,11.9677,12.0671,11.3773,10.7342,12.7686,9.04681
Erdos981,485,485,2762,64,,16.5229,16.9078,16.6993,16.7192,15.9817,16.7517,14.9531
Erdos982,5822,5822,14750,64,11.866,11.4435,12.1987,11.4507,11.5414,10.6811,12.3625,10.2272
Erdos991,492,492,2834,64,17.5121,15.5961,15.6186,16.9397,15.455,16.214,17.0397,14.8982
Erdos992,6100,6100,15030,64,12.4925,12.3593,11.95,12.153,10.8143,10.3328,12.2259,10.0411
F1,343791,343791,26837113,64,16.0932,15.8977,16.2722,15.8424,16.1478,15.8681,16.7732,12.7076
F2,71505,71505,5294285,64,17.6036,17.3195,20.2948,19.8277,20.4764,19.7794,20.9154,17.8737
Fashion_MNIST_norm_10NN,10000,10000,158304,64,17.6679,16.3688,17.3759,15.4584,17.5379,15.3777,16.9166,8.78028
Fault_639,638802,638802,28614564,64,15.0863,16.5576,15.1257,16.6299,16.6846,16.7187,16.4085,16.4425
Flan_1565,1564794,1564794,117406044,64,16.6572,17.489,16.3099,17.57,17.6019,17.5726,17.4571,17.3929
G1,800,800,38352,64,20.2892,20.2431,20.7167,20.4609,20.2011,20.2255,18.0164,20.215
G10,800,800,38352,64,20.0898,20.2859,20.5627,18.6657,20.2125,20.2391,20.2794,20.0934
G11,800,800,3200,64,19.2573,20.1657,18.3828,20.4697,18.8416,19.4264,19.2306,16.981
G12,800,800,3200,64,18.1702,19.1505,18.7439,18.7775,18.4235,19.3278,18.8111,15.859
G13,800,800,3200,64,19.0893,19.3073,17.8624,19.3288,18.1974,18.7316,19.5207,15.3008
G14,800,800,9388,64,19.5129,19.3309,19.6873,19.4047,18.6957,18.8974,19.0446,18.6952
G15,800,800,9322,64,19.6931,18.803,19.3627,19.1111,18.735,18.938,18.9309,15.6723
G16,800,800,9344,64,19.5911,19.4137,19.3624,19.1953,18.7595,18.9213,19.004,14.3862
G17,800,800,9334,64,19.5811,19.1921,19.4348,19.465,18.9123,18.9223,18.9854,18.6505
G18,800,800,9388,64,19.6728,19.4781,19.4047,19.4391,18.7649,18.7693,18.833,18.5941
G19,800,800,9322,64,19.3955,19.5139,19.2028,19.3718,18.8477,18.6319,18.9877,15.4134
G2,800,800,38352,64,19.6794,20.1009,20.57,20.3244,20.3238,20.2261,18.4502,20.2519
G20,800,800,9344,64,19.5243,19.3985,19.4199,19.446,18.8037,19.0809,19.0769,15.2588
G21,800,800,9334,64,19.7158,19.4871,19.563,19.4048,18.9276,18.821,19.0565,18.2607
G22,2000,2000,39980,64,15.948,15.6691,16.4309,15.9233,15.8822,15.6398,15.9508,15.0452
G23,2000,2000,39980,64,16.049,15.7505,16.4751,15.7127,16.2575,15.5923,15.3767,15.712
G24,2000,2000,39980,64,16.3511,15.5443,16.0115,15.5073,16.2409,15.8669,16.3981,15.7513
G25,2000,2000,39980,64,16.4793,15.4671,15.9866,15.03,15.9634,14.6433,16.0132,15.7531
G26,2000,2000,39980,64,16.4689,15.3194,16.3998,15.4938,15.6522,15.9403,16.1667,15.8368
G27,2000,2000,39980,64,16.276,15.5846,16.1176,15.9217,16.3181,15.4638,16.2082,15.3804
G28,2000,2000,39980,64,16.4278,14.2033,16.1151,15.6545,15.9221,15.5303,16.1897,15.1699
G29,2000,2000,39980,64,16.3079,15.8938,16.2593,16.029,15.681,15.9206,15.905,15.6096
G2_circuit,150102,150102,726674,64,8.85724,12.0945,9.6907,12.103,12.2118,12.2712,12.3507,12.0479
G3,800,800,38352,64,20.156,20.2413,20.7346,20.3175,20.1785,19.9041,18.3894,17.5586
G30,2000,2000,39980,64,15.5207,15.9889,16.3482,15.6593,15.5467,15.856,15.8819,15.4959
G31,2000,2000,39980,64,15.9655,15.475,16.366,15.5953,16.2265,15.2093,14.2872,15.6456
G32,2000,2000,8000,64,17.5343,18.9703,17.2514,19.4086,18.1438,18.3132,19.4134,17.8809
G33,2000,2000,8000,64,17.669,19.2225,18.0918,18.4678,18.5007,18.1269,18.5383,17.9892
G34,2000,2000,8000,64,16.3356,17.4398,17.4335,17.432,18.0478,18.2541,17.5129,17.6807
G35,2000,2000,23556,64,17.1784,16.3802,16.931,16.7596,17.0022,16.2947,16.3943,15.8199
G36,2000,2000,23532,64,16.7585,16.657,17.0602,16.38,17.1214,15.8087,16.313,15.7647
G37,2000,2000,23570,64,17.378,16.5956,16.8268,16.7712,17.1918,16.2608,16.4206,14.5122
G38,2000,2000,23558,64,17.1156,16.6541,17.2071,16.639,17.1624,16.1164,16.3731,15.6981
G39,2000,2000,23556,64,17.0233,16.6089,17.2054,16.5081,16.9663,16.0486,16.4897,15.4338
G3_circuit,1585478,1585478,7660826,64,7.87892,12.293,8.16397,12.325,12.4138,12.4209,11.8118,11.6089
G4,800,800,38352,64,20.2725,19.9255,20.6821,20.3716,20.2457,20.2724,20.3539,20.2575
G40,2000,2000,23532,64,17.3115,16.8059,17.338,16.2696,17.1022,16.1628,15.8033,15.1682
G41,2000,2000,23570,64,17.0961,16.5344,17.224,16.7612,17.2306,16.0614,15.8045,14.4622
G42,2000,2000,23558,64,17.0189,16.4537,17.0771,16.4701,17.0692,16.1933,16.4516,14.8922
G43,1000,1000,19980,64,19.2948,19.0037,17.6875,18.796,19.047,17.3817,19.006,17.0717
G44,1000,1000,19980,64,19.4953,18.939,19.2735,18.9528,18.9537,18.9231,19.2044,16.9772
G45,1000,1000,19980,64,17.2542,18.8723,19.5481,17.7306,17.3736,18.8671,17.4298,16.9946
G46,1000,1000,19980,64,19.3868,17.1703,19.5162,19.1002,19.1595,18.9272,19.0544,16.8698
G47,1000,1000,19980,64,17.5686,17.244,19.5615,18.9765,17.4257,17.3724,19.1086,16.2749
G48,3000,3000,12000,64,,17.929,17.2739,17.6233,17.7006,18.2236,18.9055,17.5413
G49,3000,3000,12000,64,,18.318,17.412,18.0459,17.8196,18.0998,19.6688,17.7357
G5,800,800,38352,64,20.3267,20.3086,18.6874,20.2672,20.1009,20.2222,20.3009,20.3225
G50,3000,3000,12000,64,17.3864,18.2847,16.5535,17.807,17.8476,17.9405,18.9224,17.2865
G51,1000,1000,11818,64,17.6929,17.5299,18.637,19.1683,18.4815,17.7724,17.3495,17.6186
G52,1000,1000,11832,64,18.021,17.536,19.137,17.5546,17.7137,17.2816,17.1039,17.5835
G53,1000,1000,11828,64,19.3627,19.3043,18.032,19.0706,17.835,18.6003,18.8434,16.4281
G54,1000,1000,11832,64,19.4369,18.5833,17.8687,18.2632,18.4815,17.0389,17.1825,17.5431
G55,5000,5000,24996,64,11.509,11.4053,11.0883,11.1798,11.6264,10.6798,11.7047,9.7512
G56,5000,5000,24996,64,11.3778,11.3581,11.1715,11.4869,11.6554,10.6834,11.7065,9.89102
G57,5000,5000,20000,64,14.9178,15.8627,14.8419,15.113,16.6487,16.5003,15.8552,16.4807
G58,5000,5000,59140,64,14.2508,13.7829,14.1254,13.8158,14.0907,12.8602,12.9323,11.7613
G59,5000,5000,59140,64,14.1279,13.0325,14.1378,13.7828,14.2339,12.8957,13.0396,11.7996
G6,800,800,38352,64,20.2442,19.7697,20.7615,20.2586,20.1582,20.0949,20.0103,20.2544
G60,7000,7000,34296,64,10.9303,10.6989,10.6462,10.8653,11.0991,10.0411,11.0509,9.23737
G61,7000,7000,34296,64,10.9342,10.7484,10.641,10.7876,11.0704,10.0875,11.1431,9.23238
G62,7000,7000,28000,64,15.2699,16.5599,14.221,16.7073,14.957,16.3225,16.8494,16.2947
G63,7000,7000,82918,64,13.4226,13.0986,13.5338,12.9307,13.3574,11.9425,12.2434,10.8065
G64,7000,7000,82918,64,13.4663,13.0525,13.6243,13.0213,13.269,11.8257,12.1693,10.8634
G65,8000,8000,32000,64,15.3538,16.6974,14.5089,15.3924,16.063,16.1635,16.7316,15.5188
G66,9000,9000,36000,64,14.6335,16.1843,14.7403,15.5634,15.8339,15.849,16.5622,15.5248
G67,10000,10000,40000,64,14.5172,15.9499,12.8232,15.2689,14.3467,15.2807,16.3656,15.4889
G7,800,800,38352,64,20.1329,20.2996,20.7413,20.3889,20.3192,20.2425,20.3095,20.2821
G8,800,800,38352,64,20.2675,20.3297,20.7065,20.2809,20.1421,20.1921,20.2843,20.253
G9,800,800,38352,64,20.218,20.2012,20.5788,20.3432,20.3231,20.1796,20.3504,19.5271
GAP-road,23947347,23947347,57708624,64,6.81319,6.65233,5.74375,6.47697,5.32529,5.33302,7.86969,5.13282
