matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,256,18.1909,17.3224,17.5187,17.5712,18.2475,14.6151,16.5283,16.6603
144,144649,144649,2148786,256,10.5705,11.2222,12.3291,11.4858,10.9655,11.8465,11.8548,5.12473
2cubes_sphere,101492,101492,1647264,256,10.361,12.9219,12.3347,13.4652,13.433,13.3743,13.5008,11.484
333SP,3712815,3712815,22217266,256,10.2919,7.5398,8.35301,8.01772,6.63623,6.59133,11.2668,4.39302
3dtube,45330,45330,3213618,256,17.4244,18.1483,18.0539,18.1312,18.1393,18.0277,18.5033,18.5304
3elt,4720,4720,27444,256,14.6353,15.3211,15.3037,14.6686,14.9714,14.7919,16.657,12.4335
3elt_dual,9000,9000,26556,256,9.89631,9.10217,9.30167,9.01987,9.29738,9.79093,11.9118,9.26054
494_bus,494,494,1666,256,19.1868,17.4578,17.2588,17.5876,18.619,18.7042,17.423,16.574
598a,110971,110971,1483868,256,10.4082,10.6188,11.9095,9.74766,11.3079,11.4217,11.9319,3.93162
662_bus,662,662,2474,256,19.7883,16.2772,18.9101,18.4634,17.9363,17.7955,18.6185,14.415
685_bus,685,685,3249,256,18.593,18.4347,19.3207,19.5404,18.4648,18.0224,19.2646,18.8256
ACTIVSg70K,69999,69999,238627,256,8.50339,8.78135,8.45207,8.72896,8.87555,8.79163,9.61425,8.68988
AS365,3799275,3799275,22736152,256,10.253,5.56277,8.70395,6.16397,4.75209,4.77371,9.93716,3.07563
Alemdar,6245,6245,42581,256,15.4021,12.1077,14.6705,12.4231,14.2895,,15.219,11.0221
Andrews,60000,60000,760154,256,8.37733,9.97109,8.68296,9.93105,10.8548,10.5427,8.41617,3.8653
BenElechi1,245874,245874,13150496,256,18.3261,18.5991,18.3685,18.6317,18.596,18.5207,18.697,18.5927
Binaryalphadigs_10NN,1404,1404,19392,256,19.2444,17.8052,17.9854,18.735,19.1932,17.5667,16.942,17.5906
Bump_2911,2911419,2911419,127729899,256,15.7066,17.0154,16.0476,17.6183,17.6511,17.962,16.402,16.6699
CO,221119,221119,7666057,256,9.15145,13.7,13.1963,9.96467,13.9398,13.2911,9.15011,9.83811
Chem97ZtZ,2541,2541,7361,256,14.1587,13.3404,13.1542,13.4321,13.652,13.7609,13.6728,13.4477
Cube_Coup_dt0,2164760,2164760,127206144,256,16.9098,18.1853,16.7875,17.495,18.4245,18.3208,17.045,16.5866
Cube_Coup_dt6,2164760,2164760,127206144,256,16.7423,17.8367,16.7825,17.8455,18.3684,18.3208,17.0096,17.0305
CurlCurl_0,11083,11083,113343,256,15.4356,16.9239,15.5776,15.9316,14.3822,15.2077,15.5082,15.7093
