matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,22.8295,40.0977,32.3512,36.2852,49.6571,50.1849,31.9331,24.4309
144,144649,144649,2148786,64,28.38,36.8668,34.742,35.6054,37.647,37.4085,35.3298,16.8962
2cubes_sphere,101492,101492,1647264,64,31.3681,40.8827,39.8764,41.8634,42.4333,42.2779,41.9895,40.0709
333SP,3712815,3712815,22217266,64,15.9312,14.9424,15.3096,16.6371,11.7023,12.0037,19.3299,9.1466
3dtube,45330,45330,3213618,64,101.475,116.572,108.409,110.169,119.139,117.214,122.409,113.988
3elt,4720,4720,27444,64,32.028,73.0456,54.8271,70.4961,70.0044,69.8515,68.2501,63.7771
3elt_dual,9000,9000,26556,64,26.2909,73.3512,30.3904,62.3231,72.3379,53.6909,78.4285,64.2567
494_bus,494,494,1666,64,22.4,26.9936,28.1666,26.8575,24.0961,30.3346,25.3865,15.6226
598a,110971,110971,1483868,64,28.6425,32.8218,32.276,31.6816,35.3193,35.7941,37.983,14.48
662_bus,662,662,2474,64,24.7786,29.2947,27.7537,29.6789,35.3033,35.3033,26.193,22.4113
685_bus,685,685,3249,64,27.3782,34.1436,36.3173,43.3197,37.9452,36.898,33.8108,32.1633
ACTIVSg70K,69999,69999,238627,64,14.8816,20.4816,21.6585,19.1113,20.336,23.0511,26.7095,24.1233
AS365,3799275,3799275,22736152,64,16.229,12.2636,15.6171,13.7725,9.13858,9.25928,21.5054,8.21204
Alemdar,6245,6245,42581,64,39.5123,48.6722,40.943,52.1312,63.539,,59.3716,24.833
Andrews,60000,60000,760154,64,28.7869,38.7342,29.7495,38.3431,40.1933,42.0735,32.8958,22.6273
BenElechi1,245874,245874,13150496,64,114.713,124.205,119.86,125.122,124.878,122.076,127.325,129.907
Binaryalphadigs_10NN,1404,1404,19392,64,42.3002,43.026,44.1504,42.8257,43.823,45.4528,44.3325,39.8871
Bump_2911,2911419,2911419,127729899,64,62.2405,72.0117,62.0084,90.5493,103.445,104.319,78.8567,84.7052
