matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.12008,2.05755,2.09841,2.08211,2.09259,2.01993,2.0567,2.07305
144,144649,144649,2148786,8,2.48901,2.3906,2.46229,2.38728,2.36405,2.40492,2.50342,2.34161
2cubes_sphere,101492,101492,1647264,8,3.09717,3.03045,3.05641,3.09285,3.0492,3.06257,3.03443,3.03038
333SP,3712815,3712815,22217266,8,0.996527,1.11907,0.901886,1.11361,1.11029,1.11086,1.1328,0.599335
3dtube,45330,45330,3213618,8,3.11603,3.12358,3.10522,3.13401,3.15135,3.1378,3.15274,3.0249
3elt,4720,4720,27444,8,3.29732,3.1771,3.21339,3.38149,3.21016,3.2366,3.14187,3.19729
3elt_dual,9000,9000,26556,8,3.18208,3.23683,3.08867,3.15502,3.18568,3.11338,3.24707,3.19583
494_bus,494,494,1666,8,2.04762,2.0351,2.01419,2.02091,2.05331,2.01023,1.94984,1.97292
598a,110971,110971,1483868,8,2.48656,2.97886,2.9754,2.86191,2.83542,2.83394,2.86699,2.18682
662_bus,662,662,2474,8,2.26065,2.12462,2.15142,2.21696,2.16141,2.21289,2.23853,2.22096
685_bus,685,685,3249,8,2.32227,2.16384,2.31348,2.28943,2.2818,2.23357,2.32706,2.24755
ACTIVSg70K,69999,69999,238627,8,2.23979,2.23448,2.19778,2.23493,2.23371,2.23118,2.1714,2.23808
AS365,3799275,3799275,22736152,8,0.979058,1.00191,0.896459,1.06709,1.06542,1.0647,1.16623,0.423702
Alemdar,6245,6245,42581,8,3.35433,3.12205,3.08709,3.05274,2.9856,,2.97399,2.99073
Andrews,60000,60000,760154,8,2.76443,3.08892,3.13664,3.23272,3.24228,3.19838,3.20267,2.83655
BenElechi1,245874,245874,13150496,8,2.25172,2.27667,2.27163,2.2915,2.27358,2.27719,2.28498,2.30683
Binaryalphadigs_10NN,1404,1404,19392,8,3.228,3.229,3.1509,3.22984,3.15339,3.15417,3.21615,3.15917
Bump_2911,2911419,2911419,127729899,8,1.91143,2.06241,1.91081,2.06892,2.08223,2.07598,2.06015,2.05971
CO,221119,221119,7666057,8,2.05818,2.1706,2.14449,2.05378,2.1281,2.16956,2.1557,2.05899
Chem97ZtZ,2541,2541,7361,8,2.91106,2.91417,2.87624,2.90181,3.00488,2.92169,2.82221,3.04229
Cube_Coup_dt0,2164760,2164760,127206144,8,2.09567,2.1948,2.09223,2.16362,2.22239,2.21692,2.17838,2.17992
Cube_Coup_dt6,2164760,2164760,127206144,8,2.10243,2.18357,2.09035,2.17856,2.14487,2.23007,2.09849,2.17234
CurlCurl_0,11083,11083,113343,8,3.45499,3.4958,3.44202,3.24114,3.43793,3.44186,3.47957,3.42054
CurlCurl_1,226451,226451,2472071,8,2.11968,2.07141,2.03907,2.06641,2.09506,2.08596,2.0395,2.04326
CurlCurl_2,806529,806529,8921789,8,1.13884,1.54259,1.33046,1.5525,1.59091,1.55038,1.27758,1.27333
CurlCurl_3,1219574,1219574,13544618,8,1.0752,1.43681,1.29966,1.44351,1.49398,1.47326,1.23021,1.34828
CurlCurl_4,2380515,2380515,26515867,8,0.967066,1.35651,1.20514,1.36192,1.44494,1.40927,1.22656,1.40759
Dubcova1,16129,16129,253009,8,3.74617,3.87482,3.82978,3.56957,3.87054,,3.87502,3.7955
Dubcova2,65025,65025,1030225,8,3.72137,3.83999,3.83928,3.63594,3.77447,3.82362,3.77953,3.64591
Dubcova3,146689,146689,3636649,8,2.31557,2.42691,2.34774,2.38869,2.41917,2.38739,2.33309,2.48424
EX1,560,560,8736,8,3.4242,3.39146,3.48751,3.41675,3.36073,3.37069,3.4958,3.34448
EX2,560,560,8736,8,3.42689,3.39832,3.40901,3.41685,3.40619,3.38368,3.45561,3.3608
EX3,2600,2600,71760,8,3.78325,3.81286,3.87246,3.92887,3.92864,3.98315,3.77698,3.93137
EX4,2600,2600,71760,8,3.98008,3.92177,3.92213,3.85581,3.92886,3.75832,3.98751,3.93561
EX5,6545,6545,295680,8,3.92128,3.91338,3.91831,3.92302,3.91875,,3.9151,3.92588
EX6,6545,6545,295680,8,3.92767,3.91975,3.87387,3.92251,3.92243,,3.90982,3.91872
Ecoli_10NN,336,336,4560,8,3.10283,3.09859,3.10335,3.03066,3.10455,3.08514,3.09233,3.06477
Emilia_923,923136,923136,41005206,8,2.03541,2.106,2.01879,2.12194,2.15345,2.13125,2.10899,2.1107
Erdos02,6927,6927,16944,8,2.39031,2.2639,2.40629,2.22823,1.99754,1.9829,2.51341,2.04229
Erdos971,472,472,2628,8,,2.44878,2.58999,2.49189,2.48644,2.52952,2.47065,2.47604
Erdos972,5488,5488,14170,8,2.3548,2.18757,2.33925,2.07124,1.9909,2.08993,2.49291,2.14314
Erdos981,485,485,2762,8,,2.5264,2.60215,2.46664,2.58919,2.51102,2.38785,2.52023
Erdos982,5822,5822,14750,8,2.37621,2.15348,2.28297,2.17899,2.04055,2.11356,2.44986,2.02951
Erdos991,492,492,2834,8,2.4994,2.48718,2.54384,2.48676,2.50297,2.49265,2.46986,2.51701
Erdos992,6100,6100,15030,8,2.3837,2.20511,2.40362,2.17363,2.01549,2.09268,2.43993,2.09573
F1,343791,343791,26837113,8,2.26672,2.26037,2.27436,2.25639,2.29229,2.27082,2.28281,2.14856
F2,71505,71505,5294285,8,2.48336,2.52328,2.55301,2.40615,2.51712,2.52071,2.51673,2.51942
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.44408,3.42747,3.44527,3.42788,3.43006,3.42988,3.36899,3.39985
Fault_639,638802,638802,28614564,8,2.06095,2.1215,2.01943,2.1444,2.14001,2.17869,2.09292,2.1069
Flan_1565,1564794,1564794,117406044,8,2.14231,2.24228,2.19971,2.30717,2.3054,2.35004,2.28424,2.30102
G1,800,800,38352,8,3.78046,3.76166,3.77202,3.77369,3.69604,3.76778,3.77211,3.69473
G10,800,800,38352,8,3.74771,3.77313,3.76848,3.76988,3.76975,3.77325,3.77344,3.76702
G11,800,800,3200,8,3.28458,3.29284,3.15177,3.29644,3.31153,3.28752,3.28458,3.2205
G12,800,800,3200,8,3.27596,3.23619,3.31088,3.27012,3.29575,3.29239,3.30109,3.25372
G13,800,800,3200,8,3.17737,3.26323,3.12614,3.11755,3.1632,3.21387,3.27114,3.16479
G14,800,800,9388,8,3.07042,3.08512,3.02795,3.09026,3.03224,3.05953,3.11015,3.08201
G15,800,800,9322,8,3.06129,3.05039,3.07068,3.07143,3.06305,3.08394,3.11356,3.05977
G16,800,800,9344,8,3.06877,3.08619,3.04736,3.08306,3.06298,3.07982,3.11668,3.03371
G17,800,800,9334,8,3.05606,3.07868,2.99233,3.07431,3.0328,3.07393,3.13709,3.09207
G18,800,800,9388,8,3.07779,3.07873,2.97254,3.09349,3.00038,3.07067,3.12379,3.0438
G19,800,800,9322,8,3.07005,3.07384,3.05589,3.07956,3.06444,3.08491,3.11649,3.03488
G2,800,800,38352,8,3.78206,3.73299,3.76815,3.73687,3.6928,3.77301,3.77376,3.76591
G20,800,800,9344,8,3.07223,3.00028,3.04619,3.07945,3.07868,3.07369,3.10729,3.00686
G21,800,800,9334,8,3.06561,3.07729,3.01011,3.07199,3.02359,3.07939,3.09906,3.09143
G22,2000,2000,39980,8,3.42518,3.44862,3.37635,3.43237,3.41899,3.43646,3.38921,3.38113
G23,2000,2000,39980,8,3.4401,3.41206,3.4334,3.44627,3.3804,3.40961,3.45614,3.43126
G24,2000,2000,39980,8,3.41523,3.44466,3.43626,3.42643,3.4343,3.44243,3.45478,3.43384
G25,2000,2000,39980,8,3.44229,3.4434,3.42276,3.44674,3.43349,3.44566,3.45357,3.42906
G26,2000,2000,39980,8,3.44878,3.44925,3.435,3.44443,3.43233,3.44975,3.45409,3.43005
G27,2000,2000,39980,8,3.4429,3.44771,3.37409,3.44437,3.42425,3.45187,3.45172,3.43075
G28,2000,2000,39980,8,3.44949,3.45008,3.43408,3.41644,3.43331,3.44986,3.45441,3.42959
G29,2000,2000,39980,8,3.44863,3.44421,3.42434,3.45364,3.43533,3.41037,3.45465,3.42987
