matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,31.7436,32.3996,35.4933,32.6812,43.511,41.8477,31.3618,28.755
144,144649,144649,2148786,64,79.6184,64.7224,91.2138,77.523,90.1903,91.808,88.4734,43.1039
2cubes_sphere,101492,101492,1647264,64,96.8027,115.607,124.999,124.893,132.762,123.962,123.489,110.141
333SP,3712815,3712815,22217266,64,32.9113,26.4945,33.7372,28.1617,23.2391,26.2529,33.4413,17.8737
3dtube,45330,45330,3213618,64,182.642,197.367,174.63,194.712,198.223,189.146,204.403,198.461
3elt,4720,4720,27444,64,47.8021,89.955,66.165,74.2875,89.0339,91.117,63.7804,83.3037
3elt_dual,9000,9000,26556,64,24.1247,72.3119,34.3329,62.5825,58.8397,46.9012,61.6148,64.157
494_bus,494,494,1666,64,22.0184,21.3526,23.7947,25.2574,21.0719,24.9238,22.5183,16.8949
598a,110971,110971,1483868,64,88.8916,31.3951,108.294,53.4976,77.5672,81.9502,82.2498,39.636
662_bus,662,662,2474,64,22.9356,25.35,28.2743,27.3914,25.7331,26.8708,26.5598,22.4781
685_bus,685,685,3249,64,32.7381,34.8623,33.7915,34.0879,30.5631,35.3392,32.1783,30.936
ACTIVSg70K,69999,69999,238627,64,36.3605,88.0111,43.9864,81.3847,100.336,39.1725,78.7229,77.5101
AS365,3799275,3799275,22736152,64,31.576,21.764,32.6137,23.4698,17.6316,16.9826,34.4515,16.8435
Alemdar,6245,6245,42581,64,61.2649,64.1061,69.1197,62.2217,81.412,,73.2655,42.7229
Andrews,60000,60000,760154,64,69.1229,64.3615,85.2267,61.1334,75.5005,60.4227,69.1762,46.6223
BenElechi1,245874,245874,13150496,64,214.141,214.973,201.937,222.525,216.718,216.091,217.818,221.276
Binaryalphadigs_10NN,1404,1404,19392,64,76.8048,75.8171,75.9679,80.8948,71.8721,74.9585,72.1332,71.8139
