matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,256,16.4879,16.3718,16.7919,16.615,16.7891,16.9101,15.0019,15.2916
144,144649,144649,2148786,256,13.0724,11.034,13.9996,10.9847,11.7541,11.7305,13.1869,6.54671
2cubes_sphere,101492,101492,1647264,256,13.2744,13.4752,14.3124,13.7428,14.1222,13.8011,14.3669,12.3388
333SP,3712815,3712815,22217266,256,11.6901,8.68442,10.6932,9.17879,7.8066,7.7541,11.5031,5.6238
3dtube,45330,45330,3213618,256,14.7355,15.2947,15.1669,15.237,15.1087,15.3021,15.2859,15.264
3elt,4720,4720,27444,256,18.143,17.6587,17.5835,15.9318,18.4224,18.4334,16.3584,15.529
3elt_dual,9000,9000,26556,256,12.0228,12.2801,12.2593,12.224,12.1861,12.4306,12.2723,11.3114
494_bus,494,494,1666,256,16.9632,15.7178,16.7016,16.1311,16.7193,16.3697,14.9231,14.5291
598a,110971,110971,1483868,256,12.7669,10.173,13.5863,9.83243,10.9864,10.8752,13.332,5.35761
662_bus,662,662,2474,256,16.9816,16.0399,15.9772,16.7109,16.6826,16.9518,14.9478,14.4525
685_bus,685,685,3249,256,18.2938,17.826,18.1435,17.7617,18.1178,18.0788,16.5424,17.0646
ACTIVSg70K,69999,69999,238627,256,9.56469,10.1367,9.4261,10.1399,10.0293,10.0196,9.71527,9.74704
AS365,3799275,3799275,22736152,256,11.508,7.07785,10.3435,7.57988,5.99047,6.03631,11.4619,4.11499
Alemdar,6245,6245,42581,256,17.2001,13.6115,16.9704,13.8417,14.7753,,15.9467,11.3436
Andrews,60000,60000,760154,256,10.6354,9.69644,10.7221,9.68357,10.55,10.4282,10.0509,5.20071
BenElechi1,245874,245874,13150496,256,15.2006,15.7341,15.7581,15.6905,15.8442,15.6768,15.8766,15.9827
Binaryalphadigs_10NN,1404,1404,19392,256,17.6376,16.3504,17.7229,16.5854,16.4867,15.8666,15.28,15.3937
Bump_2911,2911419,2911419,127729899,256,16.4427,17.068,16.0285,17.2002,17.3518,17.4798,16.3527,17.1404
CO,221119,221119,7666057,256,11.1378,13.8203,13.2174,11.5769,14.212,13.5039,11.0451,11.3451
Chem97ZtZ,2541,2541,7361,256,16.1807,16.215,16.0837,16.0405,15.279,15.4472,16.2761,15.1318
Cube_Coup_dt0,2164760,2164760,127206144,256,14.7659,15.1969,14.965,15.299,15.2451,15.0795,14.9036,14.9945
Cube_Coup_dt6,2164760,2164760,127206144,256,14.6077,15.1191,14.7238,15.2578,15.2726,15.0274,14.9312,15.1534
CurlCurl_0,11083,11083,113343,256,15.0258,15.9881,15.6658,16.1341,15.9991,15.6969,15.1961,15.7582
