matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,12.0361,11.9197,12.0556,12.1009,12.0784,12.1346,12.1833,12.0585
144,144649,144649,2148786,64,7.87774,9.04974,9.77345,8.79179,9.54146,9.10505,11.3229,4.57824
2cubes_sphere,101492,101492,1647264,64,8.57059,10.007,9.39978,10.1026,11.0,10.983,11.682,9.13706
333SP,3712815,3712815,22217266,64,7.37591,8.61429,5.89792,8.82432,6.60497,6.67018,11.355,3.46296
3dtube,45330,45330,3213618,64,14.5567,14.7762,14.5633,14.4899,14.8203,14.4885,15.2957,14.5554
3elt,4720,4720,27444,64,14.0971,14.2901,13.9974,14.3351,14.4325,14.4461,14.6765,13.7574
3elt_dual,9000,9000,26556,64,13.0411,13.1615,12.8222,13.0712,13.2473,13.1604,13.9008,12.5546
494_bus,494,494,1666,64,12.5131,12.1481,11.8768,13.0978,12.7677,12.8758,12.8836,12.4613
598a,110971,110971,1483868,64,8.21573,8.10814,9.19791,8.21831,8.49587,9.10593,11.8553,3.60679
662_bus,662,662,2474,64,12.5917,12.5222,12.3602,12.463,12.4288,12.3754,12.7289,12.0357
685_bus,685,685,3249,64,13.2229,12.8347,12.9021,12.9955,12.4311,12.5402,12.446,12.7796
ACTIVSg70K,69999,69999,238627,64,6.65745,6.40395,6.375,6.88758,6.36145,6.40453,8.22802,5.9681
AS365,3799275,3799275,22736152,64,7.20407,6.99406,5.60121,7.28818,4.85389,4.87859,12.1679,2.19596
Alemdar,6245,6245,42581,64,13.7823,12.8475,13.6051,12.822,13.5125,,13.687,10.3799
Andrews,60000,60000,760154,64,6.63954,7.97468,7.50099,7.92512,8.24384,8.51028,8.96459,3.20328
BenElechi1,245874,245874,13150496,64,14.8865,15.529,15.296,15.5736,15.5428,14.9545,15.0243,15.0446
Binaryalphadigs_10NN,1404,1404,19392,64,13.1657,13.7847,13.8565,13.1197,13.6956,13.4248,13.5288,9.04125
Bump_2911,2911419,2911419,127729899,64,12.3344,13.9653,12.3033,14.3426,14.7025,14.3549,13.3988,13.6915
CO,221119,221119,7666057,64,7.52007,11.7574,10.8582,10.1525,12.2488,11.8171,9.67163,8.15951
Chem97ZtZ,2541,2541,7361,64,13.5037,13.7687,13.4842,13.7264,13.469,13.9172,13.8538,13.7224
Cube_Coup_dt0,2164760,2164760,127206144,64,13.0026,14.8451,13.4578,14.845,14.8796,14.5372,13.9734,14.024
Cube_Coup_dt6,2164760,2164760,127206144,64,13.3302,14.852,13.1844,14.8608,14.5384,14.5446,14.2317,14.3455
CurlCurl_0,11083,11083,113343,64,13.7259,14.2211,13.8708,14.2333,13.9154,14.1513,14.1726,14.343
CurlCurl_1,226451,226451,2472071,64,6.99294,11.3103,8.99601,11.1455,11.3036,11.5249,13.1961,10.7869
CurlCurl_2,806529,806529,8921789,64,6.67487,11.3717,8.47927,11.0525,11.5266,11.1763,11.6827,9.32794
CurlCurl_3,1219574,1219574,13544618,64,6.46885,11.1833,8.90198,11.1331,11.2475,11.0824,11.3396,9.23182
CurlCurl_4,2380515,2380515,26515867,64,6.23858,11.1889,7.87374,11.0563,11.2732,11.2032,10.6749,9.08481
Dubcova1,16129,16129,253009,64,14.0508,12.7537,14.0985,13.7596,13.3673,,14.9923,9.89576
Dubcova2,65025,65025,1030225,64,12.1395,11.8324,11.5643,11.6812,12.0068,12.0479,13.563,7.94477
Dubcova3,146689,146689,3636649,64,12.7618,13.0638,12.7149,13.1917,13.0471,12.9855,13.5699,10.2255
EX1,560,560,8736,64,13.9368,14.0544,13.8692,14.1993,13.6005,13.406,13.9647,14.4473
EX2,560,560,8736,64,13.7597,13.9211,13.7377,14.3433,13.7647,13.3739,13.9473,14.2864
EX3,2600,2600,71760,64,12.7232,13.9486,12.5198,14.0568,13.0407,12.215,13.3188,14.1861
EX4,2600,2600,71760,64,12.6745,13.9951,12.7079,14.0556,12.9781,12.1363,13.2872,14.1368
EX5,6545,6545,295680,64,12.1996,13.5855,12.0981,13.7819,12.4373,,12.504,12.1117
EX6,6545,6545,295680,64,12.12,13.4391,12.2215,13.629,12.4858,,12.33,13.7915
Ecoli_10NN,336,336,4560,64,14.2926,14.3136,14.3311,13.7918,15.826,18.7558,14.4304,14.3343
Emilia_923,923136,923136,41005206,64,12.4968,13.5425,12.4574,13.9483,14.4789,14.0752,13.7513,13.7292
Erdos02,6927,6927,16944,64,11.8781,11.4007,8.63929,11.2234,10.6434,9.79081,11.9607,9.66839
Erdos971,472,472,2628,64,,12.5371,13.1251,12.8981,12.4205,13.3597,13.1765,13.1354
Erdos972,5488,5488,14170,64,11.7519,11.2558,11.6274,11.1435,11.0356,7.58007,12.0581,9.81764
Erdos981,485,485,2762,64,,12.6788,12.9444,12.9108,13.2904,14.154,14.5386,12.0472
Erdos982,5822,5822,14750,64,11.8842,11.1812,11.5562,7.21539,10.9112,10.0488,11.897,9.75645
Erdos991,492,492,2834,64,13.4697,14.2934,13.5598,15.7341,13.1086,12.6769,14.3556,13.7036
Erdos992,6100,6100,15030,64,11.6344,11.2843,11.4628,11.3116,10.7499,9.31023,12.0219,9.6069
