matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,22.5416,25.3732,22.3092,23.6082,29.1361,28.7966,21.8031,21.7664
144,144649,144649,2148786,64,27.3359,35.9399,33.9347,35.3437,38.1708,37.9116,34.0649,16.5032
2cubes_sphere,101492,101492,1647264,64,31.3317,41.6016,40.2155,42.2113,44.7575,43.2945,42.9904,39.5945
333SP,3712815,3712815,22217266,64,16.0094,14.8741,15.3479,16.579,11.6714,11.9753,19.3388,9.33551
3dtube,45330,45330,3213618,64,99.5941,105.739,100.745,105.584,106.49,106.883,109.965,105.261
3elt,4720,4720,27444,64,29.3298,34.9605,33.09,37.9232,34.1015,34.2779,33.7185,33.5226
3elt_dual,9000,9000,26556,64,21.0329,25.4255,23.0591,32.0854,31.8928,30.9885,33.0813,28.634
494_bus,494,494,1666,64,22.93,21.7826,20.803,22.2132,20.866,23.1041,18.7552,15.9976
598a,110971,110971,1483868,64,27.9804,33.1234,32.93,31.4293,30.5785,36.4315,37.882,14.2354
662_bus,662,662,2474,64,24.9545,24.7786,21.4695,26.0206,21.5277,25.0931,22.7986,18.906
685_bus,685,685,3249,64,24.1366,27.0576,25.3269,26.5056,26.3713,25.1285,23.5355,25.4199
ACTIVSg70K,69999,69999,238627,64,15.2735,19.501,18.1054,18.8982,19.5392,19.531,19.8576,19.8488
AS365,3799275,3799275,22736152,64,16.5771,12.0843,15.6121,13.7559,9.3202,9.37783,21.661,8.17333
Alemdar,6245,6245,42581,64,33.8991,34.3177,35.2043,37.0192,40.1645,,38.8893,26.9233
Andrews,60000,60000,760154,64,29.0776,36.9291,30.157,29.6921,35.1994,41.1439,31.2752,22.5514
BenElechi1,245874,245874,13150496,64,113.724,120.962,119.025,122.309,123.836,121.955,128.602,128.769
Binaryalphadigs_10NN,1404,1404,19392,64,45.0887,44.3951,44.1984,44.2371,43.6313,44.3633,46.8237,41.4388
Bump_2911,2911419,2911419,127729899,64,61.4458,72.601,62.7305,90.0522,104.695,104.351,77.9971,85.18
CO,221119,221119,7666057,64,32.1234,58.418,50.7072,34.8591,54.3633,55.5851,34.8462,35.0855
Chem97ZtZ,2541,2541,7361,64,24.5879,27.3422,29.4809,25.1927,24.171,28.2768,23.6677,13.7006
Cube_Coup_dt0,2164760,2164760,127206144,64,81.7891,105.787,80.9152,106.063,116.838,116.087,100.899,102.388
